Name, Link, Profit, Cost, Sell, ROI %
Mercurial Stone, https://wotlkdb.com/?spell=38070, 148.06, 51.94, 200, 385.1
Greater Shadow Protection Potion, https://wotlkdb.com/?spell=17578, 121.2851, 23.2399, 144.525, 621.9
Transmute: Ametrine, https://wotlkdb.com/?spell=66658, 113.7825, 81, 194.7825, 240.5
Transmute: Majestic Zircon, https://wotlkdb.com/?spell=66663, 74.1, 41.9, 116, 276.8
Transmute: Dreadstone, https://wotlkdb.com/?spell=66662, 74, 26, 100, 384.6
Transmute: King's Amber, https://wotlkdb.com/?spell=66660, 73.0824, 114.9, 187.9824, 163.6
Flask of Supreme Power, https://wotlkdb.com/?spell=17637, 61.9207, 13.0793, 75, 573.4
Transmute: Eternal Water to Fire, https://wotlkdb.com/?spell=53784, 61, 7, 68, 971.4
Elixir of Major Defense, https://wotlkdb.com/?spell=28557, 60.85, 47.15, 108, 229.1
Transmute: Eye of Zul, https://wotlkdb.com/?spell=66664, 59.7, 16.2, 75.9, 468.5
Transmute: Eternal Life to Fire, https://wotlkdb.com/?spell=53773, 53, 15, 68, 453.3
Living Action Potion, https://wotlkdb.com/?spell=24367, 47.8399, 32.15, 79.9899, 248.8
Flask of the Titans, https://wotlkdb.com/?spell=17635, 45.8803, 23.1197, 69, 298.4
Transmute: Primal Shadow to Water, https://wotlkdb.com/?spell=28580, 42.0282, 0.3218, 42.35, 13160.3
Transmute: Primal Earth to Water, https://wotlkdb.com/?spell=28567, 40.11, 2.24, 42.35, 1890.6
Transmute: Skyflare Diamond, https://wotlkdb.com/?spell=57425, 39.2105, 45.7895, 85, 185.6
Transmute: Primal Fire to Mana, https://wotlkdb.com/?spell=28583, 38.195, 0.705, 38.9, 5517.7
Elixir of Detect Demon, https://wotlkdb.com/?spell=11478, 37.1183, 4.25, 41.3683, 973.4
Transmute: Earthsiege Diamond, https://wotlkdb.com/?spell=57427, 35.28, 73.97, 109.25, 147.7
Flask of Chromatic Wonder, https://wotlkdb.com/?spell=42736, 34.15, 22.85, 57, 249.5
Elixir of Greater Firepower, https://wotlkdb.com/?spell=26277, 33.763, 10.237, 44, 429.8
Transmute: Cardinal Ruby, https://wotlkdb.com/?spell=66659, 33, 167, 200, 119.8
Transmute: Arcanite, https://wotlkdb.com/?spell=17187, 32.4999, 57.5, 89.9999, 156.5
Elixir of Major Agility, https://wotlkdb.com/?spell=28553, 29.3, 10.6, 39.9, 376.4
Elixir of Ironskin, https://wotlkdb.com/?spell=39639, 27.95, 16.05, 44, 274.1
Transmute: Undeath to Water, https://wotlkdb.com/?spell=17563, 26.6299, 4.37, 30.9999, 709.4
Transmute: Life to Earth, https://wotlkdb.com/?spell=17565, 26.33, 0.47, 26.8, 5702.1
Transmute: Eternal Earth to Air, https://wotlkdb.com/?spell=53781, 25.92, 3.98, 29.9, 751.3
Transmute: Fire to Earth, https://wotlkdb.com/?spell=17560, 25.81, 0.99, 26.8, 2707.1
Destruction Potion, https://wotlkdb.com/?spell=28565, 24.08, 10.92, 35, 320.5
Transmute: Eternal Water to Air, https://wotlkdb.com/?spell=53783, 22.9, 7, 29.9, 427.1
Ghost Dye, https://wotlkdb.com/?spell=11473, 20.54, 4.46, 25, 560.5
Frost Protection Potion, https://wotlkdb.com/?spell=7258, 18.9901, 1.9099, 20.9, 1094.3
Lesser Flask of Resistance, https://wotlkdb.com/?spell=62213, 18.6367, 6.9188, 25.5555, 369.4
Transmute: Primal Might, https://wotlkdb.com/?spell=29688, 17.8049, 139.195, 156.9999, 112.8
Transmute: Eternal Earth to Shadow, https://wotlkdb.com/?spell=53782, 17.02, 3.98, 21, 527.6
Insane Strength Potion, https://wotlkdb.com/?spell=28550, 16.2, 21.8, 38, 174.3
Shadow Oil, https://wotlkdb.com/?spell=3449, 15.1728, 6.8272, 22, 322.2
Invisibility Potion, https://wotlkdb.com/?spell=11464, 15.001, 3.42, 18.421, 538.6
Fire Protection Potion, https://wotlkdb.com/?spell=7257, 14.84, 5.16, 20, 387.6
Mighty Nature Protection Potion, https://wotlkdb.com/?spell=53942, 14.81, 3.94, 18.75, 475.9
Haste Potion, https://wotlkdb.com/?spell=28564, 14.3, 20.2, 34.5, 170.8
Elixir of Dream Vision, https://wotlkdb.com/?spell=11468, 13.52, 3.19, 16.71, 523.8
Transmute: Primal Water to Air, https://wotlkdb.com/?spell=28569, 12.65, 42.35, 55, 129.9
Free Action Potion, https://wotlkdb.com/?spell=6624, 11.58, 46.02, 57.6, 125.2
Great Rage Potion, https://wotlkdb.com/?spell=6618, 11.005, 1.6, 12.605, 787.8
Mighty Rage Potion, https://wotlkdb.com/?spell=17527, 11.005, 1.6, 12.605, 787.8
Magic Resistance Potion, https://wotlkdb.com/?spell=11453, 10.62, 2.71, 13.33, 491.9
Elixir of Giants, https://wotlkdb.com/?spell=11472, 10.56, 3.44, 14, 407
Elixir of Major Firepower, https://wotlkdb.com/?spell=28556, 10.37, 15.03, 25.4, 169
Flask of Mighty Restoration, https://wotlkdb.com/?spell=28588, 9.9613, 10.7387, 20.7, 192.8
Greater Nature Protection Potion, https://wotlkdb.com/?spell=17576, 9.8548, 10.1452, 20, 197.1
Transmute: Titanium, https://wotlkdb.com/?spell=60350, 9.6, 44.4, 54, 121.6
Elixir of Camouflage, https://wotlkdb.com/?spell=28543, 9.3625, 4.2, 13.5625, 322.9
Elixir of Mighty Thoughts, https://wotlkdb.com/?spell=60367, 9.0341, 7.9659, 17, 213.4
Blackmouth Oil, https://wotlkdb.com/?spell=7836, 9, 10, 19, 190
Transmute: Primal Earth to Life, https://wotlkdb.com/?spell=28585, 8.56, 2.24, 10.8, 482.1
Shadow Protection Potion, https://wotlkdb.com/?spell=7256, 8.51, 1.49, 10, 671.1
Elixir of Lesser Agility, https://wotlkdb.com/?spell=2333, 8.475, 3.5, 11.975, 342.1
Elixir of Major Strength, https://wotlkdb.com/?spell=28544, 8, 4, 12, 300
Swiftness Potion, https://wotlkdb.com/?spell=2335, 7.518, 3.482, 11, 315.9
Elixir of Minor Accuracy, https://wotlkdb.com/?spell=63732, 7.328, 4.522, 11.85, 262.1
Lesser Invisibility Potion, https://wotlkdb.com/?spell=3448, 7.2681, 2.7318, 9.9999, 366.1
Frost Oil, https://wotlkdb.com/?spell=3454, 7.2302, 7.7198, 14.95, 193.7
Ethereal Oil, https://wotlkdb.com/?spell=62409, 6.72, 2.28, 9, 394.7
Mighty Rage Potion, https://wotlkdb.com/?spell=17552, 6.541, 6.25, 12.791, 204.7
Limited Invulnerability Potion, https://wotlkdb.com/?spell=3175, 6.4886, 3.7114, 10.2, 274.8
Elixir of Accuracy, https://wotlkdb.com/?spell=60354, 6.3941, 7.5059, 13.9, 185.2
Elixir of Giant Growth, https://wotlkdb.com/?spell=8240, 6.0932, 3.8568, 9.95, 258
Mighty Frost Protection Potion, https://wotlkdb.com/?spell=53937, 6, 14, 20, 142.9
Transmute: Eternal Life to Shadow, https://wotlkdb.com/?spell=53771, 6, 15, 21, 140
Major Rejuvenation Potion, https://wotlkdb.com/?spell=22732, 5.7824, 9.2176, 15, 162.7
Elixir of Major Fortitude, https://wotlkdb.com/?spell=39636, 5.7316, 5.4, 11.1316, 206.1
Major Dreamless Sleep Potion, https://wotlkdb.com/?spell=28562, 5.63, 4.72, 10.35, 219.3
Greater Frost Protection Potion, https://wotlkdb.com/?spell=17575, 4.7641, 3.2359, 8, 247.2
Rage Potion, https://wotlkdb.com/?spell=6617, 4.7457, 0.25, 4.9957, 1998.3
Elixir of Superior Defense, https://wotlkdb.com/?spell=17554, 4.5801, 5.4198, 9.9999, 184.5
Transmute: Earth to Water, https://wotlkdb.com/?spell=17561, 4.1999, 26.8, 30.9999, 115.7
Oil of Immolation, https://wotlkdb.com/?spell=11451, 4.071, 1.679, 5.75, 342.5
Catseye Elixir, https://wotlkdb.com/?spell=12609, 3.7677, 1.7318, 5.4995, 317.6
Greater Arcane Protection Potion, https://wotlkdb.com/?spell=17577, 3.7401, 1.2599, 5, 396.9
Elixir of Frost Power, https://wotlkdb.com/?spell=21923, 3.7202, 3.2798, 7, 213.4
Potion of Wild Magic, https://wotlkdb.com/?spell=54222, 3.2, 46, 49.2, 107
Elixir of Armor Piercing, https://wotlkdb.com/?spell=60365, 2.25, 5.5, 7.75, 140.9
Elixir of Empowerment, https://wotlkdb.com/?spell=28578, 2.037, 7.9629, 9.9999, 125.6
Lesser Flask of Toughness, https://wotlkdb.com/?spell=53899, 2.03, 12.92, 14.95, 115.7
Fire Oil, https://wotlkdb.com/?spell=7837, 1.964, 0.936, 2.9, 309.8
Stonescale Oil, https://wotlkdb.com/?spell=17551, 1.7239, 0.266, 1.9899, 748.1
Transmute: Primal Fire to Earth, https://wotlkdb.com/?spell=28568, 1.535, 0.705, 2.24, 317.7
Elixir of Protection, https://wotlkdb.com/?spell=54220, 1.52, 8.48, 10, 117.9
Greater Fire Protection Potion, https://wotlkdb.com/?spell=17574, 1.3201, 1.6799, 3, 178.6
Earthen Elixir, https://wotlkdb.com/?spell=39637, 0.84, 5.16, 6, 116.3
Mighty Shadow Protection Potion, https://wotlkdb.com/?spell=53938, 0.8355, 4.72, 5.5555, 117.7
Potion of Petrification, https://wotlkdb.com/?spell=17634, 0.8207, 14.1793, 15, 105.8
Major Troll's Blood Elixir, https://wotlkdb.com/?spell=3451, 0.815, 2.185, 3, 137.3
Elixir of Minor Defense, https://wotlkdb.com/?spell=7183, 0.789, 0.201, 0.99, 492.5
Elixir of Detect Undead, https://wotlkdb.com/?spell=11460, 0.75, 1.25, 2, 160
Arcane Elixir, https://wotlkdb.com/?spell=11461, 0.7493, 1.9907, 2.74, 137.6
Elixir of Greater Water Breathing, https://wotlkdb.com/?spell=22808, 0.711, 2.289, 3, 131.1
Elixir of Demonslaying, https://wotlkdb.com/?spell=11477, 0.66, 4.23, 4.89, 115.6
Elixir of Greater Intellect, https://wotlkdb.com/?spell=11465, 0.4493, 2.4707, 2.92, 118.2
Elixir of Ogre's Strength, https://wotlkdb.com/?spell=3188, 0.4425, 0.87, 1.3125, 150.9
Potion of Curing, https://wotlkdb.com/?spell=3174, 0.2521, 2.0399, 2.292, 112.4
Transmute: Elemental Fire, https://wotlkdb.com/?spell=25146, 0.19, 0.25, 0.44, 176
Elixir of Lightning Speed, https://wotlkdb.com/?spell=60366, 0.16, 5.34, 5.5, 103
Transmute: Iron to Gold, https://wotlkdb.com/?spell=11479, 0.13, 0.78, 0.91, 116.7
Sneaking Potion, https://wotlkdb.com/?spell=28546, 0.1, 5.4, 5.5, 101.9
Elixir of Lion's Strength, https://wotlkdb.com/?spell=2329, 0.0285, 0.4715, 0.5, 106
Elixir of Greater Agility, https://wotlkdb.com/?spell=11467, 0.02, 2.44, 2.46, 100.8
Elixir of Greater Defense, https://wotlkdb.com/?spell=11450, -0.04, 3.02, 2.98, 98.7
Onslaught Elixir, https://wotlkdb.com/?spell=33738, -0.1, 4, 3.9, 97.5
Holy Protection Potion, https://wotlkdb.com/?spell=7255, -0.102, 3.102, 3, 96.7
Elixir of Detect Lesser Invisibility, https://wotlkdb.com/?spell=3453, -0.2618, 2.2118, 1.95, 88.2
Minor Healing Potion, https://wotlkdb.com/?spell=2330, -0.3009, 0.3015, 0.0006, 0.2
Pygmy Oil, https://wotlkdb.com/?spell=53812, -0.5, 2.5, 2, 80
Weak Troll's Blood Elixir, https://wotlkdb.com/?spell=3170, -0.662, 0.942, 0.28, 29.7
Elixir of Minor Fortitude, https://wotlkdb.com/?spell=2334, -0.739, 0.942, 0.203, 21.5
Mad Alchemist's Potion, https://wotlkdb.com/?spell=45061, -0.8038, 2.65, 1.8462, 69.7
Indestructible Potion, https://wotlkdb.com/?spell=53905, -1, 8, 7, 87.5
Greater Healing Potion, https://wotlkdb.com/?spell=7181, -1.0268, 1.045, 0.0182, 1.7
Elixir of Spirit, https://wotlkdb.com/?spell=53847, -1.2677, 8.0177, 6.75, 84.2
Minor Mana Potion, https://wotlkdb.com/?spell=2331, -1.3504, 1.3515, 0.0011, 0.1
Elixir of Healing Power, https://wotlkdb.com/?spell=28545, -1.4601, 3.462, 2.0019, 57.8
Elixir of Minor Agility, https://wotlkdb.com/?spell=3230, -1.58, 1.5815, 0.0015, 0.1
