Name, Link, Profit, Cost, Sell, ROI %
Transmute: Earthstorm Diamond, https://wotlkdb.com/?spell=32765, 172.22, 107.78, 280, 259.8
Mercurial Stone, https://wotlkdb.com/?spell=38070, 152.817, 36.433, 189.25, 519.4
Shadow Oil, https://wotlkdb.com/?spell=3449, 89.18, 5.82, 95, 1632.3
Transmute: King's Amber, https://wotlkdb.com/?spell=66660, 84.75, 113.75, 198.5, 174.5
Limited Invulnerability Potion, https://wotlkdb.com/?spell=3175, 81.82, 3.18, 85, 2673
Transmute: Ametrine, https://wotlkdb.com/?spell=66658, 80.2, 78.2, 158.4, 202.6
Living Action Potion, https://wotlkdb.com/?spell=24367, 66.9919, 31.77, 98.7619, 310.9
Transmute: Eternal Water to Fire, https://wotlkdb.com/?spell=53784, 66.77, 8, 74.77, 934.6
Transmute: Majestic Zircon, https://wotlkdb.com/?spell=66663, 65, 40, 105, 262.5
Transmute: Eternal Life to Fire, https://wotlkdb.com/?spell=53773, 61.77, 13, 74.77, 575.2
Transmute: Dreadstone, https://wotlkdb.com/?spell=66662, 59.7, 28.3, 88, 311
Greater Nature Protection Potion, https://wotlkdb.com/?spell=17576, 48.4092, 7.4908, 55.9, 746.2
Invisibility Potion, https://wotlkdb.com/?spell=11464, 48.32, 1.68, 50, 2976.2
Ghost Dye, https://wotlkdb.com/?spell=11473, 47.34, 2.36, 49.7, 2105.9
Transmute: Skyfire Diamond, https://wotlkdb.com/?spell=32766, 45.743, 78.757, 124.5, 158.1
Fire Protection Potion, https://wotlkdb.com/?spell=7257, 45.48, 4.52, 50, 1106.2
Major Dreamless Sleep Potion, https://wotlkdb.com/?spell=28562, 42.8333, 4.1567, 46.99, 1130.5
Transmute: Arcanite, https://wotlkdb.com/?spell=17187, 37.6, 87.5, 125.1, 143
Transmute: Eye of Zul, https://wotlkdb.com/?spell=66664, 35.06, 14.94, 50, 334.7
Transmute: Life to Earth, https://wotlkdb.com/?spell=17565, 31.79, 0.3, 32.09, 10696.7
Transmute: Cardinal Ruby, https://wotlkdb.com/?spell=66659, 31.48, 178.52, 210, 117.6
Transmute: Fire to Earth, https://wotlkdb.com/?spell=17560, 31.2, 0.89, 32.09, 3605.6
Transmute: Primal Might, https://wotlkdb.com/?spell=29688, 30.5635, 94.1865, 124.75, 132.4
Transmute: Primal Fire to Mana, https://wotlkdb.com/?spell=28583, 29.3595, 0.6435, 30.003, 4662.5
Transmute: Eternal Earth to Air, https://wotlkdb.com/?spell=53781, 25.15, 4.85, 30, 618.6
