Name, Link, Profit, Cost, Sell, ROI %
Belt of the Guardian, https://wotlkdb.com/?spell=36389, 14304.8, 694.7, 14999.5, 2159.1
Red Belt of Battle, https://wotlkdb.com/?spell=36390, 10349.1581, 267.05, 10616.2081, 3975.4
Sageblade, https://wotlkdb.com/?spell=27832, 10114.8612, 1385.1388, 11500, 830.2
Nightfall, https://wotlkdb.com/?spell=23653, 5606.6279, 1192.7862, 6799.4141, 570
Frostguard, https://wotlkdb.com/?spell=16992, 3774.8638, 2525.1362, 6300, 249.5
Sulfuron Hammer, https://wotlkdb.com/?spell=21161, 3307.136, 6692.864, 10000, 149.4
Heavy Copper Longsword, https://wotlkdb.com/?spell=43549, 3288.98, 11.02, 3300, 29945.6
Felsteel Longblade, https://wotlkdb.com/?spell=29692, 2731.0206, 2668.9794, 5400, 202.3
Flamebane Breastplate, https://wotlkdb.com/?spell=29617, 2663.4, 336.6, 3000, 891.3
Spiked Deathdealers, https://wotlkdb.com/?spell=63192, 2479.25, 3520.75, 6000, 170.4
Dark Iron Helm, https://wotlkdb.com/?spell=23636, 2468.0964, 31.9036, 2500, 7836.1
Dark Iron Reaver, https://wotlkdb.com/?spell=20890, 2413.04, 186.96, 2600, 1390.7
Belt of the Titans, https://wotlkdb.com/?spell=63187, 2178.25, 3520.75, 5699, 161.9
Treads of Destiny, https://wotlkdb.com/?spell=63190, 2034.25, 3520.75, 5555, 157.8
Annihilator, https://wotlkdb.com/?spell=16991, 2019.1628, 1980.8372, 4000, 201.9
Dark Iron Gauntlets, https://wotlkdb.com/?spell=23637, 1894.7923, 105.2077, 2000, 1901
Dark Iron Sunderer, https://wotlkdb.com/?spell=15294, 1844.8, 155.7, 2000.5, 1284.8
Enchanted Adamantite Belt, https://wotlkdb.com/?spell=29608, 1836.98, 163.02, 2000, 1226.8
Dark Iron Destroyer, https://wotlkdb.com/?spell=20897, 1798.0692, 201.9308, 2000, 990.4
Indestructible Plate Girdle, https://wotlkdb.com/?spell=63191, 1786.25, 3520.75, 5307, 150.7
Enchanted Adamantite Boots, https://wotlkdb.com/?spell=29611, 1775.96, 224.54, 2000.5, 890.9
Steelgrip Gauntlets, https://wotlkdb.com/?spell=29662, 1738.0105, 1260.9895, 2999, 237.8
Whitesoul Helm, https://wotlkdb.com/?spell=16724, 1699.7606, 300.2394, 2000, 666.1
Enchanted Adamantite Breastplate, https://wotlkdb.com/?spell=29610, 1662.94, 337.56, 2000.5, 592.6
Enchanted Adamantite Leggings, https://wotlkdb.com/?spell=29613, 1651.42, 349.08, 2000.5, 573.1
Helm of the Stalwart Defender, https://wotlkdb.com/?spell=29664, 1581.93, 917.07, 2499, 272.5
Battlelord's Plate Boots, https://wotlkdb.com/?spell=63188, 1478.25, 3520.75, 4999, 142
Titanium Razorplate, https://wotlkdb.com/?spell=67093, 1432.3092, 4476.6908, 5909, 132
Boots of Kingly Upheaval, https://wotlkdb.com/?spell=70568, 1112.2398, 4652.76, 5764.9998, 123.9
Pillars of Might, https://wotlkdb.com/?spell=70567, 1063.3999, 7236.6, 8299.9999, 114.7
Legplates of Painful Death, https://wotlkdb.com/?spell=70565, 1023, 7577, 8600, 113.5
