Name, Link, Profit, Cost, Sell, ROI %
Heavy Copper Longsword, https://wotlkdb.com/?spell=43549, 19989.5002, 9.4998, 19999, 210520.2
Khorium Champion, https://wotlkdb.com/?spell=29693, 16049.5, 3950.5, 20000, 506.3
Oathkeeper's Helm, https://wotlkdb.com/?spell=29668, 7692.71, 807.29, 8500, 1052.9
Arcanite Reaper, https://wotlkdb.com/?spell=16994, 5479.124, 2520.876, 8000, 317.4
Dark Iron Helm, https://wotlkdb.com/?spell=23636, 4923.6992, 75.3008, 4999, 6638.7
Dark Iron Leggings, https://wotlkdb.com/?spell=20876, 3715.1998, 283.8002, 3999, 1409.1
Sulfuron Hammer, https://wotlkdb.com/?spell=21161, 3537.476, 7296.724, 10834.2, 148.5
Enchanted Thorium Breastplate, https://wotlkdb.com/?spell=16745, 3412.44, 1587.56, 5000, 314.9
Dark Iron Gauntlets, https://wotlkdb.com/?spell=23637, 2872.3089, 126.6911, 2999, 2367.2
Dark Iron Boots, https://wotlkdb.com/?spell=24399, 2845.1177, 153.8823, 2999, 1948.9
Plate Girdle of Righteousness, https://wotlkdb.com/?spell=63189, 2690, 3310, 6000, 181.3
Black Felsteel Bracers, https://wotlkdb.com/?spell=29669, 2190.0015, 309.9985, 2500, 806.5
Battlelord's Plate Boots, https://wotlkdb.com/?spell=63188, 2184.5, 3310, 5494.5, 166
Bloodsoul Shoulders, https://wotlkdb.com/?spell=24137, 2049.08, 150.92, 2200, 1457.7
Nightfall, https://wotlkdb.com/?spell=23653, 1951.8828, 1747.1172, 3699, 211.7
Bloodsoul Gauntlets, https://wotlkdb.com/?spell=24138, 1892.14, 107.86, 2000, 1854.3
Belt of the Titans, https://wotlkdb.com/?spell=63187, 1885, 3310, 5195, 156.9
Fel Edged Battleaxe, https://wotlkdb.com/?spell=29694, 1821, 3049, 4870, 159.7
Blazing Rapier, https://wotlkdb.com/?spell=16978, 1799.8959, 200.104, 1999.9999, 999.5
Indestructible Plate Girdle, https://wotlkdb.com/?spell=63191, 1733, 3310, 5043, 152.4
Treads of Destiny, https://wotlkdb.com/?spell=63190, 1689, 3310, 4999, 151
Whitesoul Helm, https://wotlkdb.com/?spell=16724, 1684.56, 315.44, 2000, 634
Hand of Eternity, https://wotlkdb.com/?spell=29700, 1600.5, 2829.5, 4430, 156.6
Dark Iron Shoulders, https://wotlkdb.com/?spell=15295, 1497.4671, 101.5329, 1599, 1574.9
Felsteel Reaper, https://wotlkdb.com/?spell=29695, 1481, 3049, 4530, 148.6
Frostguard, https://wotlkdb.com/?spell=16992, 1457.684, 2942.316, 4400, 149.5
Sunforged Breastplate, https://wotlkdb.com/?spell=67134, 1410, 4548, 5958, 131
Legplates of Painful Death, https://wotlkdb.com/?spell=70565, 1386.9997, 7168, 8554.9997, 119.3
Felsteel Longblade, https://wotlkdb.com/?spell=29692, 1350.5, 2799.5, 4150, 148.2
Enchanted Adamantite Belt, https://wotlkdb.com/?spell=29608, 1345.0002, 154.9998, 1500, 967.7
Enchanted Adamantite Boots, https://wotlkdb.com/?spell=29611, 1287.0002, 212.9998, 1500, 704.2
Spiked Deathdealers, https://wotlkdb.com/?spell=63192, 1188.5, 3310, 4498.5, 135.9
Enchanted Adamantite Breastplate, https://wotlkdb.com/?spell=29610, 1182.0004, 317.9996, 1500, 471.7
Enchanted Adamantite Leggings, https://wotlkdb.com/?spell=29613, 1174.0004, 325.9996, 1500, 460.1
Breastplate of the White Knight, https://wotlkdb.com/?spell=67130, 1132, 5122, 6254, 122.1
Helm of the Stalwart Defender, https://wotlkdb.com/?spell=29664, 1035.664, 863.336, 1899, 220
Boots of Kingly Upheaval, https://wotlkdb.com/?spell=70568, 1008.7999, 4388.2, 5396.9999, 123
Girdle of the Dawn, https://wotlkdb.com/?spell=23632, 931.84, 68.16, 1000, 1467.1
Lionheart Helm, https://wotlkdb.com/?spell=16729, 910.55, 2533.45, 3444, 135.9
Protectors of Life, https://wotlkdb.com/?spell=70563, 812.7999, 4388.2, 5200.9999, 118.5
Felfury Gauntlets, https://wotlkdb.com/?spell=29658, 795.75, 874.25, 1670, 191
Pillars of Might, https://wotlkdb.com/?spell=70567, 737.9998, 6817, 7554.9998, 110.8
Gloves of the Dawn, https://wotlkdb.com/?spell=23633, 737.68, 262.32, 1000, 381.2
Titanium Razorplate, https://wotlkdb.com/?spell=67132, 708.7673, 4491.2, 5199.9673, 115.8
Phantom Blade, https://wotlkdb.com/?spell=10007, 702.0888, 296.9112, 999, 336.5
Hellfrozen Bonegrinders, https://wotlkdb.com/?spell=70566, 663.38, 4826.62, 5490, 113.7
Saronite Swordbreakers, https://wotlkdb.com/?spell=67131, 622, 3044, 3666, 120.4
