Name, Link, Profit, Cost, Sell, ROI %
Dragonbreath Chili, https://wotlkdb.com/?spell=15906, 22.676, 2.324, 25, 1075.7
Gigantic Feast, https://wotlkdb.com/?spell=58527, 21.3422, 11.1578, 32.5, 291.3
Barbecued Buzzard Wing, https://wotlkdb.com/?spell=4094, 18.88, 0.97, 19.85, 2046.4
Fish Feast, https://wotlkdb.com/?spell=57423, 9.68, 13.22, 22.9, 173.2
Stormchops, https://wotlkdb.com/?spell=43758, 8.6901, 0.7099, 9.4, 1324.1
Blackened Dragonfin, https://wotlkdb.com/?spell=57441, 8.54, 11.46, 20, 174.5
Rhinolicious Wormsteak, https://wotlkdb.com/?spell=57434, 8.02, 3.03, 11.05, 364.7
Small Feast, https://wotlkdb.com/?spell=58528, 8.01, 10.98, 18.99, 173
Firecracker Salmon, https://wotlkdb.com/?spell=45568, 5.53, 4.42, 9.95, 225.1
Spicy Fried Herring, https://wotlkdb.com/?spell=57433, 4.225, 2.435, 6.66, 273.5
Imperial Manta Steak, https://wotlkdb.com/?spell=45570, 3.9867, 3.68, 7.6667, 208.3
Tender Shoveltusk Steak, https://wotlkdb.com/?spell=45556, 3.74, 2.46, 6.2, 252
Blackened Worg Steak, https://wotlkdb.com/?spell=57438, 3.73, 2.22, 5.95, 268
Worg Tartare, https://wotlkdb.com/?spell=62350, 3.58, 2.48, 6.06, 244.4
Thistle Tea, https://wotlkdb.com/?spell=9513, 3.5175, 1.4825, 5, 337.3
Cuttlesteak, https://wotlkdb.com/?spell=57439, 3.352, 2.1025, 5.4545, 259.4
Mega Mammoth Meal, https://wotlkdb.com/?spell=45555, 3.2602, 2.7998, 6.06, 216.4
Dragonfin Filet, https://wotlkdb.com/?spell=57442, 3.24, 11.46, 14.7, 128.3
Giant Clam Scorcho, https://wotlkdb.com/?spell=7213, 3.16, 4.76, 7.92, 166.4
Spicy Blue Nettlefish, https://wotlkdb.com/?spell=45571, 3.0699, 3.93, 6.9999, 178.1
Hot Buttered Trout, https://wotlkdb.com/?spell=42305, 3.06, 1.94, 5, 257.7
Hearty Rhino, https://wotlkdb.com/?spell=57436, 2.7499, 2.04, 4.7899, 234.8
Spiced Mammoth Treats, https://wotlkdb.com/?spell=57440, 2.6201, 2.3799, 5, 210.1
Savory Deviate Delight, https://wotlkdb.com/?spell=8238, 2.515, 3.4848, 5.9998, 172.2
Spicy Hot Talbuk, https://wotlkdb.com/?spell=43765, 2.333, 0.087, 2.42, 2781.6
Very Burnt Worg, https://wotlkdb.com/?spell=45558, 2.28, 2.22, 4.5, 202.7
Snapper Extreme, https://wotlkdb.com/?spell=57437, 2.02, 3.13, 5.15, 164.5
Hot Smoked Bass, https://wotlkdb.com/?spell=18242, 2.0105, 0.4695, 2.48, 528.2
Smoked Sagefish, https://wotlkdb.com/?spell=25704, 2, 3, 5, 166.7
Crocolisk Steak, https://wotlkdb.com/?spell=3370, 1.8871, 0.0017, 1.8888, 111105.9
Poached Northern Sculpin, https://wotlkdb.com/?spell=45567, 1.82, 3.16, 4.98, 157.6
Skullfish Soup, https://wotlkdb.com/?spell=43707, 1.75, 0.25, 2, 800
Pickled Fangtooth, https://wotlkdb.com/?spell=45566, 1.725, 0.475, 2.2, 463.2
Roasted Clefthoof, https://wotlkdb.com/?spell=33287, 1.64, 0.15, 1.79, 1193.3
Bad Clams, https://wotlkdb.com/?spell=58523, 1.5032, 0.4968, 2, 402.6
Monster Omelet, https://wotlkdb.com/?spell=15933, 1.5, 0.5, 2, 400
Grilled Squid, https://wotlkdb.com/?spell=18240, 1.4, 0.5, 1.9, 380
Cooked Glossy Mightfish, https://wotlkdb.com/?spell=18239, 1.36, 0.64, 2, 312.5
Grilled Mudfish, https://wotlkdb.com/?spell=33293, 1.3526, 0.5265, 1.8791, 356.9
Slitherskin Mackerel, https://wotlkdb.com/?spell=7752, 1.2363, 0.0037, 1.24, 33513.5
Poached Sunscale Salmon, https://wotlkdb.com/?spell=18244, 1, 0.8, 1.8, 225
Smoked Desert Dumplings, https://wotlkdb.com/?spell=24801, 0.8953, 0.07, 0.9653, 1379
Sauteed Goby, https://wotlkdb.com/?spell=45562, 0.892, 0.108, 1, 925.9
Kibler's Bits, https://wotlkdb.com/?spell=43772, 0.7289, 0.0211, 0.75, 3554.5
Mighty Rhino Dogs, https://wotlkdb.com/?spell=45559, 0.6925, 2.12, 2.8125, 132.7
Warp Burger, https://wotlkdb.com/?spell=33288, 0.6901, 0.3099, 1, 322.7
Poached Bluefish, https://wotlkdb.com/?spell=33294, 0.69, 0.29, 0.98, 337.9
Roasted Worg, https://wotlkdb.com/?spell=45552, 0.67, 0.26, 0.93, 357.7
Soothing Turtle Bisque, https://wotlkdb.com/?spell=3400, 0.5807, 0.0925, 0.6732, 727.8
Buzzard Bites, https://wotlkdb.com/?spell=33279, 0.5789, 0.0211, 0.6, 2843.6
Smoked Rockfin, https://wotlkdb.com/?spell=45560, 0.571, 0.179, 0.75, 419
Filet of Redgill, https://wotlkdb.com/?spell=18241, 0.561, 0.189, 0.75, 396.8
Dalaran Clam Chowder, https://wotlkdb.com/?spell=58065, 0.535, 0.925, 1.46, 157.8
Blackened Sporefish, https://wotlkdb.com/?spell=33292, 0.5067, 0.16, 0.6667, 416.7
Great Feast, https://wotlkdb.com/?spell=45554, 0.5051, 1.7449, 2.25, 128.9
Feltail Delight, https://wotlkdb.com/?spell=33291, 0.505, 0.125, 0.63, 504
Beer Basted Boar Ribs, https://wotlkdb.com/?spell=2795, 0.4941, 0.0409, 0.535, 1308.1
Jungle Stew, https://wotlkdb.com/?spell=15861, 0.4883, 0.0117, 0.5, 4273.5
Talbuk Steak, https://wotlkdb.com/?spell=33289, 0.413, 0.087, 0.5, 574.7
Rhino Dogs, https://wotlkdb.com/?spell=45553, 0.38, 0.08, 0.46, 575
Murloc Fin Soup, https://wotlkdb.com/?spell=3372, 0.38, 0.8, 1.18, 147.5
Spotted Yellowtail, https://wotlkdb.com/?spell=18238, 0.37, 0.12, 0.49, 408.3
Carrion Surprise, https://wotlkdb.com/?spell=15863, 0.3615, 0.084, 0.4455, 530.4
Grilled Bonescale, https://wotlkdb.com/?spell=45561, 0.36, 0.39, 0.75, 192.3
Baked Manta Ray, https://wotlkdb.com/?spell=45569, 0.3475, 1.72, 2.0675, 120.2
Shoveltusk Steak, https://wotlkdb.com/?spell=45550, 0.325, 0.25, 0.575, 230
Tasty Cupcake, https://wotlkdb.com/?spell=58512, 0.3171, 0.1994, 0.5165, 259
Spicy Crawdad, https://wotlkdb.com/?spell=33296, 0.31, 0.69, 1, 144.9
Charred Wolf Meat, https://wotlkdb.com/?spell=2538, 0.3097, 0.38, 0.6897, 181.5
Undermine Clam Chowder, https://wotlkdb.com/?spell=20626, 0.2824, 0.0176, 0.3, 1704.5
Hot Wolf Ribs, https://wotlkdb.com/?spell=15856, 0.2791, 0.0209, 0.3, 1435.4
Sporeling Snack, https://wotlkdb.com/?spell=33285, 0.26, 0.98, 1.24, 126.5
Boiled Clams, https://wotlkdb.com/?spell=6499, 0.2175, 0.1525, 0.37, 242.6
Clam Bar, https://wotlkdb.com/?spell=36210, 0.212, 0.038, 0.25, 657.9
Crunchy Spider Surprise, https://wotlkdb.com/?spell=28267, 0.1987, 0.0013, 0.2, 15384.6
Big Bear Steak, https://wotlkdb.com/?spell=3397, 0.16, 0.84, 1, 119
Kaldorei Spider Kabob, https://wotlkdb.com/?spell=6412, 0.1494, 0.0006, 0.15, 25000
Blackened Trout, https://wotlkdb.com/?spell=33290, 0.1353, 0.0897, 0.225, 250.8
Rockscale Cod, https://wotlkdb.com/?spell=7828, 0.11, 0.05, 0.16, 320
Ravager Dog, https://wotlkdb.com/?spell=33284, 0.11, 0.24, 0.35, 145.8
Golden Fish Sticks, https://wotlkdb.com/?spell=33295, 0.11, 0.77, 0.88, 114.3
Northern Stew, https://wotlkdb.com/?spell=57421, 0.0625, 0.0425, 0.105, 247.1
Last Week's Mammoth, https://wotlkdb.com/?spell=58521, 0.0601, 0.4199, 0.48, 114.3
Mammoth Meal, https://wotlkdb.com/?spell=45549, 0.06, 0.4199, 0.4799, 114.3
Roast Raptor, https://wotlkdb.com/?spell=15855, 0.031, 0.059, 0.09, 152.5
Poached Nettlefish, https://wotlkdb.com/?spell=45565, 0.03, 1.97, 2, 101.5
Clamlette Magnifique, https://wotlkdb.com/?spell=64054, 0.0212, 0.0088, 0.03, 340.9
Stewed Trout, https://wotlkdb.com/?spell=42296, 0.0204, 0.0897, 0.1101, 122.7
Coyote Steak, https://wotlkdb.com/?spell=2541, 0.0192, 0.0808, 0.1, 123.8
Rainbow Fin Albacore, https://wotlkdb.com/?spell=7827, -0.0007, 0.0595, 0.0588, 98.8
Longjaw Mud Snapper, https://wotlkdb.com/?spell=7753, -0.0012, 0.0015, 0.0003, 20
Curiously Tasty Omelet, https://wotlkdb.com/?spell=3376, -0.01, 0.5, 0.49, 98
Bristle Whisker Catfish, https://wotlkdb.com/?spell=7755, -0.0276, 0.0286, 0.001, 3.5
Brilliant Smallfish, https://wotlkdb.com/?spell=7751, -0.0291, 0.0295, 0.0004, 1.4
Goretusk Liver Pie, https://wotlkdb.com/?spell=2542, -0.0302, 0.0329, 0.0027, 8.2
Roasted Boar Meat, https://wotlkdb.com/?spell=2540, -0.0305, 0.0485, 0.018, 37.1
Loch Frenzy Delight, https://wotlkdb.com/?spell=7754, -0.0707, 0.071, 0.0003, 0.4
Blackened Basilisk, https://wotlkdb.com/?spell=33286, -0.12, 0.52, 0.4, 76.9
Smoked Bear Meat, https://wotlkdb.com/?spell=8607, -0.1584, 0.159, 0.0006, 0.4
Blood Sausage, https://wotlkdb.com/?spell=3371, -0.1688, 0.173, 0.0042, 2.4
Roasted Moongraze Tenderloin, https://wotlkdb.com/?spell=33277, -0.235, 0.99, 0.755, 76.3
Roasted Kodo Meat, https://wotlkdb.com/?spell=6414, -0.2491, 0.25, 0.0009, 0.4
Bread of the Dead, https://wotlkdb.com/?spell=65454, -0.2524, 0.2525, 0.0001, 0
Crab Cake, https://wotlkdb.com/?spell=2544, -0.2594, 0.89, 0.6306, 70.9
Spiced Wolf Meat, https://wotlkdb.com/?spell=2539, -0.28, 0.38, 0.1, 26.3
Crocolisk Gumbo, https://wotlkdb.com/?spell=3373, -0.3, 0.55, 0.25, 45.5
Gooey Spider Cake, https://wotlkdb.com/?spell=3377, -0.347, 0.397, 0.05, 12.6
Lean Wolf Steak, https://wotlkdb.com/?spell=15853, -0.3805, 0.39, 0.0095, 2.4
Cooked Crab Claw, https://wotlkdb.com/?spell=2545, -0.3862, 0.6083, 0.2221, 36.5
Clam Chowder, https://wotlkdb.com/?spell=6501, -0.3925, 0.4, 0.0075, 1.9
Westfall Stew, https://wotlkdb.com/?spell=2543, -0.4133, 0.4233, 0.01, 2.4
Grilled Sculpin, https://wotlkdb.com/?spell=45563, -0.45, 1.2, 0.75, 62.5
Crispy Bat Wing, https://wotlkdb.com/?spell=15935, -0.499, 0.5, 0.001, 0.2
Smoked Salmon, https://wotlkdb.com/?spell=45564, -0.5, 2.46, 1.96, 79.7
Nightfin Soup, https://wotlkdb.com/?spell=18243, -0.6123, 0.6625, 0.0502, 7.6
Strider Stew, https://wotlkdb.com/?spell=6416, -0.6856, 0.6874, 0.0018, 0.3
Tasty Lion Steak, https://wotlkdb.com/?spell=3399, -0.74, 1.58, 0.84, 53.2
Seasoned Wolf Kabob, https://wotlkdb.com/?spell=2549, -0.7694, 0.78, 0.0106, 1.4
Hot Lion Chops, https://wotlkdb.com/?spell=3398, -0.7775, 0.79, 0.0125, 1.6
Haunted Herring, https://wotlkdb.com/?spell=58525, -0.845, 4.845, 4, 82.6
Broiled Bloodfin, https://wotlkdb.com/?spell=43761, -0.8742, 0.875, 0.0008, 0.1
Dry Pork Ribs, https://wotlkdb.com/?spell=2546, -0.88, 0.98, 0.1, 10.2
Fisherman's Feast, https://wotlkdb.com/?spell=42302, -0.9014, 1.9013, 0.9999, 52.6
Goblin Deviled Clams, https://wotlkdb.com/?spell=6500, -0.9267, 1.2167, 0.29, 23.8
Tracker Snacks, https://wotlkdb.com/?spell=57443, -0.96, 2.21, 1.25, 56.6
Worm Delight, https://wotlkdb.com/?spell=45551, -0.9663, 0.99, 0.0237, 2.4
Crispy Lizard Tail, https://wotlkdb.com/?spell=6418, -0.9875, 1, 0.0125, 1.3
Herb Baked Egg, https://wotlkdb.com/?spell=8604, -0.997, 1, 0.003, 0.3
Spiced Worm Burger, https://wotlkdb.com/?spell=45557, -1.015, 3.94, 2.925, 74.2
Critter Bites, https://wotlkdb.com/?spell=57435, -1.055, 2.045, 0.99, 48.4
Heavy Crocolisk Stew, https://wotlkdb.com/?spell=24418, -1.07, 1.1, 0.03, 2.7
Lean Venison, https://wotlkdb.com/?spell=6419, -1.1505, 1.16, 0.0095, 0.8
Spider Sausage, https://wotlkdb.com/?spell=21175, -1.36, 1.6, 0.24, 15
Redridge Goulash, https://wotlkdb.com/?spell=2547, -1.8019, 2.0019, 0.2, 10
Succulent Pork Ribs, https://wotlkdb.com/?spell=2548, -1.9525, 1.96, 0.0075, 0.4
Heavy Kodo Stew, https://wotlkdb.com/?spell=15910, -1.97, 2, 0.03, 1.5
Gingerbread Cookie, https://wotlkdb.com/?spell=21143, -1.999, 2, 0.001, 0.1
