Name, Link, Profit, Cost, Sell, ROI %
Mystery Stew, https://wotlkdb.com/?spell=15865, 84.67, 15.33, 100, 652.3
Delicious Chocolate Cake, https://wotlkdb.com/?spell=43779, 33.4139, 11.5861, 45, 388.4
Small Feast, https://wotlkdb.com/?spell=58528, 17.0624, 8.9376, 26, 290.9
Gigantic Feast, https://wotlkdb.com/?spell=58527, 14.6824, 18.4176, 33.1, 179.7
Buzzard Bites, https://wotlkdb.com/?spell=33279, 14.37, 0.38, 14.75, 3881.6
Blackened Dragonfin, https://wotlkdb.com/?spell=57441, 9.6924, 7.0576, 16.75, 237.3
Rhinolicious Wormsteak, https://wotlkdb.com/?spell=57434, 6.7088, 3.2411, 9.9499, 307
Stormchops, https://wotlkdb.com/?spell=43758, 6.21, 0.74, 6.95, 939.2
Smoked Desert Dumplings, https://wotlkdb.com/?spell=24801, 6.19, 0.76, 6.95, 914.5
Firecracker Salmon, https://wotlkdb.com/?spell=45568, 5.5824, 4.3076, 9.89, 229.6
Fish Feast, https://wotlkdb.com/?spell=57423, 5.2846, 9.7154, 15, 154.4
Dragonbreath Chili, https://wotlkdb.com/?spell=15906, 5.17, 2.83, 8, 282.7
Broiled Bloodfin, https://wotlkdb.com/?spell=43761, 5, 10, 15, 150
Bad Clams, https://wotlkdb.com/?spell=58523, 4.7605, 0.2395, 5, 2087.7
Blackened Worg Steak, https://wotlkdb.com/?spell=57438, 4.1444, 2.2156, 6.36, 287.1
Monster Omelet, https://wotlkdb.com/?spell=15933, 4.0001, 0.9999, 5, 500.1
Thistle Tea, https://wotlkdb.com/?spell=9513, 3.5575, 0.4425, 4, 904
Smoked Bear Meat, https://wotlkdb.com/?spell=8607, 3.537, 0.0344, 3.5714, 10382
Juicy Bear Burger, https://wotlkdb.com/?spell=46688, 3.5, 1.5, 5, 333.3
Spiced Mammoth Treats, https://wotlkdb.com/?spell=57440, 3.4424, 2.5076, 5.95, 237.3
Snapper Extreme, https://wotlkdb.com/?spell=57437, 3.3842, 2.1158, 5.5, 259.9
Tender Shoveltusk Steak, https://wotlkdb.com/?spell=45556, 3.1924, 2.6576, 5.85, 220.1
Dragonfin Filet, https://wotlkdb.com/?spell=57442, 2.9424, 7.0576, 10, 141.7
Very Burnt Worg, https://wotlkdb.com/?spell=45558, 2.7844, 2.2156, 5, 225.7
Worg Tartare, https://wotlkdb.com/?spell=62350, 2.6264, 2.3736, 5, 210.7
Last Week's Mammoth, https://wotlkdb.com/?spell=58521, 2.55, 0.45, 3, 666.7
Soothing Turtle Bisque, https://wotlkdb.com/?spell=3400, 2.4778, 0.0122, 2.49, 20409.8
Sauteed Goby, https://wotlkdb.com/?spell=45562, 2.43, 0.05, 2.48, 4960
Imperial Manta Steak, https://wotlkdb.com/?spell=45570, 2.1524, 3.8476, 6, 155.9
Hearty Rhino, https://wotlkdb.com/?spell=57436, 1.9724, 2.2476, 4.22, 187.8
Spicy Blue Nettlefish, https://wotlkdb.com/?spell=45571, 1.9224, 3.0576, 4.98, 162.9
Feltail Delight, https://wotlkdb.com/?spell=33291, 1.8205, 0.1595, 1.98, 1241.4
Spicy Hot Talbuk, https://wotlkdb.com/?spell=43765, 1.8025, 0.0975, 1.9, 1948.7
Great Feast, https://wotlkdb.com/?spell=45554, 1.6779, 1.8421, 3.52, 191.1
Grilled Mudfish, https://wotlkdb.com/?spell=33293, 1.6558, 0.1691, 1.8249, 1079.2
Tasty Cupcake, https://wotlkdb.com/?spell=58512, 1.6548, 0.1852, 1.84, 993.5
Savory Deviate Delight, https://wotlkdb.com/?spell=8238, 1.5, 4.4, 5.9, 134.1
Poached Northern Sculpin, https://wotlkdb.com/?spell=45567, 1.3635, 2.6365, 4, 151.7
Blackened Sporefish, https://wotlkdb.com/?spell=33292, 1.2949, 0.1495, 1.4444, 966.2
Roasted Clefthoof, https://wotlkdb.com/?spell=33287, 1.26, 0.3, 1.56, 520
Spotted Yellowtail, https://wotlkdb.com/?spell=18238, 1.201, 0.074, 1.275, 1723
Cuttlesteak, https://wotlkdb.com/?spell=57439, 1.1454, 2.0646, 3.21, 155.5
Dalaran Clam Chowder, https://wotlkdb.com/?spell=58065, 1.102, 0.398, 1.5, 376.9
Mammoth Meal, https://wotlkdb.com/?spell=45549, 1.045, 0.45, 1.495, 332.2
Mega Mammoth Meal, https://wotlkdb.com/?spell=45555, 1.0424, 2.9576, 4, 135.2
Warp Burger, https://wotlkdb.com/?spell=33288, 1.01, 0.99, 2, 202
Slitherskin Mackerel, https://wotlkdb.com/?spell=7752, 0.9901, 0.0099, 1, 10101
Baked Manta Ray, https://wotlkdb.com/?spell=45569, 0.97, 1.79, 2.76, 154.2
Barbecued Buzzard Wing, https://wotlkdb.com/?spell=4094, 0.9604, 0.0395, 0.9999, 2531.4
Sporeling Snack, https://wotlkdb.com/?spell=33285, 0.9603, 0.0397, 1, 2518.9
Spicy Fried Herring, https://wotlkdb.com/?spell=57433, 0.9424, 3.0076, 3.95, 131.3
Undermine Clam Chowder, https://wotlkdb.com/?spell=20626, 0.8814, 0.0138, 0.8952, 6487
Clam Bar, https://wotlkdb.com/?spell=36210, 0.871, 0.129, 1, 775.2
Northern Stew, https://wotlkdb.com/?spell=57421, 0.8307, 0.0493, 0.88, 1785
Rainbow Fin Albacore, https://wotlkdb.com/?spell=7827, 0.793, 0.147, 0.94, 639.5
Roasted Worg, https://wotlkdb.com/?spell=45552, 0.792, 0.158, 0.95, 601.3
Roasted Kodo Meat, https://wotlkdb.com/?spell=6414, 0.7604, 0.0396, 0.8, 2020.2
Black Jelly, https://wotlkdb.com/?spell=64358, 0.665, 8.76, 9.425, 107.6
Kibler's Bits, https://wotlkdb.com/?spell=43772, 0.62, 0.38, 1, 263.2
Rhino Dogs, https://wotlkdb.com/?spell=45553, 0.56, 0.19, 0.75, 394.7
Grilled Bonescale, https://wotlkdb.com/?spell=45561, 0.5462, 0.0194, 0.5656, 2915.5
Worm Delight, https://wotlkdb.com/?spell=45551, 0.5065, 0.9935, 1.5, 151
Big Bear Steak, https://wotlkdb.com/?spell=3397, 0.4937, 0.0995, 0.5932, 596.2
Crunchy Spider Surprise, https://wotlkdb.com/?spell=28267, 0.4828, 0.0172, 0.5, 2907
Crispy Lizard Tail, https://wotlkdb.com/?spell=6418, 0.4238, 0.0762, 0.5, 656.2
Grilled Sculpin, https://wotlkdb.com/?spell=45563, 0.4211, 0.5789, 1, 172.7
Shoveltusk Steak, https://wotlkdb.com/?spell=45550, 0.4, 0.3, 0.7, 233.3
Grilled Squid, https://wotlkdb.com/?spell=18240, 0.3249, 0.375, 0.6999, 186.6
Talbuk Steak, https://wotlkdb.com/?spell=33289, 0.2775, 0.0975, 0.375, 384.6
Hot Smoked Bass, https://wotlkdb.com/?spell=18242, 0.2313, 0.099, 0.3303, 333.6
Rockscale Cod, https://wotlkdb.com/?spell=7828, 0.2135, 0.0865, 0.3, 346.8
Roast Raptor, https://wotlkdb.com/?spell=15855, 0.2, 0.05, 0.25, 500
Nightfin Soup, https://wotlkdb.com/?spell=18243, 0.1315, 0.3225, 0.454, 140.8
Ravager Dog, https://wotlkdb.com/?spell=33284, 0.0905, 0.1495, 0.24, 160.5
Strider Stew, https://wotlkdb.com/?spell=6416, 0.0809, 0.0022, 0.0831, 3777.3
Filet of Redgill, https://wotlkdb.com/?spell=18241, 0.0807, 0.1395, 0.2202, 157.8
Hot Wolf Ribs, https://wotlkdb.com/?spell=15856, 0.0738, 0.0198, 0.0936, 472.7
Longjaw Mud Snapper, https://wotlkdb.com/?spell=7753, 0.0431, 0.0002, 0.0433, 21650
Clamlette Magnifique, https://wotlkdb.com/?spell=64054, 0.0231, 0.0069, 0.03, 434.8
Blackened Trout, https://wotlkdb.com/?spell=33290, 0.016, 0.029, 0.045, 155.2
Smoked Rockfin, https://wotlkdb.com/?spell=45560, 0.01, 0.23, 0.24, 104.3
Murloc Fin Soup, https://wotlkdb.com/?spell=3372, -0.0043, 0.0168, 0.0125, 74.4
Stewed Trout, https://wotlkdb.com/?spell=42296, -0.009, 0.029, 0.02, 69
Curiously Tasty Omelet, https://wotlkdb.com/?spell=3376, -0.0095, 0.1095, 0.1, 91.3
Poached Sunscale Salmon, https://wotlkdb.com/?spell=18244, -0.01, 0.24, 0.23, 95.8
Crocolisk Steak, https://wotlkdb.com/?spell=3370, -0.0128, 0.0153, 0.0025, 16.3
Lean Venison, https://wotlkdb.com/?spell=6419, -0.0197, 0.0292, 0.0095, 32.5
Golden Fish Sticks, https://wotlkdb.com/?spell=33295, -0.02, 0.72, 0.7, 97.2
Lynx Steak, https://wotlkdb.com/?spell=33276, -0.0244, 0.025, 0.0006, 2.4
Lean Wolf Steak, https://wotlkdb.com/?spell=15853, -0.0285, 0.038, 0.0095, 25
Brilliant Smallfish, https://wotlkdb.com/?spell=7751, -0.0287, 0.0289, 0.0002, 0.7
Carrion Surprise, https://wotlkdb.com/?spell=15863, -0.03, 0.33, 0.3, 90.9
Jungle Stew, https://wotlkdb.com/?spell=15861, -0.037, 0.102, 0.065, 63.7
Crispy Bat Wing, https://wotlkdb.com/?spell=15935, -0.0389, 0.0399, 0.001, 2.5
Spiced Worm Burger, https://wotlkdb.com/?spell=45557, -0.0446, 4.0446, 4, 98.9
Crocolisk Gumbo, https://wotlkdb.com/?spell=3373, -0.0595, 0.0695, 0.01, 14.4
Poached Nettlefish, https://wotlkdb.com/?spell=45565, -0.06, 1, 0.94, 94
Blood Sausage, https://wotlkdb.com/?spell=3371, -0.0627, 0.0667, 0.004, 6
Seasoned Wolf Kabob, https://wotlkdb.com/?spell=2549, -0.066, 0.076, 0.01, 13.2
Kaldorei Spider Kabob, https://wotlkdb.com/?spell=6412, -0.0865, 0.0875, 0.001, 1.1
Heavy Crocolisk Stew, https://wotlkdb.com/?spell=24418, -0.109, 0.139, 0.03, 21.6
Hot Lion Chops, https://wotlkdb.com/?spell=3398, -0.14, 1.39, 1.25, 89.9
Bristle Whisker Catfish, https://wotlkdb.com/?spell=7755, -0.1405, 0.28, 0.1395, 49.8
Mighty Rhino Dogs, https://wotlkdb.com/?spell=45559, -0.1876, 2.4376, 2.25, 92.3
Bread of the Dead, https://wotlkdb.com/?spell=65454, -0.1899, 0.19, 0.0001, 0.1
Scorpid Surprise, https://wotlkdb.com/?spell=6413, -0.197, 0.198, 0.001, 0.5
Roasted Boar Meat, https://wotlkdb.com/?spell=2540, -0.2493, 0.25, 0.0007, 0.3
Smoked Salmon, https://wotlkdb.com/?spell=45564, -0.2702, 2.25, 1.9798, 88
Cooked Crab Claw, https://wotlkdb.com/?spell=2545, -0.2975, 0.3, 0.0025, 0.8
Blackened Basilisk, https://wotlkdb.com/?spell=33286, -0.3205, 0.7605, 0.44, 57.9
Fisherman's Feast, https://wotlkdb.com/?spell=42302, -0.3644, 0.92, 0.5556, 60.4
Gooey Spider Cake, https://wotlkdb.com/?spell=3377, -0.372, 0.382, 0.01, 2.6
Tracker Snacks, https://wotlkdb.com/?spell=57443, -0.4076, 2.3576, 1.95, 82.7
Bat Bites, https://wotlkdb.com/?spell=33278, -0.4325, 0.435, 0.0025, 0.6
Smoked Sagefish, https://wotlkdb.com/?spell=25704, -0.45, 1.46, 1.01, 69.2
Spiced Chili Crab, https://wotlkdb.com/?spell=15915, -0.47, 0.5, 0.03, 6
Cooked Glossy Mightfish, https://wotlkdb.com/?spell=18239, -0.4876, 0.49, 0.0024, 0.5
Pickled Fangtooth, https://wotlkdb.com/?spell=45566, -0.5, 0.95, 0.45, 47.4
Herb Baked Egg, https://wotlkdb.com/?spell=8604, -0.8064, 1, 0.1936, 19.4
Dig Rat Stew, https://wotlkdb.com/?spell=6417, -0.8744, 0.8814, 0.007, 0.8
Boiled Clams, https://wotlkdb.com/?spell=6499, -0.8925, 0.9925, 0.1, 10.1
Poached Bluefish, https://wotlkdb.com/?spell=33294, -0.9825, 1.9, 0.9175, 48.3
Westfall Stew, https://wotlkdb.com/?spell=2543, -1.1345, 1.1445, 0.01, 0.9
Critter Bites, https://wotlkdb.com/?spell=57435, -1.1662, 2.1562, 0.99, 45.9
Clam Chowder, https://wotlkdb.com/?spell=6501, -1.17, 1.1775, 0.0075, 0.6
Spicy Crawdad, https://wotlkdb.com/?spell=33296, -1.25, 2, 0.75, 37.5
Lobster Stew, https://wotlkdb.com/?spell=18245, -1.3058, 2.0858, 0.78, 37.4
Charred Bear Kabobs, https://wotlkdb.com/?spell=46684, -1.4475, 1.5, 0.0525, 3.5
Heavy Kodo Stew, https://wotlkdb.com/?spell=15910, -1.4702, 1.5002, 0.03, 2
Spiced Wolf Meat, https://wotlkdb.com/?spell=2539, -1.5, 2, 0.5, 25
Spider Sausage, https://wotlkdb.com/?spell=21175, -1.93, 2.16, 0.23, 10.6
Haunted Herring, https://wotlkdb.com/?spell=58525, -1.95, 6.95, 5, 71.9
Charred Wolf Meat, https://wotlkdb.com/?spell=2538, -1.955, 2, 0.045, 2.3
Giant Clam Scorcho, https://wotlkdb.com/?spell=7213, -1.9688, 2, 0.0312, 1.6
Goretusk Liver Pie, https://wotlkdb.com/?spell=2542, -2.3659, 2.3684, 0.0025, 0.1
Tasty Lion Steak, https://wotlkdb.com/?spell=3399, -2.75, 2.78, 0.03, 1.1
Crab Cake, https://wotlkdb.com/?spell=2544, -3.7245, 3.775, 0.0505, 1.3
Dry Pork Ribs, https://wotlkdb.com/?spell=2546, -3.8185, 4, 0.1815, 4.5
Goblin Deviled Clams, https://wotlkdb.com/?spell=6500, -3.87, 4.86, 0.99, 20.4
Baked Salmon, https://wotlkdb.com/?spell=18247, -4.8738, 5, 0.1262, 2.5
Sagefish Delight, https://wotlkdb.com/?spell=25954, -7.25, 10, 2.75, 27.5
Hot Buttered Trout, https://wotlkdb.com/?spell=42305, -7.78, 7.8, 0.02, 0.3
Succulent Pork Ribs, https://wotlkdb.com/?spell=2548, -7.9925, 8, 0.0075, 0.1
Coyote Steak, https://wotlkdb.com/?spell=2541, -9.998, 10, 0.002, 0
Redridge Goulash, https://wotlkdb.com/?spell=2547, -14.994, 15.009, 0.015, 0.1
Gingerbread Cookie, https://wotlkdb.com/?spell=21143, -14.999, 15, 0.001, 0
Skullfish Soup, https://wotlkdb.com/?spell=43707, -17.8005, 20, 2.1995, 11
Fillet of Frenzy, https://wotlkdb.com/?spell=6415, -20.7997, 20.8, 0.0003, 0
Mightfish Steak, https://wotlkdb.com/?spell=18246, -22.0001, 30, 7.9999, 26.7
Captain Rumsey's Lager, https://wotlkdb.com/?spell=45695, -34.2, 35, 0.8, 2.3
