Name, Link, Profit, Cost, Sell, ROI %
Enchant Weapon - Blood Draining, https://wotlkdb.com/?spell=64579, 2307.2, 681.8, 2989, 438.4
Enchant Chest - Exceptional Stats, https://wotlkdb.com/?spell=27960, 2149.17, 375.83, 2525, 671.8
Enchant Bracer - Fortitude, https://wotlkdb.com/?spell=27914, 2113.0243, 775.04, 2888.0643, 372.6
Enchant Gloves - Precise Strikes, https://wotlkdb.com/?spell=33994, 2083.7599, 604.24, 2687.9999, 444.9
Enchant Cloak - Dodge, https://wotlkdb.com/?spell=25086, 1973.82, 248.18, 2222, 895.3
Enchant Gloves - Fire Power, https://wotlkdb.com/?spell=25078, 1899.2499, 100.75, 1999.9999, 1985.1
Enchant Boots - Dexterity, https://wotlkdb.com/?spell=27951, 1874.2168, 582.79, 2457.0068, 421.6
Enchant Cloak - Greater Resistance, https://wotlkdb.com/?spell=20014, 1870.5925, 17.9074, 1888.4999, 10545.9
Enchant 2H Weapon - Major Agility, https://wotlkdb.com/?spell=27977, 1832.5799, 657.42, 2489.9999, 378.8
Enchant Bracer - Superior Strength, https://wotlkdb.com/?spell=20010, 1795.1702, 64.8298, 1860, 2869.1
Enchant Boots - Surefooted, https://wotlkdb.com/?spell=27954, 1759.4399, 121.56, 1880.9999, 1547.4
Enchant Gloves - Frost Power, https://wotlkdb.com/?spell=25074, 1663.2492, 225.7096, 1888.9588, 836.9
Enchant Weapon - Healing Power, https://wotlkdb.com/?spell=22750, 1637.3993, 245.6007, 1883, 766.7
Enchant Weapon - Deathfrost, https://wotlkdb.com/?spell=46578, 1587.8563, 112.1436, 1699.9999, 1515.9
Enchant Weapon - Major Striking, https://wotlkdb.com/?spell=27967, 1562.9375, 472.7615, 2035.699, 430.6
Enchant Shield - Resistance, https://wotlkdb.com/?spell=27947, 1546.98, 53.02, 1600, 3017.7
Enchant Boots - Fortitude, https://wotlkdb.com/?spell=27950, 1442.49, 43.51, 1486, 3415.3
Enchant Bracer - Restore Mana Prime, https://wotlkdb.com/?spell=27913, 1438.2499, 559.75, 1997.9999, 356.9
Enchant Shield - Shield Block, https://wotlkdb.com/?spell=27946, 1400.6899, 341.31, 1741.9999, 510.4
Enchant Weapon - Major Healing, https://wotlkdb.com/?spell=34010, 1395.3824, 587.5215, 1982.9039, 337.5
Enchant Shield - Intellect, https://wotlkdb.com/?spell=27945, 1382.2544, 284.35, 1666.6044, 586.1
Enchant Cloak - Stealth, https://wotlkdb.com/?spell=25083, 1325.68, 231.32, 1557, 673.1
Enchant Weapon - Major Spellpower, https://wotlkdb.com/?spell=27975, 1251.8785, 713.1215, 1965, 275.5
Enchant Cloak - Lesser Agility, https://wotlkdb.com/?spell=13882, 1221.15, 28.85, 1250, 4332.8
Enchant Gloves - Major Spellpower, https://wotlkdb.com/?spell=33997, 1217.86, 774.14, 1992, 257.3
Enchant Weapon - Superior Striking, https://wotlkdb.com/?spell=20031, 1168.9989, 106.0011, 1275, 1202.8
Enchant 2H Weapon - Superior Impact, https://wotlkdb.com/?spell=20030, 1141.5985, 53.4015, 1195, 2237.8
Enchant Weapon - Mighty Spirit, https://wotlkdb.com/?spell=23803, 1137.0389, 160.9611, 1298, 806.4
Enchant Cloak - Subtlety, https://wotlkdb.com/?spell=25084, 1131.0956, 168.9044, 1300, 769.7
Enchant Weapon - Sunfire, https://wotlkdb.com/?spell=27981, 1055.37, 1142.1299, 2197.4999, 192.4
Enchant Cloak - Superior Arcane Resistance, https://wotlkdb.com/?spell=44596, 1048.47, 51.68, 1100.15, 2128.8
Enchant Cloak - Superior Nature Resistance, https://wotlkdb.com/?spell=44494, 1021.3, 78.7, 1100, 1397.7
Enchant Weapon - Spellsurge, https://wotlkdb.com/?spell=28003, 986.22, 1012.78, 1999, 197.4
Enchant Cloak - Greater Agility, https://wotlkdb.com/?spell=34004, 970.6331, 144.32, 1114.9531, 772.6
Enchant Weapon - Soulfrost, https://wotlkdb.com/?spell=27982, 959.0692, 1236.9308, 2196, 177.5
Enchant Weapon - Unholy Weapon, https://wotlkdb.com/?spell=20033, 940.9185, 51.0815, 992, 1942
Enchant Weapon - Greater Agility, https://wotlkdb.com/?spell=42620, 937.6685, 530.7815, 1468.45, 276.7
Enchant Bracer - Healing Power, https://wotlkdb.com/?spell=23802, 887.73, 92.27, 980, 1062.1
Enchant Gloves - Healing Power, https://wotlkdb.com/?spell=25079, 806.9401, 92.0599, 899, 976.5
Enchant Weapon - Mighty Intellect, https://wotlkdb.com/?spell=23804, 788.199, 198.801, 987, 496.5
Enchant 2H Weapon - Savagery, https://wotlkdb.com/?spell=27971, 752.4384, 197.5615, 949.9999, 480.9
Enchant Gloves - Shadow Power, https://wotlkdb.com/?spell=25073, 745.8241, 127.93, 873.7541, 683
Enchant Boots - Spirit, https://wotlkdb.com/?spell=20024, 724.166, 52.9498, 777.1158, 1467.6
Enchant 2H Weapon - Agility, https://wotlkdb.com/?spell=27837, 719.5985, 180.4015, 900, 498.9
Enchant Cloak - Spell Penetration, https://wotlkdb.com/?spell=34003, 706.27, 241.73, 948, 392.2
Enchant Weapon - Executioner, https://wotlkdb.com/?spell=42974, 675.1, 863.9, 1539, 178.1
Enchant Weapon - Blade Ward, https://wotlkdb.com/?spell=64441, 623.45, 926.55, 1550, 167.3
Enchant Gloves - Superior Agility, https://wotlkdb.com/?spell=25080, 603.7399, 340.26, 943.9999, 277.4
Enchant Weapon - Greater Striking, https://wotlkdb.com/?spell=13943, 602.3996, 80.4015, 682.8011, 849.2
Enchant Weapon - Agility, https://wotlkdb.com/?spell=23800, 592.4885, 149.2015, 741.69, 497.1
Enchant Cloak - Greater Fire Resistance, https://wotlkdb.com/?spell=25081, 565.78, 234.22, 800, 341.6
Enchant Cloak - Greater Nature Resistance, https://wotlkdb.com/?spell=25082, 527.78, 227.22, 755, 332.3
Enchant Cloak - Superior Fire Resistance, https://wotlkdb.com/?spell=44556, 525.3, 94.7, 620, 654.7
Enchant Weapon - Mongoose, https://wotlkdb.com/?spell=27984, 504.6, 994.4, 1499, 150.7
Enchant Boots - Cat's Swiftness, https://wotlkdb.com/?spell=34007, 496.38, 607.62, 1104, 181.7
Enchant Chest - Stats, https://wotlkdb.com/?spell=13941, 479.166, 73.01, 552.176, 756.3
Enchant Cloak - Superior Defense, https://wotlkdb.com/?spell=20015, 475.21, 24.79, 500, 2016.9
Enchant Weapon - Major Intellect, https://wotlkdb.com/?spell=27968, 468.1185, 730.8815, 1199, 164
Enchant Shield - Tough Shield, https://wotlkdb.com/?spell=27944, 436.3598, 48.63, 484.9898, 997.3
Enchant 2H Weapon - Major Spirit, https://wotlkdb.com/?spell=20035, 393.2418, 106.0011, 499.2429, 471
Enchant Weapon - Lifestealing, https://wotlkdb.com/?spell=20032, 385.7785, 52.9615, 438.74, 828.4
Enchant 2H Weapon - Major Intellect, https://wotlkdb.com/?spell=20036, 381.9989, 106.0011, 488, 460.4
Enchant Gloves - Angler, https://wotlkdb.com/?spell=71692, 379.0235, 37.95, 416.9735, 1098.7
Enchant Weapon - Potency, https://wotlkdb.com/?spell=27972, 364.7885, 484.2115, 849, 175.3
Enchant Weapon - Spellpower, https://wotlkdb.com/?spell=22749, 359.3991, 239.6009, 599, 250
Enchant Boots - Minor Speed, https://wotlkdb.com/?spell=13890, 342.1699, 23.83, 365.9999, 1535.9
Enchant Bracer - Superior Spirit, https://wotlkdb.com/?spell=20009, 336.12, 53.88, 390, 723.8
Enchant Weapon - Icy Chill, https://wotlkdb.com/?spell=20029, 327.8006, 77.1894, 404.99, 524.7
Enchant Weapon - Striking, https://wotlkdb.com/?spell=13693, 323.0796, 9.8915, 332.9711, 3366.2
Enchant Boots - Boar's Speed, https://wotlkdb.com/?spell=34008, 314.46, 185.54, 500, 269.5
Enchant 2H Weapon - Massacre, https://wotlkdb.com/?spell=60691, 308.2, 940.8, 1249, 132.8
Enchant Weapon - Black Magic, https://wotlkdb.com/?spell=59625, 306.2, 986.8, 1293, 131
Enchant Bracer - Deflection, https://wotlkdb.com/?spell=13931, 303.4931, 33.99, 337.4831, 992.9
Enchant Boots - Greater Agility, https://wotlkdb.com/?spell=20023, 301.6899, 48.81, 350.4999, 718.1
Enchant Chest - Lesser Stats, https://wotlkdb.com/?spell=13700, 284.732, 18.42, 303.152, 1645.8
Enchant Shield - Lesser Block, https://wotlkdb.com/?spell=13689, 284.58, 18.42, 303, 1645
Enchant Cloak - Superior Shadow Resistance, https://wotlkdb.com/?spell=44590, 281.69, 51.81, 333.5, 643.7
Enchant Weapon - Lesser Striking, https://wotlkdb.com/?spell=13503, 269.4902, 3.8793, 273.3695, 7046.9
Enchant Bracer - Mana Regeneration, https://wotlkdb.com/?spell=23801, 262.037, 138.6698, 400.7068, 289
Enchant Weapon - Strength, https://wotlkdb.com/?spell=23799, 258.4485, 140.8015, 399.25, 283.6
Enchant Chest - Mana, https://wotlkdb.com/?spell=13607, 254.056, 17.8, 271.856, 1527.3
Enchant 2H Weapon - Lesser Intellect, https://wotlkdb.com/?spell=7793, 248.4302, 23.4015, 271.8317, 1161.6
Enchant Shield - Stamina, https://wotlkdb.com/?spell=13817, 246.6715, 13.9, 260.5715, 1874.6
Enchant Gloves - Advanced Herbalism, https://wotlkdb.com/?spell=13868, 244.5592, 15.49, 260.0492, 1678.8
Enchant Weapon - Mighty Spellpower, https://wotlkdb.com/?spell=60714, 244.2, 926.8, 1171, 126.3
Enchant Weapon - Berserking, https://wotlkdb.com/?spell=59621, 242.4, 1404.8, 1647.2, 117.3
Enchant Chest - Minor Stats, https://wotlkdb.com/?spell=13626, 240.7161, 15.7778, 256.4939, 1625.7
Enchant Chest - Lesser Absorption, https://wotlkdb.com/?spell=13538, 238.7782, 15.6328, 254.411, 1627.4
Enchant Staff - Greater Spellpower, https://wotlkdb.com/?spell=62948, 222.97, 927.7, 1150.67, 124
Enchant Bracer - Minor Spirit, https://wotlkdb.com/?spell=7766, 222.6374, 12.87, 235.5074, 1829.9
