Name, Link, Profit, Cost, Sell, ROI %
Enchant Weapon - Sunfire, https://wotlkdb.com/?spell=27981, 4105.3687, 1110.61, 5215.9787, 469.6
Enchant Cloak - Superior Frost Resistance, https://wotlkdb.com/?spell=44483, 2880.5, 118.5, 2999, 2530.8
Enchant Weapon - Soulfrost, https://wotlkdb.com/?spell=27982, 2870.1814, 1129.1784, 3999.3598, 354.2
Enchant Weapon - Battlemaster, https://wotlkdb.com/?spell=28004, 2650.1207, 349.7792, 2999.8999, 857.7
Enchant Weapon - Major Healing, https://wotlkdb.com/?spell=34010, 2626.5259, 367.3742, 2993.9001, 814.9
Enchant Weapon - Greater Agility, https://wotlkdb.com/?spell=42620, 2496.8857, 497.0144, 2993.9001, 602.4
Enchant Weapon - Major Spellpower, https://wotlkdb.com/?spell=27975, 2243.8864, 738.0142, 2981.9006, 404
Enchant Weapon - Spellsurge, https://wotlkdb.com/?spell=28003, 1955.4471, 1009.9988, 2965.4459, 293.6
Enchant Cloak - Greater Agility, https://wotlkdb.com/?spell=34004, 1878.455, 121.015, 1999.47, 1652.2
Enchant Gloves - Precise Strikes, https://wotlkdb.com/?spell=33994, 1872.4099, 626.9998, 2499.4097, 398.6
Enchant Cloak - Steelweave, https://wotlkdb.com/?spell=47051, 1766.1072, 621.2, 2387.3072, 384.3
Enchant Chest - Defense, https://wotlkdb.com/?spell=46594, 1679.9299, 319.52, 1999.4499, 625.8
Enchant Weapon - Major Striking, https://wotlkdb.com/?spell=27967, 1508.9184, 489.0148, 1997.9332, 408.6
Enchant Weapon - Strength, https://wotlkdb.com/?spell=23799, 1463.025, 161.975, 1625, 1003.2
Enchant Cloak - Greater Resistance, https://wotlkdb.com/?spell=20014, 1440.8347, 12.6153, 1453.45, 11521.3
Enchant Weapon - Healing Power, https://wotlkdb.com/?spell=22750, 1368.9334, 179.015, 1547.9484, 864.7
Enchant 2H Weapon - Major Agility, https://wotlkdb.com/?spell=27977, 1356.0008, 643.9992, 2000, 310.6
Enchant Weapon - Mighty Spirit, https://wotlkdb.com/?spell=23803, 1348.5337, 187.415, 1535.9487, 819.5
Enchant Boots - Boar's Speed, https://wotlkdb.com/?spell=34008, 1234.2507, 201.1992, 1435.4499, 713.4
Enchant Cloak - Stealth, https://wotlkdb.com/?spell=25083, 1197.015, 238.435, 1435.45, 602
Enchant Bracer - Spellpower, https://wotlkdb.com/?spell=27917, 1081.1478, 272.2004, 1353.3482, 497.2
Enchant Gloves - Major Healing, https://wotlkdb.com/?spell=33999, 980.7455, 565.6944, 1546.4399, 273.4
Enchant Chest - Stats, https://wotlkdb.com/?spell=13941, 925.4365, 74.0435, 999.48, 1349.9
Enchant Bracer - Superior Stamina, https://wotlkdb.com/?spell=20011, 923.445, 26.015, 949.46, 3649.7
Enchant Bracer - Mana Regeneration, https://wotlkdb.com/?spell=23801, 918.7548, 80.715, 999.4698, 1238.3
Enchant Boots - Cat's Swiftness, https://wotlkdb.com/?spell=34007, 889.4508, 443.9992, 1333.45, 300.3
Enchant Shield - Resistance, https://wotlkdb.com/?spell=27947, 881.9002, 49.5598, 931.46, 1879.5
Enchant 2H Weapon - Major Intellect, https://wotlkdb.com/?spell=20036, 876.6448, 135.815, 1012.4598, 745.5
Enchant 2H Weapon - Savagery, https://wotlkdb.com/?spell=27971, 842.4736, 164.0146, 1006.4882, 613.7
Enchant Weapon - Spellpower, https://wotlkdb.com/?spell=22749, 839.845, 262.615, 1102.46, 419.8
Enchant Gloves - Major Spellpower, https://wotlkdb.com/?spell=33997, 809.4225, 737.0174, 1546.4399, 209.8
Enchant Boots - Dexterity, https://wotlkdb.com/?spell=27951, 754.9399, 598.015, 1352.9549, 226.2
Enchant Cloak - Spell Penetration, https://wotlkdb.com/?spell=34003, 733.0304, 222.021, 955.0514, 430.2
Enchant Weapon - Blood Draining, https://wotlkdb.com/?spell=64579, 730.25, 599.75, 1330, 221.8
