Name, Link, Profit, Cost, Sell, ROI %
Force Reactive Disk, https://wotlkdb.com/?spell=22797, 24375.1606, 1624.8394, 26000, 1600.2
Hyper-Vision Goggles, https://wotlkdb.com/?spell=30325, 6584.14, 415.86, 7000, 1683.3
Bloodvine Lens, https://wotlkdb.com/?spell=24357, 5009.8346, 90.1654, 5100, 5656.3
Gnomish Mind Control Cap, https://wotlkdb.com/?spell=12907, 4892.9971, 108.0029, 5001, 4630.4
Goblin Rocket Boots, https://wotlkdb.com/?spell=8895, 4865.0604, 133.9396, 4999, 3732.3
Core Marksman Rifle, https://wotlkdb.com/?spell=22795, 4175.7631, 1181.7112, 5357.4743, 453.4
Turbo-Charged Flying Machine, https://wotlkdb.com/?spell=44157, 2158, 5592, 7750, 138.6
Ultrasafe Transporter - Gadgetzan, https://wotlkdb.com/?spell=23489, 2139.8782, 193.2468, 2333.125, 1207.3
Goblin Rocket Launcher, https://wotlkdb.com/?spell=30563, 1926.6273, 1510.27, 3436.8973, 227.6
Dark Iron Rifle, https://wotlkdb.com/?spell=19796, 1627.58, 372.42, 2000, 537
Rocket Boots Xtreme Lite, https://wotlkdb.com/?spell=46697, 1433.16, 1569.84, 3003, 191.3
Rocket Boots Xtreme, https://wotlkdb.com/?spell=30556, 1222, 1778, 3000, 168.7
Armor Plated Combat Shotgun, https://wotlkdb.com/?spell=56479, 1158.5, 1285.5, 2444, 190.1
Steam Tonk Controller, https://wotlkdb.com/?spell=28327, 986.8585, 12.1415, 999, 8228
Gnomish Cloaking Device, https://wotlkdb.com/?spell=3971, 915.571, 34.429, 950, 2759.3
Dimensional Ripper - Area 52, https://wotlkdb.com/?spell=36954, 801.7399, 1198.26, 1999.9999, 166.9
Dimensional Ripper - Everlook, https://wotlkdb.com/?spell=23486, 782.0002, 216.9998, 999, 460.4
Ultra-Flash Shadow Reflector, https://wotlkdb.com/?spell=23082, 656.1, 343.9, 1000, 290.8
Gnomish X-Ray Specs, https://wotlkdb.com/?spell=56473, 630.5, 369.5, 1000, 270.6
Zapthrottle Mote Extractor, https://wotlkdb.com/?spell=30548, 560.725, 418.275, 979, 234.1
Tranquil Mechanical Yeti, https://wotlkdb.com/?spell=26011, 408.7717, 47.0183, 455.79, 969.4
Goblin Jumper Cables XL, https://wotlkdb.com/?spell=23078, 368.2402, 131.7598, 500, 379.5
Snowmaster 9000, https://wotlkdb.com/?spell=21940, 281.5433, 51.79, 333.3333, 643.6
Khorium Power Core, https://wotlkdb.com/?spell=30308, 273.295, 375.705, 649, 172.7
Small Red Rocket, https://wotlkdb.com/?spell=26418, 264.6838, 1.6495, 266.3333, 16146.3
Delicate Arcanite Converter, https://wotlkdb.com/?spell=19815, 226.2901, 90.5099, 316.8, 350
Stabilized Eternium Scope, https://wotlkdb.com/?spell=30334, 224.52, 275.48, 500, 181.5
Titanium Toolbox, https://wotlkdb.com/?spell=30349, 216.6, 483.4, 700, 144.8
Lifelike Mechanical Toad, https://wotlkdb.com/?spell=19793, 177.8985, 9.8415, 187.74, 1907.6
Advanced Target Dummy, https://wotlkdb.com/?spell=3965, 172.9904, 14.7596, 187.75, 1272.1
The Bigger One, https://wotlkdb.com/?spell=30558, 165.1949, 84.5551, 249.75, 295.4
Field Repair Bot 74A, https://wotlkdb.com/?spell=22704, 163.09, 158.9, 321.99, 202.6
Cogspinner Goggles, https://wotlkdb.com/?spell=30316, 155.06, 144.94, 300, 207
Pet Bombling, https://wotlkdb.com/?spell=15628, 131.54, 61.2, 192.74, 314.9
Accurate Scope, https://wotlkdb.com/?spell=3979, 113.52, 6.48, 120, 1851.9
Flying Machine, https://wotlkdb.com/?spell=44155, 104.366, 225.634, 330, 146.3
Flame Deflector, https://wotlkdb.com/?spell=3944, 93.78, 4.22, 98, 2322.3
Deadly Scope, https://wotlkdb.com/?spell=12597, 90.6, 9.4, 100, 1063.8
Minor Recombobulator, https://wotlkdb.com/?spell=3952, 87.9201, 11.0799, 99, 893.5
High-powered Flashlight, https://wotlkdb.com/?spell=63750, 81.4206, 18.4794, 99.9, 540.6
Inlaid Mithril Cylinder, https://wotlkdb.com/?spell=11454, 74.0301, 21.7199, 95.75, 440.8
Elemental Seaforium Charge, https://wotlkdb.com/?spell=30547, 69.4941, 30.5059, 100, 327.8
Bright-Eye Goggles, https://wotlkdb.com/?spell=12587, 63.0006, 11.9994, 75, 625
Goblin Rocket Fuel Recipe, https://wotlkdb.com/?spell=12715, 55.5375, 0.2125, 55.75, 26235.3
Large Green Rocket, https://wotlkdb.com/?spell=26421, 52.5201, 2.9799, 55.5, 1862.5
Large Seaforium Charge, https://wotlkdb.com/?spell=3972, 46.6977, 5.7523, 52.45, 911.8
Shadow Goggles, https://wotlkdb.com/?spell=3940, 46.62, 8.38, 55, 656.3
Goblin Land Mine, https://wotlkdb.com/?spell=3968, 46.58, 8.47, 55.05, 649.9
