Name, Link, Profit, Cost, Sell, ROI %
Critter Enlarger, https://wotlkdb.com/?spell=30549, 20974.9098, 25.0902, 21000, 83698
Nesingwary 4000, https://wotlkdb.com/?spell=60874, 6290.11, 1709.89, 8000, 467.9
Mekgineer's Chopper, https://wotlkdb.com/?spell=60867, 2531.1, 16466.9, 18998, 115.4
Ultrasafe Transporter - Toshley's Station, https://wotlkdb.com/?spell=36955, 1968, 732, 2700, 368.9
Dimensional Ripper - Everlook, https://wotlkdb.com/?spell=23486, 1689.1644, 310.8355, 1999.9999, 643.4
Core Marksman Rifle, https://wotlkdb.com/?spell=22795, 1629.0276, 1070.9724, 2700, 252.1
Goblin Rocket Launcher, https://wotlkdb.com/?spell=30563, 1320.7392, 1179.2608, 2500, 212
Dimensional Ripper - Area 52, https://wotlkdb.com/?spell=36954, 1276.9529, 1223.047, 2499.9999, 204.4
Ultrasafe Transporter - Gadgetzan, https://wotlkdb.com/?spell=23489, 943.04, 406.96, 1350, 331.7
Gnomish Universal Remote, https://wotlkdb.com/?spell=9269, 762.3666, 15.3734, 777.74, 5059
Bloodvine Lens, https://wotlkdb.com/?spell=24357, 666.9438, 98.0562, 765, 780.2
Bloodvine Goggles, https://wotlkdb.com/?spell=24356, 508.876, 91.124, 600, 658.4
Catseye Ultra Goggles, https://wotlkdb.com/?spell=12607, 495.2201, 4.7799, 500, 10460.5
Voice Amplification Modulator, https://wotlkdb.com/?spell=19819, 447.52, 351.48, 799, 227.3
Zapthrottle Mote Extractor, https://wotlkdb.com/?spell=30548, 433.8801, 231.1199, 665, 287.7
Ultra-Spectropic Detection Goggles, https://wotlkdb.com/?spell=30318, 328.9, 437.1, 766, 175.2
Pet Bombling, https://wotlkdb.com/?spell=15628, 289.5505, 87.4495, 377, 431.1
Gnomish Cloaking Device, https://wotlkdb.com/?spell=3971, 251.5931, 18.1038, 269.6969, 1489.7
Deepdive Helmet, https://wotlkdb.com/?spell=12617, 237.69, 117.31, 355, 302.6
Field Repair Bot 74A, https://wotlkdb.com/?spell=22704, 236.1, 137.9, 374, 271.2
Super Sapper Charge, https://wotlkdb.com/?spell=30560, 198.4718, 31.9682, 230.44, 720.8
Tranquil Mechanical Yeti, https://wotlkdb.com/?spell=26011, 197.7298, 200.2702, 398, 198.7
Craftsman's Monocle, https://wotlkdb.com/?spell=3966, 194.0002, 3.9998, 198, 4950.2
The Bigger One, https://wotlkdb.com/?spell=30558, 191.1777, 97.7023, 288.88, 295.7
Lifelike Mechanical Toad, https://wotlkdb.com/?spell=19793, 152.7498, 16.1302, 168.88, 1047
Khorium Power Core, https://wotlkdb.com/?spell=30308, 134.3565, 465.6435, 600, 128.9
Accurate Scope, https://wotlkdb.com/?spell=3979, 117.6752, 4.7748, 122.45, 2564.5
Steam Tonk Controller, https://wotlkdb.com/?spell=28327, 116.2653, 29.4902, 145.7555, 494.3
High-powered Flashlight, https://wotlkdb.com/?spell=63750, 104.7199, 25.28, 129.9999, 514.2
Advanced Target Dummy, https://wotlkdb.com/?spell=3965, 92.3168, 6.5832, 98.9, 1502.3
Elemental Seaforium Charge, https://wotlkdb.com/?spell=30547, 84.8174, 35.1826, 120, 341.1
Red Smoke Flare, https://wotlkdb.com/?spell=30342, 74.4037, 0.4963, 74.9, 15091.7
Truesilver Transformer, https://wotlkdb.com/?spell=23071, 70.4502, 15.2498, 85.7, 562
Mechanical Squirrel Box, https://wotlkdb.com/?spell=3928, 69.26, 5.74, 75, 1306.6
Cogspinner Goggles, https://wotlkdb.com/?spell=30316, 67.2, 132.8, 200, 150.6
World Enlarger, https://wotlkdb.com/?spell=23129, 66.5764, 32.4235, 98.9999, 305.3
Goblin Jumper Cables XL, https://wotlkdb.com/?spell=23078, 57.12, 243.68, 300.8, 123.4
Master Engineer's Goggles, https://wotlkdb.com/?spell=19825, 55.08, 174.92, 230, 131.5
Blue Smoke Flare, https://wotlkdb.com/?spell=30343, 49.5037, 0.4963, 50, 10074.6
Small Blue Rocket, https://wotlkdb.com/?spell=26416, 49.011, 0.989, 50, 5055.6
Inlaid Mithril Cylinder, https://wotlkdb.com/?spell=11454, 49.01, 50.99, 100, 196.1
Moonsight Rifle, https://wotlkdb.com/?spell=3954, 37.9881, 13.0119, 51, 391.9
Bright-Eye Goggles, https://wotlkdb.com/?spell=12587, 35.9002, 3.9998, 39.9, 997.5
Mechano-hog, https://wotlkdb.com/?spell=60866, 33.6, 16466.9, 16500.5, 100.2
Goblin Land Mine, https://wotlkdb.com/?spell=3968, 29.9092, 5.1511, 35.0603, 680.6
Goblin Rocket Fuel Recipe, https://wotlkdb.com/?spell=12715, 29.6875, 0.2125, 29.9, 14070.6
Delicate Arcanite Converter, https://wotlkdb.com/?spell=19815, 29.2099, 125.79, 154.9999, 123.2
Shadow Goggles, https://wotlkdb.com/?spell=3940, 27.12, 7.88, 35, 444.2
Goblin Rocket Fuel, https://wotlkdb.com/?spell=11456, 26.965, 1.285, 28.25, 2198.4
Small Red Rocket, https://wotlkdb.com/?spell=26418, 24.011, 0.989, 25, 2527.8
Large Blue Rocket, https://wotlkdb.com/?spell=26420, 23.633, 1.367, 25, 1828.8
Large Green Rocket, https://wotlkdb.com/?spell=26421, 23.633, 1.367, 25, 1828.8
Large Red Rocket, https://wotlkdb.com/?spell=26422, 23.633, 1.367, 25, 1828.8
Inlaid Mithril Cylinder Plans, https://wotlkdb.com/?spell=12895, 19.7875, 0.2125, 20, 9411.8
Large Seaforium Charge, https://wotlkdb.com/?spell=3972, 17.7309, 2.1691, 19.9, 917.4
Green Lens, https://wotlkdb.com/?spell=12622, 14.7403, 24.2597, 39, 160.8
Big Iron Bomb, https://wotlkdb.com/?spell=3967, 13.6908, 5.8092, 19.5, 335.7
Fire Goggles, https://wotlkdb.com/?spell=12594, 13.5668, 11.4332, 25, 218.7
Solid Dynamite, https://wotlkdb.com/?spell=12586, 13.0687, 0.7813, 13.85, 1772.7
Deadly Blunderbuss, https://wotlkdb.com/?spell=3936, 10.38, 4.62, 15, 324.7
EZ-Thro Dynamite, https://wotlkdb.com/?spell=8339, 8.124, 0.376, 8.5, 2260.6
Arclight Spanner, https://wotlkdb.com/?spell=7430, 5.45, 4.5, 9.95, 221.1
Flying Tiger Goggles, https://wotlkdb.com/?spell=3934, 5.0128, 4.9872, 10, 200.5
Handful of Fel Iron Bolts, https://wotlkdb.com/?spell=30305, 4, 5.5, 9.5, 172.7
Arcane Bomb, https://wotlkdb.com/?spell=19831, 2.2078, 177.5421, 179.7499, 101.2
Aquadynamic Fish Attractor, https://wotlkdb.com/?spell=9271, 1.8694, 2.4906, 4.36, 175.1
Overcharged Capacitor, https://wotlkdb.com/?spell=56464, 1.8125, 8.1875, 10, 122.1
Small Green Rocket, https://wotlkdb.com/?spell=26417, 1.511, 0.989, 2.5, 252.8
Thorium Setting, https://wotlkdb.com/?spell=26880, 1.5, 7.5, 9, 120
Rough Boomstick, https://wotlkdb.com/?spell=3925, 1.3, 0.7, 2, 285.7
Heavy Blasting Powder, https://wotlkdb.com/?spell=3945, 0.8837, 0.15, 1.0337, 689.1
Discombobulator Ray, https://wotlkdb.com/?spell=3959, 0.8294, 14.1706, 15, 105.9
Snowmaster 9000, https://wotlkdb.com/?spell=21935, 0.7375, 0.0025, 0.74, 29600
Whirring Bronze Gizmo, https://wotlkdb.com/?spell=3942, 0.6828, 2.7616, 3.4444, 124.7
EZ-Thro Dynamite II, https://wotlkdb.com/?spell=23069, 0.3328, 0.9072, 1.24, 136.7
Solid Blasting Powder, https://wotlkdb.com/?spell=12585, 0.31, 0.44, 0.75, 170.5
Bronze Framework, https://wotlkdb.com/?spell=3953, 0.2684, 3.7316, 4, 107.2
Global Thermal Sapper Charge, https://wotlkdb.com/?spell=56514, 0.1, 11.9, 12, 100.8
Purple Smoke Flare, https://wotlkdb.com/?spell=32814, 0.0587, 0.7413, 0.8, 107.9
