Name, Link, Profit, Cost, Sell, ROI %
Heavy Runecloth Bandage, https://wotlkdb.com/?spell=18630, 0.872, 0.118, 0.99, 839
Netherweave Bandage, https://wotlkdb.com/?spell=27032, 0.23, 0.18, 0.41, 227.8
Runecloth Bandage, https://wotlkdb.com/?spell=18629, 0.078, 0.059, 0.137, 232.2
Linen Bandage, https://wotlkdb.com/?spell=3275, 0.0476, 0.005, 0.0526, 1052
Silk Bandage, https://wotlkdb.com/?spell=7928, 0.0178, 0.0349, 0.0527, 151
Heavy Linen Bandage, https://wotlkdb.com/?spell=3276, 0.0058, 0.01, 0.0158, 158
Heavy Silk Bandage, https://wotlkdb.com/?spell=7929, -0.0013, 0.0698, 0.0685, 98.1
Heavy Wool Bandage, https://wotlkdb.com/?spell=3278, -0.0014, 0.024, 0.0226, 94.2
Wool Bandage, https://wotlkdb.com/?spell=3277, -0.0082, 0.012, 0.0038, 31.7
Strong Anti-Venom, https://wotlkdb.com/?spell=7935, -0.0499, 0.3999, 0.35, 87.5
Heavy Netherweave Bandage, https://wotlkdb.com/?spell=27033, -0.06, 0.36, 0.3, 83.3
Mageweave Bandage, https://wotlkdb.com/?spell=10840, -0.0646, 0.1555, 0.0909, 58.5
Frostweave Bandage, https://wotlkdb.com/?spell=45545, -0.15, 0.5, 0.35, 70
Anti-Venom, https://wotlkdb.com/?spell=7934, -0.1505, 0.25, 0.0995, 39.8
Heavy Mageweave Bandage, https://wotlkdb.com/?spell=10841, -0.1999, 0.311, 0.1111, 35.7
Heavy Frostweave Bandage, https://wotlkdb.com/?spell=45546, -0.75, 1, 0.25, 25
