Name, Link, Profit, Cost, Sell, ROI %
Strong Anti-Venom, https://wotlkdb.com/?spell=7935, 9.9, 0.1, 10, 10000
Anti-Venom, https://wotlkdb.com/?spell=7934, 7.9199, 2.08, 9.9999, 480.8
Heavy Runecloth Bandage, https://wotlkdb.com/?spell=18630, 0.1556, 0.0844, 0.24, 284.4
Heavy Mageweave Bandage, https://wotlkdb.com/?spell=10841, 0.1353, 0.1572, 0.2925, 186.1
Runecloth Bandage, https://wotlkdb.com/?spell=18629, 0.1113, 0.0422, 0.1535, 363.7
Netherweave Bandage, https://wotlkdb.com/?spell=27032, 0.05, 0.15, 0.2, 133.3
Heavy Linen Bandage, https://wotlkdb.com/?spell=3276, 0.0392, 0.0052, 0.0444, 853.8
Heavy Silk Bandage, https://wotlkdb.com/?spell=7929, 0.0242, 0.0626, 0.0868, 138.7
Silk Bandage, https://wotlkdb.com/?spell=7928, 0.0183, 0.0313, 0.0496, 158.5
Linen Bandage, https://wotlkdb.com/?spell=3275, 0.0173, 0.0026, 0.0199, 765.4
Heavy Netherweave Bandage, https://wotlkdb.com/?spell=27033, 0, 0.3, 0.3, 100
Mageweave Bandage, https://wotlkdb.com/?spell=10840, -0.0143, 0.0786, 0.0643, 81.8
Wool Bandage, https://wotlkdb.com/?spell=3277, -0.2718, 0.3, 0.0282, 9.4
Frostweave Bandage, https://wotlkdb.com/?spell=45545, -0.3791, 0.5625, 0.1834, 32.6
Heavy Wool Bandage, https://wotlkdb.com/?spell=3278, -0.5801, 0.6, 0.0199, 3.3
Heavy Frostweave Bandage, https://wotlkdb.com/?spell=45546, -0.665, 1.125, 0.46, 40.9
