Name, Link, Profit, Cost, Sell, ROI %
Rituals of the New Moon, https://wotlkdb.com/?spell=64051, 1871, 128, 1999, 1561.7
Glyph of Mocking Blow, https://wotlkdb.com/?spell=58345, 163.5775, 10.0015, 173.579, 1735.5
Glyph of Fading, https://wotlkdb.com/?spell=58317, 143.0777, 16.9014, 159.9791, 946.5
Faces of Doom, https://wotlkdb.com/?spell=59498, 136, 164, 300, 182.9
Iron-bound Tome, https://wotlkdb.com/?spell=59497, 129, 164, 293, 178.7
Glyph of Hurricane, https://wotlkdb.com/?spell=56946, 119.4292, 12.5, 131.9292, 1055.4
Glyph of the Penguin, https://wotlkdb.com/?spell=58310, 111.1777, 16.9014, 128.0791, 757.8
Hellfire Tome, https://wotlkdb.com/?spell=59495, 110.52, 29.48, 140, 474.9
Manual of Clouds, https://wotlkdb.com/?spell=59494, 54.91, 65.09, 120, 184.4
Book of Stars, https://wotlkdb.com/?spell=59490, 54.25, 10.75, 65, 604.7
Glyph of Frostbolt, https://wotlkdb.com/?spell=56977, 53.4446, 12.5, 65.9446, 527.6
Fire Eater's Guide, https://wotlkdb.com/?spell=59489, 46.15, 10.75, 56.9, 529.3
Glyph of Innervate, https://wotlkdb.com/?spell=56947, 44.4687, 12.5, 56.9687, 455.7
Glyph of Spell Reflection, https://wotlkdb.com/?spell=64302, 40.2584, 7.5, 47.7584, 636.8
Glyph of Souls, https://wotlkdb.com/?spell=58341, 38.5827, 12.5, 51.0827, 408.7
Glyph of Heart Strike, https://wotlkdb.com/?spell=57208, 32.3694, 12.5, 44.8694, 359
Glyph of Blast Wave, https://wotlkdb.com/?spell=56990, 31.4999, 12.5, 43.9999, 352
Book of Clever Tricks, https://wotlkdb.com/?spell=59496, 30.52, 29.48, 60, 203.5
Glyph of Enslave Demon, https://wotlkdb.com/?spell=58339, 29.2646, 5.125, 34.3896, 671
Glyph of Lifebloom, https://wotlkdb.com/?spell=56949, 29.2586, 12.5, 41.7586, 334.1
Glyph of Typhoon, https://wotlkdb.com/?spell=56965, 28.8397, 12.5, 41.3397, 330.7
Glyph of Shocking, https://wotlkdb.com/?spell=57235, 28.4376, 12.5, 40.9376, 327.5
Glyph of Felhunter, https://wotlkdb.com/?spell=57264, 27.4896, 12.5, 39.9896, 319.9
Glyph of Holy Wrath, https://wotlkdb.com/?spell=59559, 27.4896, 12.5, 39.9896, 319.9
Glyph of Flametongue Weapon, https://wotlkdb.com/?spell=57240, 20.7875, 10.0125, 30.8, 307.6
Glyph of Distract, https://wotlkdb.com/?spell=58324, 19.9772, 10.0125, 29.9897, 299.5
Glyph of Barkskin, https://wotlkdb.com/?spell=64256, 19.2242, 4.125, 23.3492, 566
Glyph of Mirror Image, https://wotlkdb.com/?spell=64314, 18.4546, 12.5, 30.9546, 247.6
Glyph of Safe Fall, https://wotlkdb.com/?spell=58327, 17.8795, 4.0125, 21.892, 545.6
Glyph of the Wise, https://wotlkdb.com/?spell=58316, 17.8749, 5.125, 22.9999, 448.8
Glyph of Water Walking, https://wotlkdb.com/?spell=58333, 17.7042, 5.125, 22.8292, 445.4
Glyph of Dark Command, https://wotlkdb.com/?spell=57212, 17.4899, 12.5, 29.9899, 239.9
Glyph of Snake Trap, https://wotlkdb.com/?spell=57010, 17.0896, 12.5, 29.5896, 236.7
Glyph of Challenging Roar, https://wotlkdb.com/?spell=58287, 16.8636, 5.125, 21.9886, 429
Glyph of Explosive Trap, https://wotlkdb.com/?spell=64253, 16.8338, 5.125, 21.9588, 428.5
