Name, Link, Profit, Cost, Sell, ROI %
Rituals of the New Moon, https://wotlkdb.com/?spell=64051, 3058.05, 131.95, 3190, 2417.6
Book of Stars, https://wotlkdb.com/?spell=59490, 382.5409, 18.4091, 400.95, 2178
Faces of Doom, https://wotlkdb.com/?spell=59498, 160.6568, 132.9, 293.5568, 220.9
Iron-bound Tome, https://wotlkdb.com/?spell=59497, 117.3318, 132.9, 250.2318, 188.3
Glyph of Enduring Victory, https://wotlkdb.com/?spell=58347, 91.5319, 8.1429, 99.6748, 1224.1
Glyph of Mind Control, https://wotlkdb.com/?spell=57191, 87.519, 12.45, 99.969, 803
Glyph of Snake Trap, https://wotlkdb.com/?spell=57010, 86.8898, 12.45, 99.3398, 797.9
Glyph of Typhoon, https://wotlkdb.com/?spell=56965, 83.35, 12.45, 95.8, 769.5
Glyph of Blade Flurry, https://wotlkdb.com/?spell=57115, 70.4398, 12.45, 82.8898, 665.8
Glyph of Fire Blast, https://wotlkdb.com/?spell=57719, 69.539, 12.45, 81.989, 658.5
Glyph of Mass Dispel, https://wotlkdb.com/?spell=57190, 67.0898, 12.45, 79.5398, 638.9
Twilight Tome, https://wotlkdb.com/?spell=64053, 53.25, 90.75, 144, 158.7
Glyph of Resonating Power, https://wotlkdb.com/?spell=57164, 41.05, 12.45, 53.5, 429.7
Glyph of Mana Tide Totem, https://wotlkdb.com/?spell=57247, 32.4498, 12.45, 44.8998, 360.6
Tome of the Dawn, https://wotlkdb.com/?spell=59475, 27.866, 12.134, 40, 329.7
Glyph of Hammer of Wrath, https://wotlkdb.com/?spell=57028, 27.1888, 12.45, 39.6388, 318.4
Glyph of Eternal Water, https://wotlkdb.com/?spell=71101, 25.3148, 8.1429, 33.4577, 410.9
Glyph of Water Mastery, https://wotlkdb.com/?spell=57251, 22.3248, 7.625, 29.9498, 392.8
Tome of Kings, https://wotlkdb.com/?spell=59484, 22.038, 32.962, 55, 166.9
Glyph of Soul Link, https://wotlkdb.com/?spell=64250, 17.1372, 4.2515, 21.3887, 503.1
Glyph of Possessed Strength, https://wotlkdb.com/?spell=58300, 16.6782, 4.5015, 21.1797, 470.5
Glyph of Mocking Blow, https://wotlkdb.com/?spell=58345, 16.1784, 4.2515, 20.4299, 480.5
Glyph of Unending Breath, https://wotlkdb.com/?spell=58336, 15.7379, 4.2515, 19.9894, 470.2
Glyph of Distract, https://wotlkdb.com/?spell=58324, 15.7274, 4.2625, 19.9899, 469
Glyph of Fire Ward, https://wotlkdb.com/?spell=58305, 15.6252, 4.2515, 19.8767, 467.5
Glyph of Frost Ward, https://wotlkdb.com/?spell=58307, 15.6144, 4.2625, 19.8769, 466.3
Glyph of Fade, https://wotlkdb.com/?spell=57184, 15.3807, 4.2625, 19.6432, 460.8
Glyph of Arcane Intellect, https://wotlkdb.com/?spell=58303, 15.1627, 4.5015, 19.6642, 436.8
Glyph of Shield Wall, https://wotlkdb.com/?spell=64252, 14.95, 4.2625, 19.2125, 450.7
Glyph of Lay on Hands, https://wotlkdb.com/?spell=58313, 14.9363, 4.5015, 19.4378, 431.8
Glyph of Blurred Speed, https://wotlkdb.com/?spell=58323, 14.9254, 4.5015, 19.4269, 431.6
Glyph of Pick Pocket, https://wotlkdb.com/?spell=58326, 14.8014, 4.5015, 19.3029, 428.8
Glyph of Shackle Undead, https://wotlkdb.com/?spell=58320, 14.6735, 4.2515, 18.925, 445.1
Glyph of Pick Lock, https://wotlkdb.com/?spell=58325, 14.6619, 4.2515, 18.9134, 444.9
Glyph of the Penguin, https://wotlkdb.com/?spell=58310, 14.5681, 4.5015, 19.0696, 423.6
Glyph of Slow Fall, https://wotlkdb.com/?spell=58308, 14.5544, 4.5015, 19.0559, 423.3
Glyph of Frenzied Regeneration, https://wotlkdb.com/?spell=56943, 14.51, 8.1429, 22.6529, 278.2
Glyph of Battle, https://wotlkdb.com/?spell=58342, 14.2346, 4.5015, 18.7361, 416.2
Glyph of Kilrogg, https://wotlkdb.com/?spell=58340, 14.0046, 4.2625, 18.2671, 428.6
Glyph of Revive Pet, https://wotlkdb.com/?spell=58299, 13.9171, 4.5015, 18.4186, 409.2
Glyph of Bloodrage, https://wotlkdb.com/?spell=58343, 13.842, 4.5015, 18.3435, 407.5
Glyph of Sense Undead, https://wotlkdb.com/?spell=58315, 13.7808, 4.2515, 18.0323, 424.1
Glyph of Water Breathing, https://wotlkdb.com/?spell=58331, 13.758, 4.2625, 18.0205, 422.8
Glyph of Aquatic Form, https://wotlkdb.com/?spell=58286, 13.6151, 4.2515, 17.8666, 420.2
Glyph of Cloak of Shadows, https://wotlkdb.com/?spell=64303, 13.553, 8.1429, 21.6959, 266.4
Glyph of Fading, https://wotlkdb.com/?spell=58317, 13.4985, 4.5015, 18, 399.9
Glyph of Mend Pet, https://wotlkdb.com/?spell=58301, 13.3921, 4.5015, 17.8936, 397.5
Certificate of Ownership, https://wotlkdb.com/?spell=59387, 13.3209, 16.6791, 30, 179.9
Glyph of Unburdened Rebirth, https://wotlkdb.com/?spell=58288, 13.045, 4.2515, 17.2965, 406.8
Glyph of Moonfire, https://wotlkdb.com/?spell=56951, 12.9249, 4.2625, 17.1874, 403.2
Glyph of Blessing of Might, https://wotlkdb.com/?spell=58314, 12.9105, 4.5015, 17.412, 386.8
Glyph of Frost Armor, https://wotlkdb.com/?spell=58306, 12.9014, 4.5015, 17.4029, 386.6
Glyph of Blessing of Kings, https://wotlkdb.com/?spell=58311, 12.7484, 4.2515, 16.9999, 399.9
Glyph of Ghost Wolf, https://wotlkdb.com/?spell=59326, 12.7482, 4.2515, 16.9997, 399.9
Glyph of Eviscerate, https://wotlkdb.com/?spell=57120, 12.7374, 4.2625, 16.9999, 398.8
Glyph of Flash Heal, https://wotlkdb.com/?spell=57186, 12.7374, 4.2625, 16.9999, 398.8
Glyph of Vanish, https://wotlkdb.com/?spell=58328, 12.7374, 4.2625, 16.9999, 398.8
Glyph of Salvation, https://wotlkdb.com/?spell=64251, 12.7374, 4.2625, 16.9999, 398.8
Glyph of Arcane Missiles, https://wotlkdb.com/?spell=56971, 12.7372, 4.2625, 16.9997, 398.8
Glyph of Riptide, https://wotlkdb.com/?spell=64289, 12.7336, 8.1429, 20.8765, 256.4
Glyph of Thorns, https://wotlkdb.com/?spell=58289, 12.6692, 4.5015, 17.1707, 381.4
Glyph of Flame Shock, https://wotlkdb.com/?spell=57239, 12.5961, 4.5015, 17.0976, 379.8
Glyph of Thunder Clap, https://wotlkdb.com/?spell=58346, 12.526, 4.5015, 17.0275, 378.3
Glyph of Blessing of Wisdom, https://wotlkdb.com/?spell=58312, 12.4984, 4.5015, 16.9999, 377.6
Glyph of Fortitude, https://wotlkdb.com/?spell=58318, 12.4984, 4.5015, 16.9999, 377.6
Glyph of Drain Soul, https://wotlkdb.com/?spell=58337, 12.4984, 4.5015, 16.9999, 377.6
Glyph of Stoneclaw Totem, https://wotlkdb.com/?spell=64247, 12.4984, 4.5015, 16.9999, 377.6
Glyph of Life Tap, https://wotlkdb.com/?spell=64248, 12.4984, 4.5015, 16.9999, 377.6
Glyph of Water Shield, https://wotlkdb.com/?spell=58332, 12.4855, 4.2515, 16.737, 393.7
Glyph of Charge, https://wotlkdb.com/?spell=58344, 12.4734, 4.5015, 16.9749, 377.1
Glyph of the Wild, https://wotlkdb.com/?spell=58296, 12.4223, 4.5015, 16.9238, 376
Glyph of Rejuvenation, https://wotlkdb.com/?spell=56955, 12.2985, 4.5015, 16.8, 373.2
Glyph of Explosive Shot, https://wotlkdb.com/?spell=64273, 11.787, 8.1429, 19.9299, 244.8
Glyph of Killing Spree, https://wotlkdb.com/?spell=64285, 11.6543, 8.1429, 19.7972, 243.1
Glyph of Disease, https://wotlkdb.com/?spell=64267, 11.65, 7.625, 19.275, 252.8
Glyph of Sprint, https://wotlkdb.com/?spell=57133, 11.6368, 7.625, 19.2618, 252.6
Glyph of Fire Nova, https://wotlkdb.com/?spell=57238, 11.4428, 4.2625, 15.7053, 368.5
Glyph of Trueshot Aura, https://wotlkdb.com/?spell=57012, 11.4398, 12.45, 23.8898, 191.9
Glyph of Pestilence, https://wotlkdb.com/?spell=57230, 11.3975, 7.7679, 19.1654, 246.7
Hellfire Tome, https://wotlkdb.com/?spell=59495, 11.3242, 28.6757, 39.9999, 139.5
Glyph of Dark Death, https://wotlkdb.com/?spell=64266, 11.3054, 7.625, 18.9304, 248.3
Glyph of Corpse Explosion, https://wotlkdb.com/?spell=57229, 11.1506, 7.7679, 18.9185, 243.5
Glyph of Healing Wave, https://wotlkdb.com/?spell=57243, 11.0929, 12.45, 23.5429, 189.1
Glyph of Heart Strike, https://wotlkdb.com/?spell=57208, 10.9121, 12.45, 23.3621, 187.6
Glyph of Guardian Spirit, https://wotlkdb.com/?spell=64281, 10.8695, 8.1429, 19.0124, 233.5
Glyph of Raise Dead, https://wotlkdb.com/?spell=57228, 10.7653, 7.7679, 18.5332, 238.6
Glyph of Health Funnel, https://wotlkdb.com/?spell=57265, 10.7494, 4.2625, 15.0119, 352.2
Glyph of Scatter Shot, https://wotlkdb.com/?spell=64249, 10.7485, 4.2515, 15, 352.8
Glyph of Judgement, https://wotlkdb.com/?spell=57030, 10.7374, 4.2625, 14.9999, 351.9
Glyph of Rending, https://wotlkdb.com/?spell=57163, 10.7374, 4.2625, 14.9999, 351.9
Glyph of Ice Barrier, https://wotlkdb.com/?spell=64257, 10.5976, 8.4583, 19.0559, 225.3
Glyph of Lightwell, https://wotlkdb.com/?spell=57189, 10.5196, 12.45, 22.9696, 184.5
Glyph of Serpent Sting, https://wotlkdb.com/?spell=57009, 10.4985, 4.5015, 15, 333.2
Glyph of Power Word: Shield, https://wotlkdb.com/?spell=57194, 10.4985, 4.5015, 15, 333.2
Glyph of Frost Nova, https://wotlkdb.com/?spell=56976, 10.4984, 4.5015, 14.9999, 333.2
Glyph of Blood Tap, https://wotlkdb.com/?spell=57209, 10.272, 8.1429, 18.4149, 226.1
Glyph of Living Bomb, https://wotlkdb.com/?spell=64275, 10.1156, 8.1429, 18.2585, 224.2
Glyph of Horn of Winter, https://wotlkdb.com/?spell=57217, 9.9193, 8.1429, 18.0622, 221.8
Glyph of Holy Light, https://wotlkdb.com/?spell=57029, 9.8874, 4.2625, 14.1499, 332
Glyph of Beacon of Light, https://wotlkdb.com/?spell=64277, 9.7336, 8.1429, 17.8765, 219.5
Glyph of Mirror Image, https://wotlkdb.com/?spell=64314, 9.6798, 12.45, 22.1298, 177.7
Glyph of Death's Embrace, https://wotlkdb.com/?spell=57215, 9.6692, 7.7679, 17.4371, 224.5
Glyph of Shadow Word: Death, https://wotlkdb.com/?spell=57199, 9.6245, 12.45, 22.0745, 177.3
Glyph of Bestial Wrath, https://wotlkdb.com/?spell=56999, 9.5264, 12.45, 21.9764, 176.5
Glyph of the Beast, https://wotlkdb.com/?spell=56996, 9.4994, 12.45, 21.9494, 176.3
Glyph of Scare Beast, https://wotlkdb.com/?spell=58298, 9.4984, 4.5015, 13.9999, 311
Glyph of Seal of Righteousness, https://wotlkdb.com/?spell=59560, 9.4283, 12.45, 21.8783, 175.7
Glyph of Icy Touch, https://wotlkdb.com/?spell=57219, 9.3749, 7.625, 16.9999, 222.9
Glyph of Mutilate, https://wotlkdb.com/?spell=64260, 9.3749, 7.625, 16.9999, 222.9
Glyph of Earth Shield, https://wotlkdb.com/?spell=64261, 9.3749, 7.625, 16.9999, 222.9
Glyph of Totem of Wrath, https://wotlkdb.com/?spell=64262, 9.3749, 7.625, 16.9999, 222.9
Glyph of Earthliving Weapon, https://wotlkdb.com/?spell=57236, 9.3277, 7.7679, 17.0956, 220.1
Glyph of Shred, https://wotlkdb.com/?spell=56957, 9.3249, 7.625, 16.9499, 222.3
Glyph of Rupture, https://wotlkdb.com/?spell=57128, 9.2565, 12.45, 21.7065, 174.3
Glyph of Dispersion, https://wotlkdb.com/?spell=64280, 9.1262, 8.1429, 17.2691, 212.1
Glyph of Feral Spirit, https://wotlkdb.com/?spell=64288, 9.0859, 8.1429, 17.2288, 211.6
Glyph of Souls, https://wotlkdb.com/?spell=58341, 9.0601, 12.45, 21.5101, 172.8
Glyph of Hamstring, https://wotlkdb.com/?spell=57157, 9.0375, 4.2625, 13.3, 312
Glyph of Heroic Strike, https://wotlkdb.com/?spell=57158, 8.9985, 4.5015, 13.5, 299.9
Glyph of Chimera Shot, https://wotlkdb.com/?spell=64271, 8.857, 8.1429, 16.9999, 208.8
Glyph of Hammer of the Righteous, https://wotlkdb.com/?spell=64278, 8.857, 8.1429, 16.9999, 208.8
Glyph of Penance, https://wotlkdb.com/?spell=64282, 8.857, 8.1429, 16.9999, 208.8
Glyph of Hunger for Blood, https://wotlkdb.com/?spell=64284, 8.857, 8.1429, 16.9999, 208.8
Glyph of Shadow Dance, https://wotlkdb.com/?spell=64286, 8.857, 8.1429, 16.9999, 208.8
Glyph of Shockwave, https://wotlkdb.com/?spell=64296, 8.857, 8.1429, 16.9999, 208.8
Glyph of Unholy Blight, https://wotlkdb.com/?spell=64299, 8.857, 8.1429, 16.9999, 208.8
Glyph of Dancing Rune Weapon, https://wotlkdb.com/?spell=64297, 8.8568, 8.1429, 16.9997, 208.8
Glyph of Arcane Blast, https://wotlkdb.com/?spell=56991, 8.8563, 8.1429, 16.9992, 208.8
Glyph of Howling Blast, https://wotlkdb.com/?spell=64300, 8.8562, 8.1429, 16.9991, 208.8
Glyph of Pain Suppression, https://wotlkdb.com/?spell=64259, 8.8249, 7.625, 16.4499, 215.7
Glyph of Shadowburn, https://wotlkdb.com/?spell=57272, 8.8247, 7.625, 16.4497, 215.7
Glyph of Berserk, https://wotlkdb.com/?spell=64268, 8.7833, 8.1429, 16.9262, 207.9
Glyph of Spell Reflection, https://wotlkdb.com/?spell=64302, 8.7708, 8.1429, 16.9137, 207.7
Glyph of the Ghoul, https://wotlkdb.com/?spell=57222, 8.7571, 8.1429, 16.9, 207.5
Glyph of Wild Growth, https://wotlkdb.com/?spell=64270, 8.7, 8.1429, 16.8429, 206.8
Glyph of Arcane Shot, https://wotlkdb.com/?spell=56995, 8.6985, 4.2515, 12.95, 304.6
Glyph of Metamorphosis, https://wotlkdb.com/?spell=64318, 8.6555, 8.1429, 16.7984, 206.3
Glyph of Safe Fall, https://wotlkdb.com/?spell=58327, 8.6541, 8.3458, 16.9999, 203.7
Glyph of Holy Shock, https://wotlkdb.com/?spell=64254, 8.6541, 8.3458, 16.9999, 203.7
Glyph of Vigilance, https://wotlkdb.com/?spell=64255, 8.6541, 8.3458, 16.9999, 203.7
Glyph of Blink, https://wotlkdb.com/?spell=56973, 8.6374, 4.2625, 12.8999, 302.6
Glyph of Spirit of Redemption, https://wotlkdb.com/?spell=57202, 8.6192, 12.45, 21.0692, 169.2
