Name, Link, Profit, Cost, Sell, ROI %
Brutal Earthstorm Diamond, https://wotlkdb.com/?spell=32869, 3538.8433, 80, 3618.8433, 4523.6
Titanium Earthguard Ring, https://wotlkdb.com/?spell=56497, 764.9688, 583.92, 1348.8888, 231
Ring of Scarlet Shadows, https://wotlkdb.com/?spell=58148, 716.0037, 270, 986.0037, 365.2
Titanium Impact Band, https://wotlkdb.com/?spell=56496, 676, 864, 1540, 178.2
Titanium Earthguard Chain, https://wotlkdb.com/?spell=56500, 657.12, 621.88, 1279, 205.7
Titanium Frostguard Ring, https://wotlkdb.com/?spell=58954, 580.5, 409, 989.5, 241.9
Titanium Impact Choker, https://wotlkdb.com/?spell=56499, 463.1, 1095.4, 1558.5, 142.3
Gem Studded Band, https://wotlkdb.com/?spell=26896, 453.5526, 65.5198, 519.0724, 792.2
Powerful Earthstorm Diamond, https://wotlkdb.com/?spell=32866, 420, 80, 500, 625
Ring of Northern Tears, https://wotlkdb.com/?spell=58150, 390.12, 117.88, 508, 430.9
Ring of Earthen Might, https://wotlkdb.com/?spell=58147, 386.04, 115.96, 502, 432.9
Titanium Spellshock Necklace, https://wotlkdb.com/?spell=56501, 364, 676, 1040, 153.8
Savage Titanium Band, https://wotlkdb.com/?spell=58507, 356.2537, 488, 844.2537, 173
Titanium Spellshock Ring, https://wotlkdb.com/?spell=56498, 355.4, 655.6, 1011, 154.2
Citrine Pendant of Golden Healing, https://wotlkdb.com/?spell=25622, 338.7988, 15.7594, 354.5582, 2249.8
Ruby Crown of Restoration, https://wotlkdb.com/?spell=26878, 333.6306, 161.6334, 495.264, 306.4
Effulgent Skyflare Diamond, https://wotlkdb.com/?spell=55384, 214.6, 85, 299.6, 352.5
Savage Titanium Ring, https://wotlkdb.com/?spell=58492, 199, 488, 687, 140.8
Windfire Band, https://wotlkdb.com/?spell=58149, 176.1, 273.9, 450, 164.3
Bronze Band of Force, https://wotlkdb.com/?spell=37818, 147.2826, 21.2174, 168.5, 794.2
Necklace of the Deep, https://wotlkdb.com/?spell=40514, 137.4052, 52.5948, 190, 361.3
Trenchant Earthsiege Diamond, https://wotlkdb.com/?spell=55403, 102.15, 109.25, 211.4, 193.5
Runed Mana Band, https://wotlkdb.com/?spell=64727, 101, 118, 219, 185.6
Timeless Eye of Zul, https://wotlkdb.com/?spell=66432, 84.05, 75.9, 159.95, 210.7
Royal Twilight Opal, https://wotlkdb.com/?spell=53967, 73.65, 5, 78.65, 1573
