Name, Link, Profit, Cost, Sell, ROI %
Delicate Eternium Ring, https://wotlkdb.com/?spell=31060, 2277.1369, 582.7495, 2859.8864, 490.8
Heavy Felsteel Ring, https://wotlkdb.com/?spell=31058, 1167.3708, 559.7996, 1727.1704, 308.5
Teardrop Crimson Spinel, https://wotlkdb.com/?spell=39710, 693.05, 6.95, 700, 10071.9
Mystical Skyfire Diamond, https://wotlkdb.com/?spell=32872, 541.5, 124.5, 666, 534.9
Delicate Crimson Spinel, https://wotlkdb.com/?spell=39706, 443.05, 6.95, 450, 6474.8
Runed Crimson Spinel, https://wotlkdb.com/?spell=39711, 443.05, 6.95, 450, 6474.8
Bold Crimson Spinel, https://wotlkdb.com/?spell=39705, 423.05, 6.95, 430, 6187.1
Savage Titanium Ring, https://wotlkdb.com/?spell=58492, 371.6664, 479.08, 850.7464, 177.6
Blazing Citrine Ring, https://wotlkdb.com/?spell=25617, 356.1048, 15.95, 372.0548, 2332.6
Ring of Earthen Might, https://wotlkdb.com/?spell=58147, 345.2802, 99.7, 444.9802, 446.3
Titanium Earthguard Chain, https://wotlkdb.com/?spell=56500, 334.0468, 615.7, 949.7468, 154.3
Windfire Band, https://wotlkdb.com/?spell=58149, 300.46, 269.54, 570, 211.5
Titanium Spellshock Necklace, https://wotlkdb.com/?spell=56501, 296.9999, 691, 987.9999, 143
Titanium Frostguard Ring, https://wotlkdb.com/?spell=58954, 252.69, 397.31, 650, 163.6
Titanium Spellshock Ring, https://wotlkdb.com/?spell=56498, 236.4, 660.6, 897, 135.8
Powerful Earthstorm Diamond, https://wotlkdb.com/?spell=32866, 220, 280, 500, 178.6
Titanium Earthguard Ring, https://wotlkdb.com/?spell=56497, 219.7568, 580, 799.7568, 137.9
Ring of Northern Tears, https://wotlkdb.com/?spell=58150, 194.2602, 100.72, 294.9802, 292.9
Ring of Scarlet Shadows, https://wotlkdb.com/?spell=58148, 178.9265, 260.95, 439.8765, 168.6
Stark Monarch Topaz, https://wotlkdb.com/?spell=53991, 127.95, 55.8, 183.75, 329.3
Glinting Monarch Topaz, https://wotlkdb.com/?spell=53980, 105.0764, 55.8, 160.8764, 288.3
Titanium Impact Band, https://wotlkdb.com/?spell=56496, 102.72, 897.28, 1000, 111.4
Runed Mana Band, https://wotlkdb.com/?spell=64727, 88.2, 101.8, 190, 186.6
Defender's Twilight Opal, https://wotlkdb.com/?spell=53972, 68.1, 5.9, 74, 1254.2
Impassive Skyflare Diamond, https://wotlkdb.com/?spell=55388, 67.8868, 55.99, 123.8768, 221.2
Sundered Forest Emerald, https://wotlkdb.com/?spell=54008, 66.489, 4.98, 71.469, 1435.1
Jagged Forest Emerald, https://wotlkdb.com/?spell=53996, 66.3769, 4.98, 71.3569, 1432.9
