Name, Link, Profit, Cost, Sell, ROI %
Gloves of Immortal Dusk, https://wotlkdb.com/?spell=46134, 6789.7204, 2209.2796, 8999, 407.3
Belt of the Black Eagle, https://wotlkdb.com/?spell=36352, 5310.2499, 690.75, 6000.9999, 868.8
Devilsaur Gauntlets, https://wotlkdb.com/?spell=19084, 3933, 67, 4000, 5970.1
Devilsaur Leggings, https://wotlkdb.com/?spell=19097, 3916.9, 83.1, 4000, 4813.5
Clefthide Leg Armor, https://wotlkdb.com/?spell=35555, 3643.83, 133.12, 3776.95, 2837.3
Lightning Grounded Boots, https://wotlkdb.com/?spell=63197, 2917, 3083, 6000, 194.6
Footpads of Silence, https://wotlkdb.com/?spell=63199, 2903, 3096, 5999, 193.8
Boots of Living Scale, https://wotlkdb.com/?spell=63195, 2836, 3164, 6000, 189.6
Stylin' Purple Hat, https://wotlkdb.com/?spell=32485, 2716.9256, 283.0744, 3000, 1059.8
Stylin' Crimson Hat, https://wotlkdb.com/?spell=32488, 2714.84, 285.16, 3000, 1052
Stylin' Jungle Hat, https://wotlkdb.com/?spell=32489, 2702.58, 297.42, 3000, 1008.7
Stylin' Adventure Hat, https://wotlkdb.com/?spell=32487, 2626.7, 366.3, 2993, 817.1
Belt of Dragons, https://wotlkdb.com/?spell=63194, 2216.9991, 3083, 5299.9991, 171.9
Death-warmed Belt, https://wotlkdb.com/?spell=63198, 2151.9987, 3138, 5289.9987, 168.6
Black Dragonscale Boots, https://wotlkdb.com/?spell=20855, 1982.1523, 17.8477, 2000, 11205.9
Black Dragonscale Leggings, https://wotlkdb.com/?spell=19107, 1946.65, 53.35, 2000, 3748.8
Boots of Wintry Endurance, https://wotlkdb.com/?spell=63201, 1916, 3083, 4999, 162.1
Blue Dragonscale Breastplate, https://wotlkdb.com/?spell=19077, 1860.5, 139.5, 2000, 1433.7
Blue Dragonscale Leggings, https://wotlkdb.com/?spell=24654, 1840, 160, 2000, 1250
Fel Leather Gloves, https://wotlkdb.com/?spell=32490, 1815.4112, 184.5888, 2000, 1083.5
Blue Dragonscale Shoulders, https://wotlkdb.com/?spell=19089, 1786.7, 213.3, 2000, 937.6
Cobrahide Leg Armor, https://wotlkdb.com/?spell=35549, 1783.97, 438, 2221.97, 507.3
Fel Leather Boots, https://wotlkdb.com/?spell=32493, 1694.3816, 305.6184, 2000, 654.4
Fel Leather Leggings, https://wotlkdb.com/?spell=32494, 1693.352, 306.648, 2000, 652.2
Ensorcelled Nerubian Breastplate, https://wotlkdb.com/?spell=67080, 1545.4008, 4497.5992, 6043, 134.4
Legwraps of Unleashed Nature, https://wotlkdb.com/?spell=70554, 1464, 6614, 8078, 122.1
Warbear Woolies, https://wotlkdb.com/?spell=19080, 1439.88, 59.12, 1499, 2535.5
Belt of Arctic Life, https://wotlkdb.com/?spell=63200, 1430.6, 3169.4, 4600, 145.1
Jormscale Footpads, https://wotlkdb.com/?spell=60666, 1280, 220, 1500, 681.8
Draconic Bonesplinter Legguards, https://wotlkdb.com/?spell=70560, 1244.3199, 6356.68, 7600.9999, 119.6
Blessed Cenarion Boots, https://wotlkdb.com/?spell=70555, 1243, 4131, 5374, 130.1
Rock-Steady Treads, https://wotlkdb.com/?spell=70561, 1234.8, 4824.2, 6059, 125.6
Bladeborn Leggings, https://wotlkdb.com/?spell=70556, 1219.8, 6669.2, 7889, 118.3
Green Dragonscale Breastplate, https://wotlkdb.com/?spell=19050, 1214.7, 35.3, 1250, 3541.1
Green Dragonscale Gauntlets, https://wotlkdb.com/?spell=24655, 1212.94, 37.06, 1250, 3372.9
Earthsoul Boots, https://wotlkdb.com/?spell=70559, 1163.6, 4231.4, 5395, 127.5
Footpads of Impending Death, https://wotlkdb.com/?spell=70557, 1063.48, 5018.52, 6082, 121.2
Nethercleft Leg Armor, https://wotlkdb.com/?spell=35557, 1049.7699, 147.23, 1196.9999, 813
Trollwoven Spaulders, https://wotlkdb.com/?spell=60758, 1021.4999, 898.5, 1919.9999, 213.7
Crusader's Dragonscale Breastplate, https://wotlkdb.com/?spell=67082, 1006.2574, 4193.9992, 5200.2566, 124
Green Dragonscale Leggings, https://wotlkdb.com/?spell=19060, 965.2, 34.8, 1000, 2873.6
Lunar Eclipse Robes, https://wotlkdb.com/?spell=67084, 937.6008, 4952.3992, 5890, 118.9
