Name, Link, Profit, Cost, Sell, ROI %
Gloves of Immortal Dusk, https://wotlkdb.com/?spell=46134, 8061.7484, 1937.2516, 9999, 516.1
Stylin' Crimson Hat, https://wotlkdb.com/?spell=32488, 4699.382, 299.618, 4999, 1668.5
Lightning Grounded Boots, https://wotlkdb.com/?spell=63197, 3184.25, 2815.75, 6000, 213.1
Boots of Living Scale, https://wotlkdb.com/?spell=63195, 3086.25, 2895.75, 5982, 206.6
Stylin' Purple Hat, https://wotlkdb.com/?spell=32485, 3032.7608, 300.5692, 3333.33, 1109
Belt of Deep Shadow, https://wotlkdb.com/?spell=36351, 2509.3013, 490.6986, 2999.9999, 611.4
Belt of Dragons, https://wotlkdb.com/?spell=63194, 2247.2499, 2815.75, 5062.9999, 179.8
Nethercleft Leg Armor, https://wotlkdb.com/?spell=35557, 2208.628, 156.372, 2365, 1512.4
Stylin' Adventure Hat, https://wotlkdb.com/?spell=32487, 2189.91, 309.09, 2499, 808.5
Footpads of Silence, https://wotlkdb.com/?spell=63199, 2177.45, 2820.55, 4998, 177.2
Belt of Arctic Life, https://wotlkdb.com/?spell=63200, 2114.05, 2878.95, 4993, 173.4
Cobrahide Leg Armor, https://wotlkdb.com/?spell=35549, 1924.7, 375.3, 2300, 612.8
Death-warmed Belt, https://wotlkdb.com/?spell=63198, 1729.1499, 2865.35, 4594.4999, 160.3
Blue Belt of Chaos, https://wotlkdb.com/?spell=63196, 1584.25, 2815.75, 4400, 156.3
Ensorcelled Nerubian Breastplate, https://wotlkdb.com/?spell=67136, 1566.4, 4113.6, 5680, 138.1
Crusader's Dragonscale Breastplate, https://wotlkdb.com/?spell=67138, 1420, 3978, 5398, 135.7
Lunar Eclipse Robes, https://wotlkdb.com/?spell=67140, 1250.7999, 4609.2, 5859.9999, 127.1
Crusader's Dragonscale Bracers, https://wotlkdb.com/?spell=67143, 1230.4999, 2519.5, 3749.9999, 148.8
Boots of Wintry Endurance, https://wotlkdb.com/?spell=63201, 1184.25, 2815.75, 4000, 142.1
Legwraps of Unleashed Nature, https://wotlkdb.com/?spell=70554, 1109, 5970, 7079, 118.6
Rock-Steady Treads, https://wotlkdb.com/?spell=70561, 1108.5, 4364.5, 5473, 125.4
Earthsoul Boots, https://wotlkdb.com/?spell=70559, 1047.75, 3850.25, 4898, 127.2
Blessed Cenarion Boots, https://wotlkdb.com/?spell=70555, 997.75, 3728.25, 4726, 126.8
Nethercobra Leg Armor, https://wotlkdb.com/?spell=35554, 963.71, 636.3, 1600.01, 251.5
Footpads of Impending Death, https://wotlkdb.com/?spell=70557, 960.9999, 4540, 5500.9999, 121.2
Bladeborn Leggings, https://wotlkdb.com/?spell=70556, 957.6, 6040.4, 6998, 115.9
Trollwoven Spaulders, https://wotlkdb.com/?spell=60758, 948.9799, 900.02, 1848.9999, 205.4
Warbear Woolies, https://wotlkdb.com/?spell=19080, 942.88, 56.12, 999, 1780.1
Draconic Bonesplinter Legguards, https://wotlkdb.com/?spell=70560, 900.4, 5759.6, 6660, 115.6
Lightning-Infused Leggings, https://wotlkdb.com/?spell=70558, 887, 6162, 7049, 114.4
Blastguard Belt, https://wotlkdb.com/?spell=35537, 808.9805, 190.0195, 999, 525.7
Blastguard Boots, https://wotlkdb.com/?spell=35536, 808.6075, 190.3925, 999, 524.7
Giantmaim Bracers, https://wotlkdb.com/?spell=60755, 763, 507, 1270, 250.5
Moonshadow Armguards, https://wotlkdb.com/?spell=67141, 749.4999, 3047.5, 3796.9999, 124.6
Riding Crop, https://wotlkdb.com/?spell=32461, 742.95, 257.05, 1000, 389
Stormhide Grips, https://wotlkdb.com/?spell=60749, 733.9999, 266, 999.9999, 375.9
Black Chitin Bracers, https://wotlkdb.com/?spell=67137, 723.7, 2856.3, 3580, 125.3
Knightbane Carapace, https://wotlkdb.com/?spell=67142, 700.3, 4797.2, 5497.5, 114.6
Swiftarrow Gauntlets, https://wotlkdb.com/?spell=60732, 685, 288, 973, 337.8
Overcast Headguard, https://wotlkdb.com/?spell=60715, 674.4, 317.6, 992, 312.3
Bracers of Swift Death, https://wotlkdb.com/?spell=67139, 618.7, 3160.3, 3779, 119.6
Polar Boots, https://wotlkdb.com/?spell=60998, 561.06, 438.94, 1000, 227.8
Windripper Boots, https://wotlkdb.com/?spell=62176, 491.9999, 507, 998.9999, 197
Winter Boots, https://wotlkdb.com/?spell=44953, 491.1199, 8.88, 499.9999, 5630.6
Stormhide Hauberk, https://wotlkdb.com/?spell=60747, 477.4, 317.6, 795, 250.3
Dragonscale Leg Armor, https://wotlkdb.com/?spell=50968, 457.19, 192.8, 649.99, 337.1
Swiftarrow Leggings, https://wotlkdb.com/?spell=60735, 448.8999, 339.6, 788.4999, 232.2
Swiftarrow Helm, https://wotlkdb.com/?spell=60728, 445.3999, 339.6, 784.9999, 231.2
Stormshroud Shoulders, https://wotlkdb.com/?spell=19090, 442.4369, 58.26, 500.6969, 859.4
Revenant's Breastplate, https://wotlkdb.com/?spell=60756, 435.4, 464.6, 900, 193.7
Stormshroud Gloves, https://wotlkdb.com/?spell=26279, 433.4369, 67.26, 500.6969, 744.4
Stormhide Legguards, https://wotlkdb.com/?spell=60751, 428.3997, 317.6, 745.9997, 234.9
Earthgiving Boots, https://wotlkdb.com/?spell=60761, 428, 422, 850, 201.4
Overcast Leggings, https://wotlkdb.com/?spell=60725, 420.3999, 317.6, 737.9999, 232.4
Polar Vest, https://wotlkdb.com/?spell=60996, 418.6899, 581.31, 999.9999, 172
Giantmaim Legguards, https://wotlkdb.com/?spell=60754, 402.4, 596.6, 999, 167.4
Swiftarrow Belt, https://wotlkdb.com/?spell=60734, 391.4999, 288, 679.4999, 235.9
Swiftarrow Shoulderguards, https://wotlkdb.com/?spell=60729, 380.9999, 288, 668.9999, 232.3
Barbaric Bracers, https://wotlkdb.com/?spell=23399, 380.6722, 63.3278, 444, 701.1
Swiftarrow Boots, https://wotlkdb.com/?spell=60737, 376.9999, 288, 664.9999, 230.9
Eviscerator's Waistguard, https://wotlkdb.com/?spell=60706, 366, 288, 654, 227.1
Stormhide Stompers, https://wotlkdb.com/?spell=60752, 361.5191, 266, 627.5191, 235.9
Overcast Belt, https://wotlkdb.com/?spell=60723, 359.9998, 266, 625.9998, 235.3
Earthgiving Legguards, https://wotlkdb.com/?spell=60760, 356.224, 494.6, 850.824, 172
Jormscale Footpads, https://wotlkdb.com/?spell=60666, 325.925, 240, 565.925, 235.8
Swiftarrow Bracers, https://wotlkdb.com/?spell=60731, 313.5999, 236.4, 549.9999, 232.7
Deviate Scale Belt, https://wotlkdb.com/?spell=7955, 306.91, 8.34, 315.25, 3780
Nerubian Reinforced Quiver, https://wotlkdb.com/?spell=60647, 306.4, 91.6, 398, 434.5
Eviscerator's Chestguard, https://wotlkdb.com/?spell=60703, 278.3999, 339.6, 617.9999, 182
Eviscerator's Treads, https://wotlkdb.com/?spell=60712, 261, 288, 549, 190.6
Eviscerator's Shoulderpads, https://wotlkdb.com/?spell=60702, 258, 288, 546, 189.6
Moonshadow Armguards, https://wotlkdb.com/?spell=67085, 252.5, 3047.5, 3300, 108.3
Eviscerator's Facemask, https://wotlkdb.com/?spell=60697, 240.4, 339.6, 580, 170.8
Overcast Spaulders, https://wotlkdb.com/?spell=60716, 236.9999, 266, 502.9999, 189.1
Purehorn Spaulders, https://wotlkdb.com/?spell=60671, 200, 60, 260, 433.3
Trollwoven Girdle, https://wotlkdb.com/?spell=60759, 197.15, 802.85, 1000, 124.6
Mammoth Mining Bag, https://wotlkdb.com/?spell=50971, 184.6, 206.4, 391, 189.4
Nerubian Boots, https://wotlkdb.com/?spell=50960, 179.5929, 19.4, 198.9929, 1025.7
Nerubian Chestguard, https://wotlkdb.com/?spell=50956, 175.7187, 23.28, 198.9987, 854.8
Iceborne Leggings, https://wotlkdb.com/?spell=50939, 175.711, 23.28, 198.991, 854.8
Glove Reinforcements, https://wotlkdb.com/?spell=44770, 170.75, 129.25, 300, 232.1
Eviscerator's Gauntlets, https://wotlkdb.com/?spell=60705, 168.9093, 288, 456.9093, 158.6
Earthen Leg Armor, https://wotlkdb.com/?spell=62448, 160.1, 588.9, 749, 127.2
Dragonscale Ammo Pouch, https://wotlkdb.com/?spell=60645, 143.4, 91.6, 235, 256.6
Overcast Chestguard, https://wotlkdb.com/?spell=60718, 132.1499, 317.6, 449.7499, 141.6
Stormhide Shoulders, https://wotlkdb.com/?spell=60746, 129.5049, 266, 395.5049, 148.7
Drums of the Wild, https://wotlkdb.com/?spell=69388, 125.6, 254.4, 380, 149.4
Frosthide Leg Armor, https://wotlkdb.com/?spell=50965, 121, 573.5, 694.5, 121.1
Jormungar Leg Armor, https://wotlkdb.com/?spell=50964, 119.59, 149.4, 268.99, 180
Living Shoulders, https://wotlkdb.com/?spell=19061, 106.42, 22.58, 129, 571.3
Windripper Leggings, https://wotlkdb.com/?spell=62177, 103.4, 596.6, 700, 117.3
Revenant's Treads, https://wotlkdb.com/?spell=60757, 101, 397, 498, 125.4
Heavy Borean Armor Kit, https://wotlkdb.com/?spell=50963, 95.8, 103.2, 199, 192.8
Ice Striker's Cloak, https://wotlkdb.com/?spell=60637, 92.2799, 1107.72, 1199.9999, 108.3
Stormhide Wristguards, https://wotlkdb.com/?spell=60748, 85.5999, 214.4, 299.9999, 139.9
Fletcher's Gloves, https://wotlkdb.com/?spell=9145, 85.3997, 12.58, 97.9797, 778.9
Drums of Forgotten Kings, https://wotlkdb.com/?spell=69386, 82.35, 222.4, 304.75, 137
Stormhide Crown, https://wotlkdb.com/?spell=60743, 81.15, 317.6, 398.75, 125.6
Helm of Fire, https://wotlkdb.com/?spell=10632, 80.169, 19.821, 99.99, 504.5
Toughened Leather Gloves, https://wotlkdb.com/?spell=3770, 78.47, 20.3, 98.77, 486.6
Icescale Leg Armor, https://wotlkdb.com/?spell=50967, 76.49, 573.5, 649.99, 113.3
Leatherworker's Satchel, https://wotlkdb.com/?spell=45100, 68.474, 131.526, 200, 152.1
Polar Cord, https://wotlkdb.com/?spell=60997, 61.06, 438.94, 500, 113.9
Knothide Quiver, https://wotlkdb.com/?spell=44344, 53.851, 136.149, 190, 139.6
Black Chitinguard Boots, https://wotlkdb.com/?spell=51568, 48.815, 51.185, 100, 195.4
Nerubian Leg Armor, https://wotlkdb.com/?spell=50966, 44.8, 105.2, 150, 142.6
Eviscerator's Bindings, https://wotlkdb.com/?spell=60704, 44.1687, 236.4, 280.5687, 118.7
Iceborne Helm, https://wotlkdb.com/?spell=60608, 42.8399, 27.16, 69.9999, 257.7
Frostscale Belt, https://wotlkdb.com/?spell=50955, 34.38, 15.52, 49.9, 321.5
Rugged Leather Pants, https://wotlkdb.com/?spell=9064, 34.139, 0.861, 35, 4065
Overcast Boots, https://wotlkdb.com/?spell=60727, 33.75, 266, 299.75, 112.7
Toughened Leather Armor, https://wotlkdb.com/?spell=2166, 32.5999, 17.4, 49.9999, 287.4
Arctic Leggings, https://wotlkdb.com/?spell=50945, 31.72, 23.28, 55, 236.3
Cloak of Harsh Winds, https://wotlkdb.com/?spell=60631, 30.632, 44.368, 75, 169
Arctic Chestpiece, https://wotlkdb.com/?spell=50944, 26.72, 23.28, 50, 214.8
Quickdraw Quiver, https://wotlkdb.com/?spell=14930, 24.68, 8.57, 33.25, 388
Turtle Scale Leggings, https://wotlkdb.com/?spell=10556, 24.075, 11.925, 36, 301.9
Deviate Scale Cloak, https://wotlkdb.com/?spell=7953, 20.79, 4.21, 25, 593.8
Trapper's Traveling Pack, https://wotlkdb.com/?spell=50970, 20.6, 206.4, 227, 110
Eaglebane Bracers, https://wotlkdb.com/?spell=60652, 19.9999, 80, 99.9999, 125
Chimeric Boots, https://wotlkdb.com/?spell=19063, 17.24, 7.76, 25, 322.2
Hillman's Belt, https://wotlkdb.com/?spell=3767, 17.19, 7.81, 25, 320.1
Dusky Leather Leggings, https://wotlkdb.com/?spell=9195, 16.547, 3.453, 20, 579.2
Cured Heavy Hide, https://wotlkdb.com/?spell=3818, 15.985, 10.015, 26, 259.6
Heavy Borean Leather, https://wotlkdb.com/?spell=50936, 14.16, 11.64, 25.8, 221.6
Thick Leather Ammo Pouch, https://wotlkdb.com/?spell=14932, 13.0583, 6.9417, 20, 288.1
Tough Scorpid Gloves, https://wotlkdb.com/?spell=10542, 12.0046, 2.9954, 15, 500.8
Handstitched Leather Boots, https://wotlkdb.com/?spell=2149, 11.6566, 0.3434, 12, 3494.5
Guardian Cloak, https://wotlkdb.com/?spell=7153, 11.1338, 5.8662, 17, 289.8
Fine Leather Tunic, https://wotlkdb.com/?spell=3761, 10.2324, 4.8712, 15.1036, 310.1
Nightscape Shoulders, https://wotlkdb.com/?spell=10516, 9.7584, 4.2016, 13.96, 332.3
Frostscale Chestguard, https://wotlkdb.com/?spell=50950, 8.72, 23.28, 32, 137.5
Nightscape Tunic, https://wotlkdb.com/?spell=10499, 6.7675, 3.2325, 10, 309.4
Dark Leather Belt, https://wotlkdb.com/?spell=3766, 6.765, 3.235, 10, 309.1
Raptor Hide Harness, https://wotlkdb.com/?spell=4096, 6.5184, 1.4816, 8, 540
Wicked Leather Gauntlets, https://wotlkdb.com/?spell=19049, 5.48, 14.52, 20, 137.7
Dusky Bracers, https://wotlkdb.com/?spell=9201, 5.4172, 5.5328, 10.95, 197.9
Guardian Pants, https://wotlkdb.com/?spell=7147, 4.8804, 5.1196, 10, 195.3
Turtle Scale Breastplate, https://wotlkdb.com/?spell=10511, 4.775, 5.225, 10, 191.4
Heavy Scorpid Vest, https://wotlkdb.com/?spell=19051, 4.7599, 11.24, 15.9999, 142.3
Dusky Belt, https://wotlkdb.com/?spell=9206, 4.187, 5.813, 10, 172
Turtle Scale Bracers, https://wotlkdb.com/?spell=10518, 3.88, 6.12, 10, 163.4
Turtle Scale Helm, https://wotlkdb.com/?spell=10552, 3.855, 11.145, 15, 134.6
Fine Leather Boots, https://wotlkdb.com/?spell=2158, 3.7996, 1.2004, 5, 416.5
Dark Leather Pants, https://wotlkdb.com/?spell=7135, 3.315, 11.685, 15, 128.4
Knothide Leather, https://wotlkdb.com/?spell=32454, 3.3, 2.5, 5.8, 232
Frostscale Helm, https://wotlkdb.com/?spell=60600, 2.84, 27.16, 30, 110.5
Nightscape Headband, https://wotlkdb.com/?spell=10507, 2.6628, 2.3375, 5.0003, 213.9
Frostscale Shoulders, https://wotlkdb.com/?spell=50952, 2.6, 19.4, 22, 113.4
Heavy Leather Ammo Pouch, https://wotlkdb.com/?spell=9194, 2.3136, 2.6864, 5, 186.1
Fine Leather Cloak, https://wotlkdb.com/?spell=2159, 2.268, 1.732, 4, 230.9
Light Leather Pants, https://wotlkdb.com/?spell=9068, 1.998, 3.002, 5, 166.6
Cured Thick Hide, https://wotlkdb.com/?spell=10482, 1.8628, 0.1372, 2, 1457.7
Hillman's Cloak, https://wotlkdb.com/?spell=3760, 1.2035, 1.6865, 2.89, 171.4
Cured Light Hide, https://wotlkdb.com/?spell=3816, 1.182, 0.098, 1.28, 1306.1
Light Leather Bracers, https://wotlkdb.com/?spell=9065, 0.9688, 1.0312, 2, 193.9
Fine Leather Belt, https://wotlkdb.com/?spell=3763, 0.9508, 1.0292, 1.98, 192.4
Big Voodoo Pants, https://wotlkdb.com/?spell=10560, 0.711, 5.289, 6, 113.4
Embossed Leather Boots, https://wotlkdb.com/?spell=2161, 0.6254, 1.3746, 2, 145.5
Arctic Gloves, https://wotlkdb.com/?spell=50947, 0.6, 19.4, 20, 103.1
Big Voodoo Robe, https://wotlkdb.com/?spell=10520, 0.4449, 11.555, 11.9999, 103.9
Nightscape Boots, https://wotlkdb.com/?spell=10558, 0.44, 7.56, 8, 105.8
Embossed Leather Gloves, https://wotlkdb.com/?spell=3756, 0.4344, 0.5156, 0.95, 184.3
Tough Scorpid Bracers, https://wotlkdb.com/?spell=10533, 0.3198, 4.6802, 5, 106.8
Medium Leather, https://wotlkdb.com/?spell=20648, 0.2852, 0.6848, 0.97, 141.6
Embossed Leather Cloak, https://wotlkdb.com/?spell=2162, 0.242, 0.858, 1.1, 128.2
Light Leather Quiver, https://wotlkdb.com/?spell=9060, 0.2359, 0.6868, 0.9227, 134.3
Heavy Leather Ball, https://wotlkdb.com/?spell=23190, 0.2234, 0.6766, 0.9, 133
Cured Medium Hide, https://wotlkdb.com/?spell=3817, 0.175, 1.025, 1.2, 117.1
Embossed Leather Vest, https://wotlkdb.com/?spell=2160, 0.1264, 1.3736, 1.5, 109.2
Light Leather, https://wotlkdb.com/?spell=2881, 0.0266, 0.1446, 0.1712, 118.4
Light Armor Kit, https://wotlkdb.com/?spell=2152, -0.1551, 0.1712, 0.0161, 9.4
Heavy Knothide Leather, https://wotlkdb.com/?spell=32455, -0.175, 29, 28.825, 99.4
Handstitched Leather Cloak, https://wotlkdb.com/?spell=9058, -0.2434, 0.3434, 0.1, 29.1
Handstitched Leather Bracers, https://wotlkdb.com/?spell=9059, -0.2454, 0.3454, 0.1, 29
Embossed Leather Pants, https://wotlkdb.com/?spell=3759, -0.3092, 2.3092, 2, 86.6
Small Leather Ammo Pouch, https://wotlkdb.com/?spell=9062, -0.4163, 0.5176, 0.1013, 19.6
Handstitched Leather Vest, https://wotlkdb.com/?spell=7126, -0.5106, 0.5146, 0.004, 0.8
Handstitched Leather Pants, https://wotlkdb.com/?spell=2153, -0.6787, 0.6858, 0.0071, 1
Heavy Quiver, https://wotlkdb.com/?spell=9193, -0.6964, 2.6864, 1.99, 74.1
Borean Leather, https://wotlkdb.com/?spell=64661, -0.7265, 2.6665, 1.94, 72.8
