Name, Link, Profit, Cost, Sell, ROI %
Smelt Elementium, https://wotlkdb.com/?spell=22967, 539.471, 960.529, 1500, 156.2
Smelt Felsteel, https://wotlkdb.com/?spell=29360, 21.56, 25.94, 47.5, 183.1
Smelt Titansteel, https://wotlkdb.com/?spell=55208, 8.77, 254.98, 263.75, 103.4
Smelt Dark Iron, https://wotlkdb.com/?spell=14891, 5.154, 0.796, 5.95, 747.5
Smelt Adamantite, https://wotlkdb.com/?spell=29358, 4.75, 1.2, 5.95, 495.8
Smelt Titanium, https://wotlkdb.com/?spell=55211, 4, 50, 54, 108
Smelt Steel, https://wotlkdb.com/?spell=3569, 2.99, 0.83, 3.82, 460.2
Smelt Fel Iron, https://wotlkdb.com/?spell=29356, 1.68, 3.3, 4.98, 150.9
Smelt Eternium, https://wotlkdb.com/?spell=29359, 1.5, 4, 5.5, 137.5
Smelt Cobalt, https://wotlkdb.com/?spell=49252, 0.6837, 1.3163, 2, 151.9
Smelt Iron, https://wotlkdb.com/?spell=3307, 0.56, 0.22, 0.78, 354.5
Smelt Copper, https://wotlkdb.com/?spell=2657, 0, 1, 1, 100
Smelt Bronze, https://wotlkdb.com/?spell=2659, -0.0404, 1.0404, 1, 96.1
Smelt Gold, https://wotlkdb.com/?spell=3308, -0.09, 1, 0.91, 91
Smelt Saronite, https://wotlkdb.com/?spell=49258, -0.105, 5.655, 5.55, 98.1
Smelt Tin, https://wotlkdb.com/?spell=3304, -0.1074, 0.1478, 0.0404, 27.3
Smelt Truesilver, https://wotlkdb.com/?spell=10098, -0.1201, 0.93, 0.8099, 87.1
Smelt Thorium, https://wotlkdb.com/?spell=16153, -1.85, 9.35, 7.5, 80.2
Enchanted Thorium, https://wotlkdb.com/?spell=70524, -4.58, 7.56, 2.98, 39.4
Smelt Mithril, https://wotlkdb.com/?spell=10097, -4.8236, 8.8236, 4, 45.3
Smelt Silver, https://wotlkdb.com/?spell=2658, -5.6418, 12.0168, 6.375, 53.1
Smelt Hardened Adamantite, https://wotlkdb.com/?spell=29686, -9.5, 59.5, 50, 84
Smelt Khorium, https://wotlkdb.com/?spell=29361, -25, 150, 125, 83.3
