Name, Link, Profit, Cost, Sell, ROI %
Smelt Elementium, https://wotlkdb.com/?spell=22967, 431.0901, 1316.9099, 1748, 132.7
Smelt Titansteel, https://wotlkdb.com/?spell=55208, 22.98, 237.02, 260, 109.7
Smelt Felsteel, https://wotlkdb.com/?spell=29360, 17.9, 32, 49.9, 155.9
Smelt Dark Iron, https://wotlkdb.com/?spell=14891, 15.6969, 1.192, 16.8889, 1416.9
Smelt Mithril, https://wotlkdb.com/?spell=10097, 8.812, 0.988, 9.8, 991.9
Smelt Khorium, https://wotlkdb.com/?spell=29361, 5.8, 149.2, 155, 103.9
Smelt Eternium, https://wotlkdb.com/?spell=29359, 3.99, 3.76, 7.75, 206.1
Smelt Fel Iron, https://wotlkdb.com/?spell=29356, 3.05, 2.45, 5.5, 224.5
Smelt Steel, https://wotlkdb.com/?spell=3569, 1.05, 0.95, 2, 210.5
Smelt Cobalt, https://wotlkdb.com/?spell=49252, 1, 1, 2, 200
Smelt Bronze, https://wotlkdb.com/?spell=2659, 0.4254, 0.8054, 1.2308, 152.8
Smelt Truesilver, https://wotlkdb.com/?spell=10098, 0.35, 0.64, 0.99, 154.7
Smelt Hardened Adamantite, https://wotlkdb.com/?spell=29686, 0, 50, 50, 100
Smelt Iron, https://wotlkdb.com/?spell=3307, -0.09, 0.99, 0.9, 90.9
Smelt Gold, https://wotlkdb.com/?spell=3308, -0.09, 1.09, 1, 91.7
Smelt Tin, https://wotlkdb.com/?spell=3304, -0.2746, 0.33, 0.0554, 16.8
Smelt Saronite, https://wotlkdb.com/?spell=49258, -0.4, 6.4, 6, 93.8
Enchanted Thorium, https://wotlkdb.com/?spell=70524, -0.8035, 7.6785, 6.875, 89.5
Smelt Adamantite, https://wotlkdb.com/?spell=29358, -1, 6, 5, 83.3
Smelt Copper, https://wotlkdb.com/?spell=2657, -1.1951, 1.9451, 0.75, 38.6
Smelt Thorium, https://wotlkdb.com/?spell=16153, -2.45, 9.95, 7.5, 75.4
Smelt Titanium, https://wotlkdb.com/?spell=55211, -3.7328, 48.7328, 45, 92.3
Smelt Silver, https://wotlkdb.com/?spell=2658, -9.23, 19.225, 9.995, 52
