Name, Link, Profit, Cost, Sell, ROI %
Unyielding Girdle, https://wotlkdb.com/?spell=31442, 3163.1708, 836.8292, 4000, 478
Cord of the White Dawn, https://wotlkdb.com/?spell=63205, 2608.8, 2641.2, 5250, 198.8
Sash of Ancient Power, https://wotlkdb.com/?spell=63203, 2375.2, 2874.8, 5250, 182.6
Savior's Slippers, https://wotlkdb.com/?spell=63206, 2208.8, 2641.2, 4850, 183.6
Night's End, https://wotlkdb.com/?spell=40060, 1740.1764, 47.8236, 1788, 3738.7
Soulcloth Shoulders, https://wotlkdb.com/?spell=26780, 1649.2, 150.8, 1800, 1193.6
Spellslinger's Slippers, https://wotlkdb.com/?spell=63204, 1124.2, 2874.8, 3999, 139.1
Flarecore Robe, https://wotlkdb.com/?spell=23666, 1099.7938, 347.1477, 1446.9415, 416.8
Lightweave Leggings, https://wotlkdb.com/?spell=70552, 906, 5090, 5996, 117.8
Merlin's Robe, https://wotlkdb.com/?spell=67146, 851.4008, 3201.5992, 4053, 126.6
Mooncloth Robe, https://wotlkdb.com/?spell=22902, 778.25, 211.75, 990, 467.5
Golden Spellthread, https://wotlkdb.com/?spell=31433, 740.5099, 109.49, 849.9999, 776.3
Blackstrike Bracers, https://wotlkdb.com/?spell=31437, 717.76, 32.24, 750, 2326.3
Runic Spellthread, https://wotlkdb.com/?spell=31432, 701.51, 390.49, 1092, 279.6
Deathchill Cloak, https://wotlkdb.com/?spell=56017, 699.06, 649.94, 1349, 207.6
Merlin's Robe, https://wotlkdb.com/?spell=67066, 646.9008, 3201.5992, 3848.5, 120.2
Bejeweled Wizard's Bracers, https://wotlkdb.com/?spell=67079, 553.1004, 2035.8996, 2589, 127.2
Icy Cloak, https://wotlkdb.com/?spell=3862, 537.435, 17.565, 555, 3159.7
Bag of Jewels, https://wotlkdb.com/?spell=31459, 535.1, 63.9, 599, 937.4
Cloak of the Black Void, https://wotlkdb.com/?spell=31438, 492.4346, 157.5654, 650, 412.5
Royal Moonshroud Bracers, https://wotlkdb.com/?spell=67065, 438.2003, 1502.7996, 1940.9999, 129.2
