Name, Link, Profit, Cost, Sell, ROI %
Belt of Blasting, https://wotlkdb.com/?spell=36315, 4935.5479, 64.4521, 5000, 7757.7
Icy Cloak, https://wotlkdb.com/?spell=3862, 4091.24, 8.76, 4100, 46803.7
Spellslinger's Slippers, https://wotlkdb.com/?spell=63204, 2853.9812, 2643.5188, 5497.5, 208
Savior's Slippers, https://wotlkdb.com/?spell=63206, 2719.6, 2278.4, 4998, 219.4
Golden Spellthread, https://wotlkdb.com/?spell=31433, 2480.7, 19.3, 2500, 12953.4
Belt of the Long Road, https://wotlkdb.com/?spell=36316, 2288.5004, 311.4996, 2600, 834.7
Sash of Ancient Power, https://wotlkdb.com/?spell=63203, 1768.4811, 2643.5188, 4411.9999, 166.9
Frozen Shadoweave Shoulders, https://wotlkdb.com/?spell=26756, 1599.1004, 600.8996, 2200, 366.1
Silver Spellthread, https://wotlkdb.com/?spell=31431, 1289.6, 9.4, 1299, 13819.1
Spellfire Robe, https://wotlkdb.com/?spell=26754, 1248.104, 306.896, 1555, 506.7
Night's End, https://wotlkdb.com/?spell=40060, 1168.1602, 31.8398, 1200, 3768.9
Cord of the White Dawn, https://wotlkdb.com/?spell=63205, 1018.6, 2278.4, 3297, 144.7
Mooncloth Robe, https://wotlkdb.com/?spell=22902, 790.85, 160.14, 950.99, 593.8
Lightweave Leggings, https://wotlkdb.com/?spell=70552, 778, 4271, 5049, 118.2
Royal Moonshroud Robe, https://wotlkdb.com/?spell=67144, 709, 2756, 3465, 125.7
Deathchill Cloak, https://wotlkdb.com/?spell=56017, 561.17, 663.83, 1225, 184.5
Wispcloak, https://wotlkdb.com/?spell=56016, 549.39, 235.61, 785, 333.2
Sandals of Consecration, https://wotlkdb.com/?spell=70553, 529.5, 2585.5, 3115, 120.5
Red Winter Clothes, https://wotlkdb.com/?spell=44958, 519.06, 3.94, 523, 13274.1
Merlin's Robe, https://wotlkdb.com/?spell=67146, 513.9624, 3075.0376, 3589, 116.7
Dress Shoes, https://wotlkdb.com/?spell=49677, 473.2478, 4.895, 478.1428, 9768
Leggings of Woven Death, https://wotlkdb.com/?spell=70550, 407.1929, 5183.797, 5590.9899, 107.9
Dreamweave Vest, https://wotlkdb.com/?spell=12070, 371.51, 28.44, 399.95, 1406.3
Phoenix Gloves, https://wotlkdb.com/?spell=3868, 370.3445, 4.6555, 375, 8055
Glacial Bag, https://wotlkdb.com/?spell=56005, 369.2404, 330.7596, 700, 211.6
