Name, Link, Profit, Cost, Sell, ROI %
Dense Weightstone, https://wotlkdb.com/?spell=16640, 9.9035, 0.0965, 10, 10362.7
Colorful Kilt, https://wotlkdb.com/?spell=12047, 8.45, 0.55, 9, 1636.4
Great Dawnstone, https://wotlkdb.com/?spell=39452, 7.95, 2, 9.95, 497.5
Bronze Setting, https://wotlkdb.com/?spell=25278, 4.9474, 2, 6.9474, 347.4
Crunchy Serpent, https://wotlkdb.com/?spell=38868, 4.11, 0.89, 5, 561.8
Lesser Rune of Warding, https://wotlkdb.com/?spell=32284, 4.05, 5.95, 10, 168.1
Delicate Copper Wire, https://wotlkdb.com/?spell=25255, 2.1944, 2, 4.1944, 209.7
Salt Shaker, https://wotlkdb.com/?spell=19566, 2.0699, 0.1101, 2.18, 1980
Spice Bread, https://wotlkdb.com/?spell=37836, 1.9965, 0.0035, 2, 57142.9
Tender Wolf Steak, https://wotlkdb.com/?spell=22480, 1.0363, 0.0137, 1.05, 7664.2
Mithril Head Trout, https://wotlkdb.com/?spell=20916, 0.6276, 0.49, 1.1176, 228.1
Dense Grinding Stone, https://wotlkdb.com/?spell=16639, 0.6192, 0.15, 0.7692, 512.8
Simple Kilt, https://wotlkdb.com/?spell=12046, 0.5304, 0.2096, 0.74, 353.1
Mok'Nathal Shortribs, https://wotlkdb.com/?spell=38867, 0.3693, 0.635, 1.0043, 158.2
Solid Star of Elune, https://wotlkdb.com/?spell=31092, 0.26, 2.74, 3, 109.5
Balanced Nightseye, https://wotlkdb.com/?spell=39463, 0.06, 2.94, 3, 102
Powerful Anti-Venom, https://wotlkdb.com/?spell=23787, -0.0959, 0.1459, 0.05, 34.3
Truesilver Skeleton Key, https://wotlkdb.com/?spell=19668, -0.1999, 1.1999, 1, 83.3
Fire Sunder, https://wotlkdb.com/?spell=35751, -0.615, 0.705, 0.09, 12.8
Goldthorn Tea, https://wotlkdb.com/?spell=13028, -0.994, 1.0025, 0.0085, 0.8
Cured Rugged Hide, https://wotlkdb.com/?spell=19047, -1.181, 2.281, 1.1, 48.2
Earth Shatter, https://wotlkdb.com/?spell=35750, -1.25, 2.24, 0.99, 44.2
Veiled Flame Spessarite, https://wotlkdb.com/?spell=39466, -1.33, 1.58, 0.25, 15.8
Wicked Flame Spessarite, https://wotlkdb.com/?spell=39467, -1.33, 1.58, 0.25, 15.8
Lesser Ward of Shielding, https://wotlkdb.com/?spell=29728, -1.45, 5.95, 4.5, 75.6
Fel Weightstone, https://wotlkdb.com/?spell=34607, -1.55, 5.16, 3.61, 70
Balanced Shadow Draenite, https://wotlkdb.com/?spell=39455, -1.7, 1.95, 0.25, 12.8
Gift of Arthas, https://wotlkdb.com/?spell=11466, -1.9657, 1.9907, 0.025, 1.3
Sylvan Shoulders, https://wotlkdb.com/?spell=28482, -2.3972, 4.15, 1.7528, 42.2
Great Golden Draenite, https://wotlkdb.com/?spell=39451, -2.75, 3, 0.25, 8.3
