Name, Link, Profit, Cost, Sell, ROI %
Lesser Rune of Warding, https://wotlkdb.com/?spell=32284, 10, 5, 15, 300
Gift of Arthas, https://wotlkdb.com/?spell=11466, 7.05, 1.95, 9, 461.5
Delicate Copper Wire, https://wotlkdb.com/?spell=25255, 6.5, 1.5, 8, 533.3
Spice Bread, https://wotlkdb.com/?spell=37836, 6.0131, 0.0035, 6.0166, 171902.9
Dense Weightstone, https://wotlkdb.com/?spell=16640, 4.8578, 0.1422, 5, 3516.2
Salt Shaker, https://wotlkdb.com/?spell=19566, 3.1225, 0.0875, 3.21, 3668.6
Runn Tum Tuber Surprise, https://wotlkdb.com/?spell=22761, 2.5555, 3, 5.5555, 185.2
Cured Rugged Hide, https://wotlkdb.com/?spell=19047, 1.519, 3.261, 4.78, 146.6
Great Dawnstone, https://wotlkdb.com/?spell=39452, 1, 2, 3, 150
Balanced Nightseye, https://wotlkdb.com/?spell=39463, 1, 2, 3, 150
Mok'Nathal Shortribs, https://wotlkdb.com/?spell=38867, 0.9017, 1.45, 2.3517, 162.2
Truesilver Skeleton Key, https://wotlkdb.com/?spell=19668, 0.8605, 1.1395, 2, 175.5
Simple Kilt, https://wotlkdb.com/?spell=12046, 0.79, 0.21, 1, 476.2
Solid Star of Elune, https://wotlkdb.com/?spell=31092, 0.5, 2.5, 3, 120
Mithril Head Trout, https://wotlkdb.com/?spell=20916, 0.4251, 0.1999, 0.625, 312.7
Tender Wolf Steak, https://wotlkdb.com/?spell=22480, 0.1026, 0.0474, 0.15, 316.5
Dense Grinding Stone, https://wotlkdb.com/?spell=16639, 0.098, 0.4, 0.498, 124.5
Powerful Anti-Venom, https://wotlkdb.com/?spell=23787, -0.149, 0.199, 0.05, 25.1
Fire Sunder, https://wotlkdb.com/?spell=35751, -0.5435, 0.6435, 0.1, 15.5
Veiled Flame Spessarite, https://wotlkdb.com/?spell=39466, -0.72, 0.97, 0.25, 25.8
Wicked Flame Spessarite, https://wotlkdb.com/?spell=39467, -0.72, 0.97, 0.25, 25.8
Balanced Shadow Draenite, https://wotlkdb.com/?spell=39455, -0.75, 1, 0.25, 25
Bronze Setting, https://wotlkdb.com/?spell=25278, -1.4616, 2.4616, 1, 40.6
Sylvan Shoulders, https://wotlkdb.com/?spell=28482, -2.2072, 3.96, 1.7528, 44.3
Goldthorn Tea, https://wotlkdb.com/?spell=13028, -2.5495, 2.558, 0.0085, 0.3
Smoking Heart of the Mountain, https://wotlkdb.com/?spell=15596, -2.6391, 2.7891, 0.15, 5.4
Rough Copper Vest, https://wotlkdb.com/?spell=12260, -2.9968, 3, 0.0032, 0.1
Lesser Ward of Shielding, https://wotlkdb.com/?spell=29728, -3.02, 5, 1.98, 39.6
Colorful Kilt, https://wotlkdb.com/?spell=12047, -3.2815, 3.375, 0.0935, 2.8
Golden Skeleton Key, https://wotlkdb.com/?spell=19667, -3.4562, 5, 1.5438, 30.9
Festive Red Pant Suit, https://wotlkdb.com/?spell=26407, -3.8999, 3.9, 0.0001, 0
Spitfire Bracers, https://wotlkdb.com/?spell=24846, -3.982, 5.58, 1.598, 28.6
Earth Shatter, https://wotlkdb.com/?spell=35750, -4.15, 4.65, 0.5, 10.8
Sylvan Vest, https://wotlkdb.com/?spell=28480, -4.2717, 6.5922, 2.3205, 35.2
Gaea's Embrace, https://wotlkdb.com/?spell=28210, -4.5448, 6.2661, 1.7213, 27.5
Crunchy Serpent, https://wotlkdb.com/?spell=38868, -4.99, 5.85, 0.86, 14.7
Fel Weightstone, https://wotlkdb.com/?spell=34607, -5.481, 5.65, 0.169, 3
Brilliant Necklace, https://wotlkdb.com/?spell=36523, -5.9032, 10.8832, 4.98, 45.8
Bronze Torc, https://wotlkdb.com/?spell=38175, -6.4618, 8.4618, 2, 23.6
Cobalt Skeleton Key, https://wotlkdb.com/?spell=59405, -7.07, 8, 0.93, 11.6
Runescroll of Fortitude, https://wotlkdb.com/?spell=69385, -8.37, 11.5, 3.13, 27.2
Rugged Armor Kit, https://wotlkdb.com/?spell=19058, -8.4, 8.7, 0.3, 3.4
Silver Skeleton Key, https://wotlkdb.com/?spell=19666, -8.7149, 10.0049, 1.29, 12.9
Sandstalker Bracers, https://wotlkdb.com/?spell=24849, -9.0426, 10.5718, 1.5292, 14.5
Thick Bronze Necklace, https://wotlkdb.com/?spell=26927, -9.0816, 12.4616, 3.38, 27.1
Powerful Seaforium Charge, https://wotlkdb.com/?spell=23080, -10.4015, 10.7015, 0.3, 2.8
Volcanic Leggings, https://wotlkdb.com/?spell=19059, -11.3641, 12.82, 1.4559, 11.4
Heavy Golden Necklace of Battle, https://wotlkdb.com/?spell=25320, -12.2665, 12.42, 0.1535, 1.2
Philosopher's Stone, https://wotlkdb.com/?spell=11459, -13.645, 13.67, 0.025, 0.2
Frostsaber Boots, https://wotlkdb.com/?spell=19066, -13.6657, 14.81, 1.1443, 7.7
Dirge's Kickin' Chimaerok Chops, https://wotlkdb.com/?spell=25659, -14.3876, 29.3875, 14.9999, 51
The Jade Eye, https://wotlkdb.com/?spell=25619, -14.6997, 15.6997, 1, 6.4
Great Golden Draenite, https://wotlkdb.com/?spell=39451, -14.75, 15, 0.25, 1.7
Bramblewood Belt, https://wotlkdb.com/?spell=28474, -15.9281, 17.3, 1.3719, 7.9
Frostsaber Leggings, https://wotlkdb.com/?spell=19074, -16.5887, 18.29, 1.7013, 9.3
