Name, Link, Profit, Cost, Sell, ROI %
Transmute: Skyfire Diamond, https://wotlkdb.com/?spell=32766, 364.12, 134.88, 499, 370
Flask of Chromatic Resistance, https://wotlkdb.com/?spell=17638, 246.325, 86.675, 333, 384.2
Transmute: King's Amber, https://wotlkdb.com/?spell=66660, 135, 119, 254, 213.4
Mercurial Stone, https://wotlkdb.com/?spell=38070, 98, 52, 150, 288.5
Transmute: Ametrine, https://wotlkdb.com/?spell=66658, 94.84, 120.15, 214.99, 178.9
Transmute: Majestic Zircon, https://wotlkdb.com/?spell=66663, 90, 52.5, 142.5, 271.4
Transmute: Eternal Water to Fire, https://wotlkdb.com/?spell=53784, 77.5001, 9.9999, 87.5, 875
Flask of Supreme Power, https://wotlkdb.com/?spell=17637, 76.395, 23.605, 100, 423.6
Greater Fire Protection Potion, https://wotlkdb.com/?spell=17574, 75.395, 1.51, 76.905, 5093
Transmute: Eternal Life to Fire, https://wotlkdb.com/?spell=53773, 67.5, 20, 87.5, 437.5
Greater Frost Protection Potion, https://wotlkdb.com/?spell=17575, 67.2914, 2.6686, 69.96, 2621.6
Elixir of Major Defense, https://wotlkdb.com/?spell=28557, 64.5667, 24.3333, 88.9, 365.3
Transmute: Eye of Zul, https://wotlkdb.com/?spell=66664, 63, 15, 78, 520
Transmute: Dreadstone, https://wotlkdb.com/?spell=66662, 62.4612, 38.5288, 100.99, 262.1
Transmute: Cardinal Ruby, https://wotlkdb.com/?spell=66659, 62.25, 207.5, 269.75, 130
Living Action Potion, https://wotlkdb.com/?spell=24367, 57.6899, 33.21, 90.8999, 273.7
Greater Arcane Protection Potion, https://wotlkdb.com/?spell=17577, 54.3436, 1.2564, 55.6, 4425.3
Elixir of Greater Firepower, https://wotlkdb.com/?spell=26277, 53.8503, 19.7497, 73.6, 372.7
Limited Invulnerability Potion, https://wotlkdb.com/?spell=3175, 46.89, 8.11, 55, 678.2
Transmute: Primal Shadow to Water, https://wotlkdb.com/?spell=28580, 44.06, 0.44, 44.5, 10113.6
Fire Protection Potion, https://wotlkdb.com/?spell=7257, 43.99, 11.01, 55, 499.5
Flask of the Titans, https://wotlkdb.com/?spell=17635, 43.02, 25.95, 68.97, 265.8
Frost Protection Potion, https://wotlkdb.com/?spell=7258, 39.67, 2.73, 42.4, 1553.1
Transmute: Primal Earth to Water, https://wotlkdb.com/?spell=28567, 39.5, 5, 44.5, 890
Transmute: Primal Fire to Mana, https://wotlkdb.com/?spell=28583, 37.26, 1.74, 39, 2241.4
Transmute: Eternal Earth to Air, https://wotlkdb.com/?spell=53781, 35.8, 4, 39.8, 995
Free Action Potion, https://wotlkdb.com/?spell=6624, 35.7428, 50.0572, 85.8, 171.4
Elixir of Detect Lesser Invisibility, https://wotlkdb.com/?spell=3453, 32.075, 1.15, 33.225, 2889.1
Transmute: Undeath to Water, https://wotlkdb.com/?spell=17563, 29.9, 9, 38.9, 432.2
Flask of Distilled Wisdom, https://wotlkdb.com/?spell=17636, 29.895, 40.105, 70, 174.5
Transmute: Eternal Water to Air, https://wotlkdb.com/?spell=53783, 29.8001, 9.9999, 39.8, 398
Greater Stoneshield Potion, https://wotlkdb.com/?spell=17570, 29.125, 14.875, 44, 295.8
Insane Strength Potion, https://wotlkdb.com/?spell=28550, 29, 14, 43, 307.1
Greater Dreamless Sleep Potion, https://wotlkdb.com/?spell=24366, 27.1299, 2.87, 29.9999, 1045.3
Flask of Relentless Assault, https://wotlkdb.com/?spell=28589, 26.3685, 33.6315, 60, 178.4
Transmute: Eternal Earth to Shadow, https://wotlkdb.com/?spell=53782, 25.9, 4, 29.9, 747.5
Transmute: Earth to Water, https://wotlkdb.com/?spell=17561, 25.2, 13.7, 38.9, 283.9
Greater Nature Protection Potion, https://wotlkdb.com/?spell=17576, 22.75, 17.24, 39.99, 232
Shadow Oil, https://wotlkdb.com/?spell=3449, 22.2804, 5.2196, 27.5, 526.9
Flask of Chromatic Wonder, https://wotlkdb.com/?spell=42736, 21.89, 35.11, 57, 162.3
Transmute: Primal Might, https://wotlkdb.com/?spell=29688, 18.76, 150.24, 169, 112.5
Transmute: Arcanite, https://wotlkdb.com/?spell=17187, 18.1125, 77.6875, 95.8, 123.3
Ghost Dye, https://wotlkdb.com/?spell=11473, 16.74, 8.26, 25, 302.7
Elixir of Major Agility, https://wotlkdb.com/?spell=28553, 16.1, 7.9, 24, 303.8
Transmute: Primal Water to Air, https://wotlkdb.com/?spell=28569, 15.5, 44.5, 60, 134.8
Haste Potion, https://wotlkdb.com/?spell=28564, 15.25, 20, 35.25, 176.3
Invisibility Potion, https://wotlkdb.com/?spell=11464, 14.8298, 5.12, 19.9498, 389.6
Elixir of Giant Growth, https://wotlkdb.com/?spell=8240, 13.673, 5.502, 19.175, 348.5
Transmute: Life to Earth, https://wotlkdb.com/?spell=17565, 13.5015, 0.1985, 13.7, 6901.8
Frost Oil, https://wotlkdb.com/?spell=3454, 13.32, 3.68, 17, 462
Elixir of the Searching Eye, https://wotlkdb.com/?spell=28552, 12.3, 8, 20.3, 253.8
Blackmouth Oil, https://wotlkdb.com/?spell=7836, 11, 13.9, 24.9, 179.1
Transmute: Fire to Earth, https://wotlkdb.com/?spell=17560, 10.73, 2.97, 13.7, 461.3
Lesser Flask of Resistance, https://wotlkdb.com/?spell=62213, 10.16, 9.84, 20, 203.3
Shadow Protection Potion, https://wotlkdb.com/?spell=7256, 10.0101, 0.9899, 11, 1111.2
Transmute: Eternal Life to Shadow, https://wotlkdb.com/?spell=53771, 9.9, 20, 29.9, 149.5
Greater Shadow Protection Potion, https://wotlkdb.com/?spell=17578, 9.63, 28.74, 38.37, 133.5
Elixir of Lesser Agility, https://wotlkdb.com/?spell=2333, 9.5463, 1.6537, 11.2, 677.3
Transmute: Earthsiege Diamond, https://wotlkdb.com/?spell=57427, 8.7801, 96.2199, 105, 109.1
Potion of Curing, https://wotlkdb.com/?spell=3174, 8.69, 1.01, 9.7, 960.4
Elixir of Major Strength, https://wotlkdb.com/?spell=28544, 8.55, 7.45, 16, 214.8
Transmute: Skyflare Diamond, https://wotlkdb.com/?spell=57425, 8.5334, 61.4666, 70, 113.9
Swiftness Potion, https://wotlkdb.com/?spell=2335, 8.3642, 3.6358, 12, 330.1
Ethereal Oil, https://wotlkdb.com/?spell=62409, 8.15, 1.5, 9.65, 643.3
Potion of Wild Magic, https://wotlkdb.com/?spell=54222, 8.1199, 63.8801, 72, 112.7
Elixir of Camouflage, https://wotlkdb.com/?spell=28543, 7.6125, 3.95, 11.5625, 292.7
Transmute: Earthstorm Diamond, https://wotlkdb.com/?spell=32765, 7.0599, 142.9401, 150, 104.9
Elixir of Shadow Power, https://wotlkdb.com/?spell=11476, 6.61, 11.89, 18.5, 155.6
Elixir of Minor Agility, https://wotlkdb.com/?spell=3230, 6.3627, 0.6373, 7, 1098.4
Elixir of Demonslaying, https://wotlkdb.com/?spell=11477, 6.0516, 6.13, 12.1816, 198.7
Potion of Speed, https://wotlkdb.com/?spell=54221, 5.8001, 60.4999, 66.3, 109.6
Fire Oil, https://wotlkdb.com/?spell=7837, 5.58, 0.42, 6, 1428.6
Minor Magic Resistance Potion, https://wotlkdb.com/?spell=3172, 5.5081, 1.9919, 7.5, 376.5
Crazy Alchemist's Potion, https://wotlkdb.com/?spell=53895, 4.99, 9.96, 14.95, 150.1
Elixir of Frost Power, https://wotlkdb.com/?spell=21923, 4.91, 2.09, 7, 334.9
Mighty Rage Potion, https://wotlkdb.com/?spell=17552, 4.792, 6.25, 11.042, 176.7
Mighty Shadow Protection Potion, https://wotlkdb.com/?spell=53938, 4.67, 5.32, 9.99, 187.8
Nature Protection Potion, https://wotlkdb.com/?spell=7259, 4.5028, 0.4972, 5, 1005.6
Major Rejuvenation Potion, https://wotlkdb.com/?spell=22732, 4.4, 10.5, 14.9, 141.9
Lesser Flask of Toughness, https://wotlkdb.com/?spell=53899, 4.39, 19.66, 24.05, 122.3
Holy Protection Potion, https://wotlkdb.com/?spell=7255, 3.9042, 1.0758, 4.98, 462.9
Heroic Potion, https://wotlkdb.com/?spell=28563, 3.8888, 16.1111, 19.9999, 124.1
Elixir of Protection, https://wotlkdb.com/?spell=54220, 3.5618, 11.4382, 15, 131.1
Lesser Invisibility Potion, https://wotlkdb.com/?spell=3448, 3.3801, 1.6199, 5, 308.7
Elixir of Giants, https://wotlkdb.com/?spell=11472, 3.36, 3.24, 6.6, 203.7
Major Troll's Blood Elixir, https://wotlkdb.com/?spell=3451, 3.29, 0.7, 3.99, 570
Transmute: Primal Fire to Earth, https://wotlkdb.com/?spell=28568, 3.26, 1.74, 5, 287.4
Transmute: Primal Earth to Life, https://wotlkdb.com/?spell=28585, 3, 5, 8, 160
Elixir of Armor Piercing, https://wotlkdb.com/?spell=60365, 3, 10, 13, 130
Elixir of Dream Vision, https://wotlkdb.com/?spell=11468, 2.78, 2.2, 4.98, 226.4
Elixir of Ogre's Strength, https://wotlkdb.com/?spell=3188, 2.21, 0.79, 3, 379.7
Stonescale Oil, https://wotlkdb.com/?spell=17551, 2.185, 0.74, 2.925, 395.3
Elixir of Mighty Thoughts, https://wotlkdb.com/?spell=60367, 1.71, 13.29, 15, 112.9
Earthen Elixir, https://wotlkdb.com/?spell=39637, 1.65, 4.35, 6, 137.9
Elixir of Greater Water Breathing, https://wotlkdb.com/?spell=22808, 1.4322, 1.624, 3.0562, 188.2
Elixir of Lightning Speed, https://wotlkdb.com/?spell=60366, 0.92, 7.08, 8, 113
Rage Potion, https://wotlkdb.com/?spell=6617, 0.818, 0.182, 1, 549.5
Elixir of Defense, https://wotlkdb.com/?spell=3177, 0.7329, 1.2571, 1.99, 158.3
Pygmy Oil, https://wotlkdb.com/?spell=53812, 0.6601, 3.22, 3.8801, 120.5
Magic Resistance Potion, https://wotlkdb.com/?spell=11453, 0.57, 1.43, 2, 139.9
Elixir of Mastery, https://wotlkdb.com/?spell=33741, 0.5, 6.95, 7.45, 107.2
Elixir of Minor Defense, https://wotlkdb.com/?spell=7183, 0.3283, 0.005, 0.3333, 6666
Elixir of Detect Undead, https://wotlkdb.com/?spell=11460, 0.25, 1.25, 1.5, 120
Elixir of Greater Intellect, https://wotlkdb.com/?spell=11465, 0.23, 2.77, 3, 108.3
Mighty Fire Protection Potion, https://wotlkdb.com/?spell=53939, 0.2224, 3.7776, 4, 105.9
Elixir of Minor Fortitude, https://wotlkdb.com/?spell=2334, -0.0202, 1.0202, 1, 98
Minor Healing Potion, https://wotlkdb.com/?spell=2330, -0.0209, 0.0217, 0.0008, 3.7
Elixir of Healing Power, https://wotlkdb.com/?spell=28545, -0.05, 2.99, 2.94, 98.3
Transmute: Elemental Fire, https://wotlkdb.com/?spell=25146, -0.1299, 0.3999, 0.27, 67.5
Flask of Mighty Restoration, https://wotlkdb.com/?spell=28588, -0.1315, 8.0815, 7.95, 98.4
Arcane Elixir, https://wotlkdb.com/?spell=11461, -0.1801, 4.18, 3.9999, 95.7
Minor Rejuvenation Potion, https://wotlkdb.com/?spell=2332, -0.1802, 0.6802, 0.5, 73.5
Minor Mana Potion, https://wotlkdb.com/?spell=2331, -0.3217, 0.3335, 0.0118, 3.5
Elixir of Lion's Strength, https://wotlkdb.com/?spell=2329, -0.4035, 0.5035, 0.1, 19.9
Mana Potion, https://wotlkdb.com/?spell=3452, -0.4912, 0.5272, 0.036, 6.8
Greater Healing Potion, https://wotlkdb.com/?spell=7181, -0.4925, 0.53, 0.0375, 7.1
Transmute: Iron to Gold, https://wotlkdb.com/?spell=11479, -0.51, 1.46, 0.95, 65.1
Lesser Mana Potion, https://wotlkdb.com/?spell=3173, -0.5498, 0.5692, 0.0194, 3.4
