Name, Link, Profit, Cost, Sell, ROI %
Transmute: Earthstorm Diamond, https://wotlkdb.com/?spell=32765, 875.0794, 125.9205, 1000.9999, 794.9
Mercurial Stone, https://wotlkdb.com/?spell=38070, 191.515, 55.485, 247, 445.2
Flask of the Titans, https://wotlkdb.com/?spell=17635, 185.7, 33.05, 218.75, 661.9
Transmute: King's Amber, https://wotlkdb.com/?spell=66660, 139.51, 120.49, 260, 215.8
Transmute: Majestic Zircon, https://wotlkdb.com/?spell=66663, 123.3333, 51.6667, 175, 338.7
Transmute: Ametrine, https://wotlkdb.com/?spell=66658, 89, 123, 212, 172.4
Transmute: Primal Might, https://wotlkdb.com/?spell=29688, 88.0749, 146.925, 234.9999, 159.9
Transmute: Eternal Water to Fire, https://wotlkdb.com/?spell=53784, 86.4, 13.55, 99.95, 737.6
Transmute: Dreadstone, https://wotlkdb.com/?spell=66662, 84.05, 37.95, 122, 321.5
Transmute: Eternal Life to Fire, https://wotlkdb.com/?spell=53773, 83.96, 15.99, 99.95, 625.1
Transmute: Cardinal Ruby, https://wotlkdb.com/?spell=66659, 81.81, 240.94, 322.75, 134
Limited Invulnerability Potion, https://wotlkdb.com/?spell=3175, 76.61, 8.39, 85, 1013.1
Living Action Potion, https://wotlkdb.com/?spell=24367, 74.37, 25.63, 100, 390.2
Insane Strength Potion, https://wotlkdb.com/?spell=28550, 67.6666, 25.3334, 93, 367.1
Flask of Distilled Wisdom, https://wotlkdb.com/?spell=17636, 63.5399, 41.46, 104.9999, 253.3
Transmute: Eye of Zul, https://wotlkdb.com/?spell=66664, 61.7499, 13.2501, 75, 566
Shadow Oil, https://wotlkdb.com/?spell=3449, 59.4101, 10.2868, 69.6969, 677.5
Transmute: Arcanite, https://wotlkdb.com/?spell=17187, 50.52, 64.98, 115.5, 177.7
Transmute: Primal Fire to Mana, https://wotlkdb.com/?spell=28583, 47.9648, 0.52, 48.4848, 9324
Elixir of Major Defense, https://wotlkdb.com/?spell=28557, 46.3722, 22.5278, 68.9, 305.8
Elixir of Major Shadow Power, https://wotlkdb.com/?spell=28558, 40.99, 9.01, 50, 554.9
Fire Protection Potion, https://wotlkdb.com/?spell=7257, 37.5238, 12.4762, 50, 400.8
Transmute: Skyflare Diamond, https://wotlkdb.com/?spell=57425, 36.68, 51.87, 88.55, 170.7
Transmute: Primal Water to Air, https://wotlkdb.com/?spell=28569, 35.9, 30, 65.9, 219.7
Ghost Dye, https://wotlkdb.com/?spell=11473, 35.62, 4.38, 40, 913.2
