Name, Link, Profit, Cost, Sell, ROI %
Fel Edged Battleaxe, https://wotlkdb.com/?spell=29694, 66616.4244, 3383.5756, 70000, 2068.8
Sulfuron Hammer, https://wotlkdb.com/?spell=21161, 13451.691, 9048.799, 22500.49, 248.7
Helm of the Great Chief, https://wotlkdb.com/?spell=16728, 9398.7446, 601.2554, 10000, 1663.2
Hand of Eternity, https://wotlkdb.com/?spell=29700, 8860.0548, 3139.9452, 12000, 382.2
Sageblade, https://wotlkdb.com/?spell=27832, 7472.4, 1427.6, 8900, 623.4
Red Belt of Battle, https://wotlkdb.com/?spell=36390, 5670.3685, 329.05, 5999.4185, 1823.3
Oathkeeper's Helm, https://wotlkdb.com/?spell=29668, 4423.8885, 1132.1113, 5555.9998, 490.8
Dark Iron Mail, https://wotlkdb.com/?spell=15293, 3910.06, 89.94, 4000, 4447.4
Steelgrip Gauntlets, https://wotlkdb.com/?spell=29662, 3622.4357, 1377.5643, 5000, 363
Belt of the Guardian, https://wotlkdb.com/?spell=36389, 3168.325, 831.175, 3999.5, 481.2
Arcanite Reaper, https://wotlkdb.com/?spell=16994, 2968.8888, 2031.1112, 5000, 246.2
Frostguard, https://wotlkdb.com/?spell=16992, 2835.6888, 2564.3112, 5400, 210.6
Sunforged Breastplate, https://wotlkdb.com/?spell=67095, 2794.9999, 5684, 8478.9999, 149.2
Dark Iron Helm, https://wotlkdb.com/?spell=23636, 2462.1802, 37.8198, 2500, 6610.3
Felsteel Longblade, https://wotlkdb.com/?spell=29692, 2454.4243, 3045.5756, 5499.9999, 180.6
Indestructible Plate Girdle, https://wotlkdb.com/?spell=63191, 2221.5, 4024.5, 6246, 155.2
Nightfall, https://wotlkdb.com/?spell=23653, 2204.9905, 1350.0095, 3555, 263.3
Belt of the Titans, https://wotlkdb.com/?spell=63187, 2175.5, 4024.5, 6200, 154.1
Protectors of Life, https://wotlkdb.com/?spell=70563, 2105.0511, 5693.9488, 7798.9999, 137
Dark Iron Reaver, https://wotlkdb.com/?spell=20890, 2031.9812, 190.0188, 2222, 1169.4
Treads of Destiny, https://wotlkdb.com/?spell=63190, 1975.5, 4024.5, 6000, 149.1
