Name, Link, Profit, Cost, Sell, ROI %
Heavy Copper Longsword, https://wotlkdb.com/?spell=43549, 19991.5148, 8.4851, 19999.9999, 235707.3
Khorium Champion, https://wotlkdb.com/?spell=29693, 11049.5, 3950.5, 15000, 379.7
Oathkeeper's Helm, https://wotlkdb.com/?spell=29668, 7692.71, 807.29, 8500, 1052.9
Arcanite Reaper, https://wotlkdb.com/?spell=16994, 5441.17, 2558.83, 8000, 312.6
Dark Iron Helm, https://wotlkdb.com/?spell=23636, 4890.8148, 108.1852, 4999, 4620.8
Lionheart Helm, https://wotlkdb.com/?spell=16729, 4676.58, 2823.42, 7500, 265.6
Dark Iron Leggings, https://wotlkdb.com/?spell=20876, 3583.4992, 415.5008, 3999, 962.5
Enchanted Thorium Breastplate, https://wotlkdb.com/?spell=16745, 3423.6408, 1576.3592, 5000, 317.2
Sulfuron Hammer, https://wotlkdb.com/?spell=21161, 3272.474, 7561.726, 10834.2, 143.3
Dark Iron Gauntlets, https://wotlkdb.com/?spell=23637, 2842.4752, 156.5248, 2999, 1916
Dark Iron Boots, https://wotlkdb.com/?spell=24399, 2799.5426, 199.4574, 2999, 1503.6
Plate Girdle of Righteousness, https://wotlkdb.com/?spell=63189, 2655, 3345, 6000, 179.4
Treads of Destiny, https://wotlkdb.com/?spell=63190, 2655, 3345, 6000, 179.4
Black Felsteel Bracers, https://wotlkdb.com/?spell=29669, 2195.55, 304.45, 2500, 821.2
Belt of the Titans, https://wotlkdb.com/?spell=63187, 2154, 3345, 5499, 164.4
Battlelord's Plate Boots, https://wotlkdb.com/?spell=63188, 2149.5, 3345, 5494.5, 164.3
Bloodsoul Shoulders, https://wotlkdb.com/?spell=24137, 1897.08, 202.92, 2100, 1034.9
Nightfall, https://wotlkdb.com/?spell=23653, 1834.1644, 1864.8356, 3699, 198.4
Fel Edged Battleaxe, https://wotlkdb.com/?spell=29694, 1830, 3040, 4870, 160.2
Blazing Rapier, https://wotlkdb.com/?spell=16978, 1809.0399, 190.96, 1999.9999, 1047.3
Bloodsoul Gauntlets, https://wotlkdb.com/?spell=24138, 1762.14, 137.86, 1900, 1378.2
Indestructible Plate Girdle, https://wotlkdb.com/?spell=63191, 1698, 3345, 5043, 150.8
Whitesoul Helm, https://wotlkdb.com/?spell=16724, 1636.86, 363.14, 2000, 550.8
Hand of Eternity, https://wotlkdb.com/?spell=29700, 1609, 2821, 4430, 157
Felsteel Reaper, https://wotlkdb.com/?spell=29695, 1490, 3040, 4530, 149
Dark Iron Shoulders, https://wotlkdb.com/?spell=15295, 1447.9522, 151.0478, 1599, 1058.6
Felsteel Longblade, https://wotlkdb.com/?spell=29692, 1359.5, 2790.5, 4150, 148.7
Frostguard, https://wotlkdb.com/?spell=16992, 1350.1704, 3049.8296, 4400, 144.3
Enchanted Adamantite Belt, https://wotlkdb.com/?spell=29608, 1334.8, 165.2, 1500, 908
Sunforged Breastplate, https://wotlkdb.com/?spell=67134, 1309, 4830, 6139, 127.1
Enchanted Adamantite Boots, https://wotlkdb.com/?spell=29611, 1276.8, 223.2, 1500, 672
Enchanted Adamantite Breastplate, https://wotlkdb.com/?spell=29610, 1161.6, 338.4, 1500, 443.3
Enchanted Adamantite Leggings, https://wotlkdb.com/?spell=29613, 1153.6, 346.4, 1500, 433
Spiked Deathdealers, https://wotlkdb.com/?spell=63192, 1153.5, 3345, 4498.5, 134.5
Felsteel Leggings, https://wotlkdb.com/?spell=29620, 1108, 392, 1500, 382.7
Felsteel Helm, https://wotlkdb.com/?spell=29621, 1108, 392, 1500, 382.7
Legplates of Painful Death, https://wotlkdb.com/?spell=70565, 1085.3999, 7489.6, 8574.9999, 114.5
Helm of the Stalwart Defender, https://wotlkdb.com/?spell=29664, 1034.5, 864.5, 1899, 219.7
Titanium Razorplate, https://wotlkdb.com/?spell=67132, 1027.54, 4769.96, 5797.5, 121.5
Breastplate of the White Knight, https://wotlkdb.com/?spell=67130, 943, 5454, 6397, 117.3
Girdle of the Dawn, https://wotlkdb.com/?spell=23632, 912.26, 87.74, 1000, 1139.7
Boots of Kingly Upheaval, https://wotlkdb.com/?spell=70568, 895.8767, 4590, 5485.8767, 119.5
Phantom Blade, https://wotlkdb.com/?spell=10007, 836.9028, 162.0972, 999, 616.3
Felfury Gauntlets, https://wotlkdb.com/?spell=29658, 804.75, 865.25, 1670, 193
Titansteel Bonecrusher, https://wotlkdb.com/?spell=55370, 738.1763, 1886, 2624.1763, 139.1
Gloves of the Dawn, https://wotlkdb.com/?spell=23633, 734.58, 265.42, 1000, 376.8
Protectors of Life, https://wotlkdb.com/?spell=70563, 610.9999, 4590, 5200.9999, 113.3
Smelt Hardened Khorium, https://wotlkdb.com/?spell=46353, 585, 515, 1100, 213.6
Steelgrip Gauntlets, https://wotlkdb.com/?spell=29662, 565.25, 1114.75, 1680, 150.7
Hellfrozen Bonegrinders, https://wotlkdb.com/?spell=70566, 557.0248, 5034, 5591.0248, 111.1
Saronite Swordbreakers, https://wotlkdb.com/?spell=67131, 539, 3260, 3799, 116.5
Blackguard, https://wotlkdb.com/?spell=23652, 495.8434, 1474.1566, 1970, 133.6
Icebane Treads, https://wotlkdb.com/?spell=61010, 487.7468, 310, 797.7468, 257.3
