Name, Link, Profit, Cost, Sell, ROI %
Gigantic Feast, https://wotlkdb.com/?spell=58527, 27.26, 12.74, 40, 314
Delicious Chocolate Cake, https://wotlkdb.com/?spell=43779, 19.352, 25.648, 45, 175.5
Fish Feast, https://wotlkdb.com/?spell=57423, 17.2942, 12.1058, 29.4, 242.9
Lean Venison, https://wotlkdb.com/?spell=6419, 14.69, 0.31, 15, 4838.7
Dragonbreath Chili, https://wotlkdb.com/?spell=15906, 12.9713, 10.0086, 22.9799, 229.6
Firecracker Salmon, https://wotlkdb.com/?spell=45568, 11.08, 4.92, 16, 325.2
Very Burnt Worg, https://wotlkdb.com/?spell=45558, 10.83, 3.92, 14.75, 376.3
Westfall Stew, https://wotlkdb.com/?spell=2543, 9.8045, 0.1955, 10, 5115.1
Thistle Tea, https://wotlkdb.com/?spell=9513, 9.5725, 0.3275, 9.9, 3022.9
Bad Clams, https://wotlkdb.com/?spell=58523, 8.3506, 0.4994, 8.85, 1772.1
Imperial Manta Steak, https://wotlkdb.com/?spell=45570, 8.0601, 4.9399, 13, 263.2
Spicy Fried Herring, https://wotlkdb.com/?spell=57433, 6.81, 3.19, 10, 313.5
Giant Clam Scorcho, https://wotlkdb.com/?spell=7213, 6.7, 1.22, 7.92, 649.2
Stormchops, https://wotlkdb.com/?spell=43758, 6.569, 1.431, 8, 559
Rhinolicious Wormsteak, https://wotlkdb.com/?spell=57434, 6.151, 3.749, 9.9, 264.1
Sporeling Snack, https://wotlkdb.com/?spell=33285, 5.3625, 0.1375, 5.5, 4000
Spiced Worm Burger, https://wotlkdb.com/?spell=45557, 5.36, 4.44, 9.8, 220.7
Dragonfin Filet, https://wotlkdb.com/?spell=57442, 5.081, 10.849, 15.93, 146.8
Spicy Blue Nettlefish, https://wotlkdb.com/?spell=45571, 4.6, 4.4, 9, 204.5
Snapper Extreme, https://wotlkdb.com/?spell=57437, 4.3815, 3.4185, 7.8, 228.2
Spiced Mammoth Treats, https://wotlkdb.com/?spell=57440, 4.36, 3.69, 8.05, 218.2
Blackened Worg Steak, https://wotlkdb.com/?spell=57438, 4.08, 3.92, 8, 204.1
Small Feast, https://wotlkdb.com/?spell=58528, 3.0064, 9.938, 12.9444, 130.3
Last Week's Mammoth, https://wotlkdb.com/?spell=58521, 2.19, 0.75, 2.94, 392
Savory Deviate Delight, https://wotlkdb.com/?spell=8238, 1.9999, 5, 6.9999, 140
Hearty Rhino, https://wotlkdb.com/?spell=57436, 1.961, 2.999, 4.96, 165.4
Spicy Hot Talbuk, https://wotlkdb.com/?spell=43765, 1.95, 0.05, 2, 4000
Cuttlesteak, https://wotlkdb.com/?spell=57439, 1.8709, 3.129, 4.9999, 159.8
Carrion Surprise, https://wotlkdb.com/?spell=15863, 1.8114, 0.0086, 1.82, 21162.8
Crocolisk Steak, https://wotlkdb.com/?spell=3370, 1.6888, 0.2, 1.8888, 944.4
Smoked Bear Meat, https://wotlkdb.com/?spell=8607, 1.401, 0.099, 1.5, 1515.2
Poached Nettlefish, https://wotlkdb.com/?spell=45565, 1.3177, 1.46, 2.7777, 190.3
Great Feast, https://wotlkdb.com/?spell=45554, 1.256, 2.684, 3.94, 146.8
Jungle Stew, https://wotlkdb.com/?spell=15861, 1.1415, 0.0785, 1.22, 1554.1
Slitherskin Mackerel, https://wotlkdb.com/?spell=7752, 1.14, 0.1, 1.24, 1240
Dalaran Clam Chowder, https://wotlkdb.com/?spell=58065, 1.04, 0.96, 2, 208.3
Tasty Cupcake, https://wotlkdb.com/?spell=58512, 0.996, 0.154, 1.15, 746.8
Spotted Yellowtail, https://wotlkdb.com/?spell=18238, 0.973, 0.147, 1.12, 761.9
Talbuk Steak, https://wotlkdb.com/?spell=33289, 0.95, 0.05, 1, 2000
Poached Northern Sculpin, https://wotlkdb.com/?spell=45567, 0.8971, 4.0829, 4.98, 122
Grilled Bonescale, https://wotlkdb.com/?spell=45561, 0.8105, 0.1595, 0.97, 608.2
Worg Tartare, https://wotlkdb.com/?spell=62350, 0.8, 4.9, 5.7, 116.3
Murloc Fin Soup, https://wotlkdb.com/?spell=3372, 0.78, 0.4, 1.18, 295
Kibler's Bits, https://wotlkdb.com/?spell=43772, 0.7715, 0.1985, 0.97, 488.7
Blackened Trout, https://wotlkdb.com/?spell=33290, 0.7538, 0.13, 0.8838, 679.8
Strider Stew, https://wotlkdb.com/?spell=6416, 0.75, 0.25, 1, 400
Pickled Fangtooth, https://wotlkdb.com/?spell=45566, 0.74, 0.25, 0.99, 396
Grilled Mudfish, https://wotlkdb.com/?spell=33293, 0.7299, 0.0393, 0.7692, 1957.3
Northern Stew, https://wotlkdb.com/?spell=57421, 0.668, 0.072, 0.74, 1027.8
Fisherman's Feast, https://wotlkdb.com/?spell=42302, 0.6667, 0.3333, 1, 300
Roasted Clefthoof, https://wotlkdb.com/?spell=33287, 0.654, 0.096, 0.75, 781.3
Monster Omelet, https://wotlkdb.com/?spell=15933, 0.63, 0.37, 1, 270.3
Grilled Squid, https://wotlkdb.com/?spell=18240, 0.63, 1.86, 2.49, 133.9
Blackened Sporefish, https://wotlkdb.com/?spell=33292, 0.5852, 0.0815, 0.6667, 818
Spicy Crawdad, https://wotlkdb.com/?spell=33296, 0.52, 0.48, 1, 208.3
Blackened Basilisk, https://wotlkdb.com/?spell=33286, 0.4458, 0.06, 0.5058, 843
Rhino Dogs, https://wotlkdb.com/?spell=45553, 0.441, 0.059, 0.5, 847.5
Mega Mammoth Meal, https://wotlkdb.com/?spell=45555, 0.44, 4.44, 4.88, 109.9
Charred Wolf Meat, https://wotlkdb.com/?spell=2538, 0.4397, 0.25, 0.6897, 275.9
Soothing Turtle Bisque, https://wotlkdb.com/?spell=3400, 0.438, 0.062, 0.5, 806.5
Barbecued Buzzard Wing, https://wotlkdb.com/?spell=4094, 0.4375, 0.0625, 0.5, 800
Sauteed Goby, https://wotlkdb.com/?spell=45562, 0.4311, 0.0489, 0.48, 981.6
Golden Fish Sticks, https://wotlkdb.com/?spell=33295, 0.4152, 0.1985, 0.6137, 309.2
Hot Wolf Ribs, https://wotlkdb.com/?spell=15856, 0.3821, 0.0079, 0.39, 4936.7
Grilled Sculpin, https://wotlkdb.com/?spell=45563, 0.3621, 1.1429, 1.505, 131.7
Filet of Redgill, https://wotlkdb.com/?spell=18241, 0.3459, 0.6, 0.9459, 157.7
Kungaloosh, https://wotlkdb.com/?spell=53056, 0.3011, 1.3958, 1.6969, 121.6
Undermine Clam Chowder, https://wotlkdb.com/?spell=20626, 0.2776, 0.0224, 0.3, 1339.3
Clam Bar, https://wotlkdb.com/?spell=36210, 0.2318, 0.0182, 0.25, 1373.6
Beer Basted Boar Ribs, https://wotlkdb.com/?spell=2795, 0.23, 0.27, 0.5, 185.2
Shoveltusk Steak, https://wotlkdb.com/?spell=45550, 0.22, 1.04, 1.26, 121.2
Bristle Whisker Catfish, https://wotlkdb.com/?spell=7755, 0.21, 0.05, 0.26, 520
Hot Buttered Trout, https://wotlkdb.com/?spell=42305, 0.21, 0.79, 1, 126.6
Crunchy Spider Surprise, https://wotlkdb.com/?spell=28267, 0.1976, 0.0024, 0.2, 8333.3
Rockscale Cod, https://wotlkdb.com/?spell=7828, 0.1903, 0.1495, 0.3398, 227.3
Cooked Crab Claw, https://wotlkdb.com/?spell=2545, 0.163, 0.0475, 0.2105, 443.2
Boiled Clams, https://wotlkdb.com/?spell=6499, 0.1574, 0.2925, 0.4499, 153.8
Kaldorei Spider Kabob, https://wotlkdb.com/?spell=6412, 0.1436, 0.0064, 0.15, 2343.8
Redridge Goulash, https://wotlkdb.com/?spell=2547, 0.0702, 0.1298, 0.2, 154.1
Buzzard Bites, https://wotlkdb.com/?spell=33279, 0.0515, 0.1985, 0.25, 125.9
Critter Bites, https://wotlkdb.com/?spell=57435, 0.036, 3.084, 3.12, 101.2
