Name, Link, Profit, Cost, Sell, ROI %
Mystery Stew, https://wotlkdb.com/?spell=15865, 89.6767, 10.3233, 100, 968.7
Delicious Chocolate Cake, https://wotlkdb.com/?spell=43779, 34.706, 15.294, 50, 326.9
Haunted Herring, https://wotlkdb.com/?spell=58525, 33.02, 1.98, 35, 1767.7
Gigantic Feast, https://wotlkdb.com/?spell=58527, 19.25, 10.75, 30, 279.1
Blackened Worg Steak, https://wotlkdb.com/?spell=57438, 16.5, 3, 19.5, 650
Imperial Manta Steak, https://wotlkdb.com/?spell=45570, 10.448, 3.502, 13.95, 398.3
Broiled Bloodfin, https://wotlkdb.com/?spell=43761, 10.36, 4.64, 15, 323.3
Fish Feast, https://wotlkdb.com/?spell=57423, 10.084, 18.916, 29, 153.3
Stormchops, https://wotlkdb.com/?spell=43758, 9.6352, 0.4885, 10.1237, 2072.4
Very Burnt Worg, https://wotlkdb.com/?spell=45558, 8.85, 3, 11.85, 395
Firecracker Salmon, https://wotlkdb.com/?spell=45568, 8.332, 6.468, 14.8, 228.8
Blackened Dragonfin, https://wotlkdb.com/?spell=57441, 7.565, 7.5, 15.065, 200.9
Snapper Extreme, https://wotlkdb.com/?spell=57437, 7.029, 2.9611, 9.9901, 337.4
Dragonfin Filet, https://wotlkdb.com/?spell=57442, 6.64, 7.5, 14.14, 188.5
Spiced Mammoth Treats, https://wotlkdb.com/?spell=57440, 6.47, 3.48, 9.95, 285.9
Thistle Tea, https://wotlkdb.com/?spell=9513, 6.4575, 0.5425, 7, 1290.3
Cuttlesteak, https://wotlkdb.com/?spell=57439, 5.85, 2.6, 8.45, 325
Tracker Snacks, https://wotlkdb.com/?spell=57443, 5.76, 3.23, 8.99, 278.3
Dragonbreath Chili, https://wotlkdb.com/?spell=15906, 5.6605, 2.8395, 8.5, 299.3
Spicy Fried Herring, https://wotlkdb.com/?spell=57433, 5.52, 3.48, 9, 258.6
Bad Clams, https://wotlkdb.com/?spell=58523, 5.1151, 0.4099, 5.525, 1347.9
Rhinolicious Wormsteak, https://wotlkdb.com/?spell=57434, 4.7951, 5.1549, 9.95, 193
Tender Shoveltusk Steak, https://wotlkdb.com/?spell=45556, 4.0399, 3.96, 7.9999, 202
Smoked Bear Meat, https://wotlkdb.com/?spell=8607, 3.2614, 0.31, 3.5714, 1152.1
