Name, Link, Profit, Cost, Sell, ROI %
Enchant Boots - Cat's Swiftness, https://wotlkdb.com/?spell=34007, 2315.5516, 585.0734, 2900.625, 495.8
Enchant Chest - Exceptional Stats, https://wotlkdb.com/?spell=27960, 2171.8002, 359.1996, 2530.9998, 704.6
Enchant Bracer - Fortitude, https://wotlkdb.com/?spell=27914, 2170.0644, 717.9999, 2888.0643, 402.2
Enchant Gloves - Precise Strikes, https://wotlkdb.com/?spell=33994, 2132.3251, 555.6748, 2687.9999, 483.7
Enchant Cloak - Dodge, https://wotlkdb.com/?spell=25086, 1987.25, 234.75, 2222, 946.5
Enchant Boots - Dexterity, https://wotlkdb.com/?spell=27951, 1924.6068, 532.4, 2457.0068, 461.5
Enchant Gloves - Fire Power, https://wotlkdb.com/?spell=25078, 1876.5999, 123.4, 1999.9999, 1620.7
Enchant Cloak - Greater Resistance, https://wotlkdb.com/?spell=20014, 1871.3609, 17.139, 1888.4999, 11018.7
Enchant 2H Weapon - Major Agility, https://wotlkdb.com/?spell=27977, 1851.0007, 638.9992, 2489.9999, 389.7
Enchant Gloves - Major Spellpower, https://wotlkdb.com/?spell=33997, 1848.5255, 746.4744, 2594.9999, 347.6
Enchant Cloak - Stealth, https://wotlkdb.com/?spell=25083, 1787.87, 212.13, 2000, 942.8
Enchant Cloak - Spell Penetration, https://wotlkdb.com/?spell=34003, 1716.3999, 231.6, 1947.9999, 841.1
Enchant Weapon - Mighty Intellect, https://wotlkdb.com/?spell=23804, 1696.8852, 243.1147, 1939.9999, 798
Enchant Weapon - Major Spellpower, https://wotlkdb.com/?spell=27975, 1681.1611, 690.3389, 2371.5, 343.5
Enchant Gloves - Frost Power, https://wotlkdb.com/?spell=25074, 1640.5492, 248.4096, 1888.9588, 760.4
Enchant Weapon - Healing Power, https://wotlkdb.com/?spell=22750, 1611.8007, 282.1993, 1894, 671.2
Enchant Weapon - Deathfrost, https://wotlkdb.com/?spell=46578, 1607.44, 92.56, 1700, 1836.6
Enchant Weapon - Major Striking, https://wotlkdb.com/?spell=27967, 1581.5595, 454.1395, 2035.699, 448.3
Enchant Shield - Resistance, https://wotlkdb.com/?spell=27947, 1542.3824, 57.6176, 1600, 2776.9
Enchant Weapon - Spellsurge, https://wotlkdb.com/?spell=28003, 1525.0012, 974.9988, 2500, 256.4
Enchant Bracer - Restore Mana Prime, https://wotlkdb.com/?spell=27913, 1491.9998, 506, 1997.9998, 394.9
Enchant Weapon - Major Healing, https://wotlkdb.com/?spell=34010, 1442.965, 539.9389, 1982.9039, 367.2
Enchant Boots - Fortitude, https://wotlkdb.com/?spell=27950, 1437.4, 49.6, 1487, 2998
Enchant Weapon - Blood Draining, https://wotlkdb.com/?spell=64579, 1416.01, 777.99, 2194, 282
Enchant Shield - Shield Block, https://wotlkdb.com/?spell=27946, 1414.5999, 327.4, 1741.9999, 532.1
Enchant Shield - Intellect, https://wotlkdb.com/?spell=27945, 1408.6044, 258, 1666.6044, 646
Enchant Weapon - Mighty Spirit, https://wotlkdb.com/?spell=23803, 1387.9003, 202.0997, 1590, 786.7
Enchant Boots - Surefooted, https://wotlkdb.com/?spell=27954, 1358.9253, 140.0746, 1498.9999, 1070.1
Enchant Cloak - Lesser Agility, https://wotlkdb.com/?spell=13882, 1271.1, 27.9, 1299, 4655.9
Enchant Cloak - Subtlety, https://wotlkdb.com/?spell=25084, 1141.48, 158.52, 1300, 820.1
Enchant Weapon - Superior Striking, https://wotlkdb.com/?spell=20031, 1135.7003, 138.2997, 1274, 921.2
Enchant Cloak - Superior Arcane Resistance, https://wotlkdb.com/?spell=44596, 1128.435, 71.715, 1200.15, 1673.5
Enchant 2H Weapon - Superior Impact, https://wotlkdb.com/?spell=20030, 1115.8602, 78.1397, 1193.9999, 1528
Enchant Cloak - Superior Nature Resistance, https://wotlkdb.com/?spell=44494, 1101.475, 98.525, 1200, 1218
Enchant Boots - Boar's Speed, https://wotlkdb.com/?spell=34008, 1087.0858, 208.9142, 1296, 620.4
Enchant Weapon - Sunfire, https://wotlkdb.com/?spell=27981, 1049.5209, 1147.979, 2197.4999, 191.4
Enchant Weapon - Soulfrost, https://wotlkdb.com/?spell=27982, 994.321, 1201.679, 2196, 182.7
Enchant Gloves - Superior Agility, https://wotlkdb.com/?spell=25080, 986.0902, 310.9098, 1297, 417.2
Enchant Weapon - Greater Agility, https://wotlkdb.com/?spell=42620, 940.7311, 524.7389, 1465.47, 279.3
Enchant Bracer - Superior Strength, https://wotlkdb.com/?spell=20010, 925.97, 72.03, 998, 1385.5
Enchant Weapon - Unholy Weapon, https://wotlkdb.com/?spell=20033, 917.3803, 75.6197, 993, 1313.1
Enchant Gloves - Healing Power, https://wotlkdb.com/?spell=25079, 888.54, 110.4599, 998.9999, 904.4
Enchant Gloves - Shadow Power, https://wotlkdb.com/?spell=25073, 723.1241, 150.63, 873.7541, 580.1
Enchant 2H Weapon - Savagery, https://wotlkdb.com/?spell=27971, 661.6607, 238.3393, 900, 377.6
Enchant Weapon - Blade Ward, https://wotlkdb.com/?spell=64441, 648.6499, 993.35, 1641.9999, 165.3
Enchant Weapon - Executioner, https://wotlkdb.com/?spell=42974, 643.4601, 856.4989, 1499.959, 175.1
Enchant Boots - Spirit, https://wotlkdb.com/?spell=20024, 606.0858, 60.03, 666.1158, 1109.6
Enchant Weapon - Greater Striking, https://wotlkdb.com/?spell=13943, 594.4616, 88.3395, 682.8011, 772.9
Enchant Cloak - Greater Fire Resistance, https://wotlkdb.com/?spell=25081, 585.13, 214.87, 800, 372.3
Enchant Weapon - Agility, https://wotlkdb.com/?spell=23800, 557.6403, 158.3397, 715.98, 452.2
Enchant Weapon - Mongoose, https://wotlkdb.com/?spell=27984, 548.001, 1001.999, 1550, 154.7
Enchant Cloak - Greater Nature Resistance, https://wotlkdb.com/?spell=25082, 547.18, 207.82, 755, 363.3
Enchant Cloak - Superior Fire Resistance, https://wotlkdb.com/?spell=44556, 522.625, 97.375, 620, 636.7
Enchant Cloak - Superior Defense, https://wotlkdb.com/?spell=20015, 496, 26, 522, 2007.7
Enchant Chest - Stats, https://wotlkdb.com/?spell=13941, 487.028, 65.148, 552.176, 847.6
Enchant Shield - Tough Shield, https://wotlkdb.com/?spell=27944, 425.3898, 59.6, 484.9898, 813.7
Enchant Cloak - Greater Agility, https://wotlkdb.com/?spell=34004, 401.8001, 135.1999, 537, 397.2
Enchant Bracer - Healing Power, https://wotlkdb.com/?spell=23802, 401, 97.5, 498.5, 511.3
Enchant Weapon - Spellpower, https://wotlkdb.com/?spell=22749, 377.7703, 286.2297, 664, 232
Enchant Bracer - Superior Stamina, https://wotlkdb.com/?spell=20011, 370, 30, 400, 1333.3
Enchant Weapon - Potency, https://wotlkdb.com/?spell=27972, 366.6607, 482.3393, 849, 176
Enchant Gloves - Angler, https://wotlkdb.com/?spell=71692, 347.0735, 69.9, 416.9735, 596.5
Enchant Weapon - Lifestealing, https://wotlkdb.com/?spell=20032, 345.2903, 77.4997, 422.79, 545.5
Enchant Chest - Exceptional Health, https://wotlkdb.com/?spell=27957, 343.3419, 56.658, 399.9999, 706
Enchant Boots - Minor Speed, https://wotlkdb.com/?spell=13890, 342.07, 23.93, 366, 1529.5
Enchant Bracer - Superior Spirit, https://wotlkdb.com/?spell=20009, 335.1024, 54.8976, 390, 710.4
Enchant Weapon - Striking, https://wotlkdb.com/?spell=13693, 307.4019, 25.5692, 332.9711, 1302.2
Enchant Bracer - Deflection, https://wotlkdb.com/?spell=13931, 307.3844, 30.0987, 337.4831, 1121.3
Enchant Weapon - Icy Chill, https://wotlkdb.com/?spell=20029, 298.5243, 85.7657, 384.29, 448.1
Enchant Boots - Greater Agility, https://wotlkdb.com/?spell=20023, 294.7, 55.8, 350.5, 628.1
Enchant Staff - Greater Spellpower, https://wotlkdb.com/?spell=62948, 292.925, 1007.075, 1300, 129.1
Enchant 2H Weapon - Massacre, https://wotlkdb.com/?spell=60691, 286.7999, 1040.7, 1327.4999, 127.6
Enchant Chest - Lesser Stats, https://wotlkdb.com/?spell=13700, 283.9425, 19.2095, 303.152, 1578.1
Enchant Shield - Lesser Block, https://wotlkdb.com/?spell=13689, 283.7905, 19.2095, 303, 1577.3
Enchant Weapon - Black Magic, https://wotlkdb.com/?spell=59625, 273.2999, 1026.7, 1299.9999, 126.6
Enchant Cloak - Superior Shadow Resistance, https://wotlkdb.com/?spell=44590, 272.235, 61.265, 333.5, 544.4
Enchant Weapon - Strength, https://wotlkdb.com/?spell=23799, 261.1107, 138.1393, 399.25, 289
Enchant Bracer - Mana Regeneration, https://wotlkdb.com/?spell=23801, 261.107, 139.5998, 400.7068, 287
Enchant Weapon - Exceptional Spirit, https://wotlkdb.com/?spell=44510, 260.0899, 139.4, 399.4899, 286.6
Enchant Weapon - Mighty Spellpower, https://wotlkdb.com/?spell=60714, 256.9999, 994, 1250.9999, 125.9
Enchant Chest - Mana, https://wotlkdb.com/?spell=13607, 255.9854, 15.8706, 271.856, 1713
Enchant Weapon - Lesser Striking, https://wotlkdb.com/?spell=13503, 253.3648, 20.0047, 273.3695, 1366.5
Enchant Shield - Stamina, https://wotlkdb.com/?spell=13817, 245.6215, 14.95, 260.5715, 1743
Enchant Chest - Minor Stats, https://wotlkdb.com/?spell=13626, 241.6089, 14.885, 256.4939, 1723.2
Enchant Weapon - Berserking, https://wotlkdb.com/?spell=59621, 240.4, 1507.6, 1748, 115.9
Enchant Chest - Lesser Absorption, https://wotlkdb.com/?spell=13538, 240.1348, 14.2762, 254.411, 1782.1
Enchant 2H Weapon - Lesser Intellect, https://wotlkdb.com/?spell=7793, 233.017, 38.8147, 271.8317, 700.3
Enchant Bracer - Stats, https://wotlkdb.com/?spell=27905, 222.5999, 177.4, 399.9999, 225.5
Enchant Shield - Lesser Protection, https://wotlkdb.com/?spell=13464, 212.3506, 11.1709, 223.5215, 2000.9
Enchant Bracer - Lesser Deflection, https://wotlkdb.com/?spell=13646, 211.2035, 13.32, 224.5235, 1685.6
Enchant Chest - Minor Absorption, https://wotlkdb.com/?spell=7426, 209.4288, 12.0712, 221.5, 1834.9
Enchant Bracer - Minor Deflection, https://wotlkdb.com/?spell=7428, 207.7874, 12.0156, 219.803, 1829.3
Enchant Gloves - Blasting, https://wotlkdb.com/?spell=33993, 202.3882, 47.8, 250.1882, 523.4
Enchant Bracer - Lesser Stamina, https://wotlkdb.com/?spell=13501, 200.2124, 11.44, 211.6524, 1850.1
Enchant Shield - Spirit, https://wotlkdb.com/?spell=13659, 198.7699, 14.53, 213.2999, 1468
Enchant Chest - Greater Mana, https://wotlkdb.com/?spell=13663, 187.7599, 13.54, 201.2999, 1486.7
Enchant Weapon - Accuracy, https://wotlkdb.com/?spell=59619, 178.2, 1010.8, 1189, 117.6
Enchant Weapon - Lifeward, https://wotlkdb.com/?spell=44576, 177.6213, 101.96, 279.5813, 274.2
Enchant Weapon - Superior Potency, https://wotlkdb.com/?spell=60707, 162.1, 647.9, 810, 125
Enchant Chest - Major Resilience, https://wotlkdb.com/?spell=33992, 159, 291, 450, 154.6
Enchant Bracer - Spellpower, https://wotlkdb.com/?spell=27917, 145.4956, 344.5044, 490, 142.2
Lil' Smoky, https://wotlkdb.com/?spell=15633, 138.6062, 16.1288, 154.735, 959.4
Enchant Weapon - Exceptional Agility, https://wotlkdb.com/?spell=44633, 137.4, 212.6, 350, 164.6
Enchant Gloves - Advanced Mining, https://wotlkdb.com/?spell=13841, 134.9486, 15.0514, 150, 996.6
Enchant Chest - Powerful Stats, https://wotlkdb.com/?spell=60692, 133.9249, 597.075, 730.9999, 122.4
Enchant Gloves - Advanced Herbalism, https://wotlkdb.com/?spell=13868, 133.43, 16.57, 150, 905.3
Enchant Weapon - Crusader, https://wotlkdb.com/?spell=20034, 129.7105, 70.0395, 199.75, 285.2
