Name, Link, Profit, Cost, Sell, ROI %
Enchant Weapon - Major Healing, https://wotlkdb.com/?spell=34010, 2519.3308, 479.0692, 2998.4, 625.9
Enchant Weapon - Soulfrost, https://wotlkdb.com/?spell=27982, 2463.5714, 1535.7884, 3999.3598, 260.4
Enchant Weapon - Greater Agility, https://wotlkdb.com/?spell=42620, 2437.8704, 556.0298, 2993.9002, 538.4
Enchant Weapon - Battlemaster, https://wotlkdb.com/?spell=28004, 2397.0112, 602.8888, 2999.9, 497.6
Enchant Gloves - Major Healing, https://wotlkdb.com/?spell=33999, 2361.0004, 626.9, 2987.9004, 476.6
Enchant Gloves - Major Spellpower, https://wotlkdb.com/?spell=33997, 2266.1504, 721.75, 2987.9004, 414
Enchant Weapon - Major Spellpower, https://wotlkdb.com/?spell=27975, 2171.9506, 809.95, 2981.9006, 368.2
Enchant Weapon - Unholy Weapon, https://wotlkdb.com/?spell=20033, 1957.0634, 40.87, 1997.9334, 4888.5
Enchant Weapon - Spellsurge, https://wotlkdb.com/?spell=28003, 1874.9914, 1112.909, 2987.9004, 268.5
Enchant Weapon - Mighty Spirit, https://wotlkdb.com/?spell=23803, 1837.78, 149.65, 1987.43, 1328.1
Enchant Gloves - Precise Strikes, https://wotlkdb.com/?spell=33994, 1837.3597, 662.05, 2499.4097, 377.5
Enchant Cloak - Subtlety, https://wotlkdb.com/?spell=25084, 1821.6802, 176.2532, 1997.9334, 1133.6
Enchant 2H Weapon - Savagery, https://wotlkdb.com/?spell=27971, 1809.5382, 189.95, 1999.4882, 1052.6
Enchant Boots - Surefooted, https://wotlkdb.com/?spell=27954, 1799.38, 188.05, 1987.43, 1056.9
Enchant Gloves - Threat, https://wotlkdb.com/?spell=25072, 1796.4002, 201.5332, 1997.9334, 991.4
Enchant Boots - Boar's Speed, https://wotlkdb.com/?spell=34008, 1754.1, 233.33, 1987.43, 851.8
Enchant Cloak - Steelweave, https://wotlkdb.com/?spell=47051, 1753.9772, 633.33, 2387.3072, 376.9
Enchant Cloak - Stealth, https://wotlkdb.com/?spell=25083, 1734.0966, 244.3333, 1978.4299, 809.7
Enchant Cloak - Dodge, https://wotlkdb.com/?spell=25086, 1719.1501, 268.2799, 1987.43, 740.8
Enchant Bracer - Superior Healing, https://wotlkdb.com/?spell=27911, 1678.3334, 319.6, 1997.9334, 625.1
Enchant Chest - Defense, https://wotlkdb.com/?spell=46594, 1666.28, 333.17, 1999.45, 600.1
Enchant Chest - Major Resilience, https://wotlkdb.com/?spell=33992, 1648.9341, 325, 1973.9341, 607.4
Enchant Weapon - Major Striking, https://wotlkdb.com/?spell=27967, 1475.9832, 521.95, 1997.9332, 382.8
Enchant Cloak - Greater Resistance, https://wotlkdb.com/?spell=20014, 1408.5104, 16.442, 1424.9524, 8666.5
Enchant Weapon - Healing Power, https://wotlkdb.com/?spell=22750, 1378.1983, 169.75, 1547.9483, 911.9
Enchant 2H Weapon - Major Agility, https://wotlkdb.com/?spell=27977, 1287.0908, 712.909, 1999.9998, 280.5
Enchant Bracer - Fortitude, https://wotlkdb.com/?spell=27914, 1167.43, 820, 1987.43, 242.4
Enchant Bracer - Spellpower, https://wotlkdb.com/?spell=27917, 1009.6588, 343.6894, 1353.3482, 393.8
Enchant Bracer - Intellect, https://wotlkdb.com/?spell=13822, 972.36, 22.1, 994.46, 4499.8
Enchant Bracer - Superior Spirit, https://wotlkdb.com/?spell=20009, 962.3, 35.16, 997.46, 2836.9
Enchant Bracer - Superior Strength, https://wotlkdb.com/?spell=20010, 931.46, 57, 988.46, 1734.1
Enchant Chest - Stats, https://wotlkdb.com/?spell=13941, 924.3601, 75.1199, 999.48, 1330.5
Enchant Bracer - Mana Regeneration, https://wotlkdb.com/?spell=23801, 916.46, 81, 997.46, 1231.4
Enchant Shield - Resistance, https://wotlkdb.com/?spell=27947, 868.6796, 62.7803, 931.4599, 1483.7
Enchant Gloves - Fire Power, https://wotlkdb.com/?spell=25078, 823.0833, 76.8666, 899.9499, 1170.8
Enchant Boots - Cat's Swiftness, https://wotlkdb.com/?spell=34007, 805.0808, 528.3692, 1333.45, 252.4
Enchant Cloak - Spell Penetration, https://wotlkdb.com/?spell=34003, 795.0999, 204.9, 999.9999, 488
Enchant Bracer - Deflection, https://wotlkdb.com/?spell=13931, 764.904, 35.08, 799.984, 2280.5
Enchant 2H Weapon - Major Intellect, https://wotlkdb.com/?spell=20036, 742.6199, 101.85, 844.4699, 829.1
Enchant Weapon - Blood Draining, https://wotlkdb.com/?spell=64579, 735.3243, 598.009, 1333.3333, 223
Enchant Boots - Dexterity, https://wotlkdb.com/?spell=27951, 734.55, 621, 1355.55, 218.3
Enchant Gloves - Shadow Power, https://wotlkdb.com/?spell=25073, 703.7936, 88.1799, 791.9735, 898.1
Enchant Shield - Intellect, https://wotlkdb.com/?spell=27945, 692.46, 305, 997.46, 327
Enchant Cloak - Lesser Agility, https://wotlkdb.com/?spell=13882, 644.4, 22.1, 666.5, 3015.8
Enchant Weapon - Spellpower, https://wotlkdb.com/?spell=22749, 644.1498, 242.25, 886.3998, 365.9
Enchant 2H Weapon - Agility, https://wotlkdb.com/?spell=27837, 618.09, 133.91, 752, 561.6
Enchant Gloves - Superior Agility, https://wotlkdb.com/?spell=25080, 587.3702, 323.0797, 910.4499, 281.8
Enchant Chest - Exceptional Stats, https://wotlkdb.com/?spell=27960, 587, 413, 1000, 242.1
Enchant Weapon - Giant Slayer, https://wotlkdb.com/?spell=44621, 553.5778, 137.919, 691.4968, 501.4
Enchant Cloak - Superior Frost Resistance, https://wotlkdb.com/?spell=44483, 540.5301, 126.4449, 666.975, 527.5
Enchant Weapon - Icebreaker, https://wotlkdb.com/?spell=44524, 538.9679, 398.9086, 937.8765, 235.1
Enchant Shield - Shield Block, https://wotlkdb.com/?spell=27946, 486.87, 360.6, 847.47, 235
Enchant Chest - Restore Mana Prime, https://wotlkdb.com/?spell=33991, 480.57, 66.91, 547.48, 818.2
Enchant Weapon - Potency, https://wotlkdb.com/?spell=27972, 474.55, 524.95, 999.5, 190.4
Enchant Gloves - Strength, https://wotlkdb.com/?spell=13887, 472.9051, 25.07, 497.9751, 1986.3
Enchant Cloak - Superior Nature Resistance, https://wotlkdb.com/?spell=44494, 471.595, 77.255, 548.85, 710.4
Enchant Cloak - Superior Fire Resistance, https://wotlkdb.com/?spell=44556, 469.255, 55.97, 525.225, 938.4
Enchant Chest - Greater Stats, https://wotlkdb.com/?spell=20025, 466.1, 28.9, 495, 1712.8
Enchant Weapon - Mighty Intellect, https://wotlkdb.com/?spell=23804, 465.3398, 185.65, 650.9898, 350.7
