Name, Link, Profit, Cost, Sell, ROI %
Force Reactive Disk, https://wotlkdb.com/?spell=22797, 24295.0608, 1704.9392, 26000, 1525
Gnomish Mind Control Cap, https://wotlkdb.com/?spell=12907, 4911.4503, 89.5497, 5001, 5584.6
Goblin Rocket Boots, https://wotlkdb.com/?spell=8895, 4864.14, 134.86, 4999, 3706.8
Hyper-Vision Goggles, https://wotlkdb.com/?spell=30325, 4545.8746, 454.1254, 5000, 1101
Core Marksman Rifle, https://wotlkdb.com/?spell=22795, 2555.22, 1344.78, 3900, 290
Ultrasafe Transporter - Gadgetzan, https://wotlkdb.com/?spell=23489, 1988.135, 344.99, 2333.125, 676.3
Goblin Rocket Launcher, https://wotlkdb.com/?spell=30563, 1855.8873, 1581.01, 3436.8973, 217.4
Dark Iron Rifle, https://wotlkdb.com/?spell=19796, 1660.44, 339.56, 2000, 589
Rocket Boots Xtreme Lite, https://wotlkdb.com/?spell=46697, 1582.328, 1420.672, 3003, 211.4
Rocket Boots Xtreme, https://wotlkdb.com/?spell=30556, 1382.0288, 1617.9712, 3000, 185.4
Armor Plated Combat Shotgun, https://wotlkdb.com/?spell=56479, 1168.5, 1275.5, 2444, 191.6
Nesingwary 4000, https://wotlkdb.com/?spell=60874, 1137.56, 1862.44, 3000, 161.1
Turbo-Charged Flying Machine, https://wotlkdb.com/?spell=44157, 1111.2, 5183.8, 6295, 121.4
Dimensional Ripper - Area 52, https://wotlkdb.com/?spell=36954, 1059.6401, 938.3598, 1997.9999, 212.9
Gnomish Cloaking Device, https://wotlkdb.com/?spell=3971, 931.743, 18.257, 950, 5203.5
Bloodvine Lens, https://wotlkdb.com/?spell=24357, 808.9958, 91.0042, 900, 989
Bloodvine Goggles, https://wotlkdb.com/?spell=24356, 690.8752, 209.1248, 900, 430.4
Gnomish X-Ray Specs, https://wotlkdb.com/?spell=56473, 640.5, 359.5, 1000, 278.2
Titanium Toolbox, https://wotlkdb.com/?spell=30349, 622.8, 477.2, 1100, 230.5
Dimensional Ripper - Everlook, https://wotlkdb.com/?spell=23486, 473.2021, 326.7979, 800, 244.8
Zapthrottle Mote Extractor, https://wotlkdb.com/?spell=30548, 470.25, 471.75, 942, 199.7
Delicate Arcanite Converter, https://wotlkdb.com/?spell=19815, 309.1001, 90.6499, 399.75, 441
Snowmaster 9000, https://wotlkdb.com/?spell=21940, 281.0133, 52.32, 333.3333, 637.1
Stabilized Eternium Scope, https://wotlkdb.com/?spell=30334, 276.6402, 223.3598, 500, 223.9
Field Repair Bot 74A, https://wotlkdb.com/?spell=22704, 265.71, 56.03, 321.74, 574.2
Small Red Rocket, https://wotlkdb.com/?spell=26418, 265.3057, 1.0276, 266.3333, 25918
Goblin Jumper Cables XL, https://wotlkdb.com/?spell=23078, 260.5102, 239.4898, 500, 208.8
Mekgineer's Chopper, https://wotlkdb.com/?spell=60867, 250.7202, 16749.4998, 17000.22, 101.5
Mechano-hog, https://wotlkdb.com/?spell=60866, 250.5002, 16749.4998, 17000, 101.5
Steam Tonk Controller, https://wotlkdb.com/?spell=28327, 237.8255, 12.1745, 250, 2053.5
Green Lens, https://wotlkdb.com/?spell=12622, 207.5999, 42.4, 249.9999, 589.6
Tranquil Mechanical Yeti, https://wotlkdb.com/?spell=26011, 193.3955, 200.5945, 393.99, 196.4
Lifelike Mechanical Toad, https://wotlkdb.com/?spell=19793, 176.4255, 14.4645, 190.89, 1319.7
Khorium Power Core, https://wotlkdb.com/?spell=30308, 164.295, 435.705, 600, 137.7
Cogspinner Goggles, https://wotlkdb.com/?spell=30316, 156.3544, 143.6456, 300, 208.8
Pet Bombling, https://wotlkdb.com/?spell=15628, 145.9316, 46.8084, 192.74, 411.8
Advanced Target Dummy, https://wotlkdb.com/?spell=3965, 122.88, 17.12, 140, 817.8
The Bigger One, https://wotlkdb.com/?spell=30558, 104.5242, 46.4757, 150.9999, 324.9
Minor Recombobulator, https://wotlkdb.com/?spell=3952, 102.4909, 7.509, 109.9999, 1464.9
Flame Deflector, https://wotlkdb.com/?spell=3944, 94.7355, 5.2645, 100, 1899.5
Goblin Jumper Cables, https://wotlkdb.com/?spell=9273, 92.7618, 12.2382, 105, 858
Deadly Scope, https://wotlkdb.com/?spell=12597, 90.46, 9.54, 100, 1048.2
Discombobulator Ray, https://wotlkdb.com/?spell=3959, 89.0967, 8.9033, 98, 1100.7
Elemental Seaforium Charge, https://wotlkdb.com/?spell=30547, 82.9664, 17.0336, 100, 587.1
High-powered Flashlight, https://wotlkdb.com/?spell=63750, 78.9772, 22.0228, 101, 458.6
Inlaid Mithril Cylinder, https://wotlkdb.com/?spell=11454, 74.7437, 21.0063, 95.75, 455.8
Accurate Scope, https://wotlkdb.com/?spell=3979, 68.889, 6.111, 75, 1227.3
Bright-Eye Goggles, https://wotlkdb.com/?spell=12587, 63.858, 11.142, 75, 673.1
Truesilver Transformer, https://wotlkdb.com/?spell=23071, 62.6624, 26.3376, 89, 337.9
Goblin Rocket Fuel Recipe, https://wotlkdb.com/?spell=12715, 55.1875, 0.2125, 55.4, 26070.6
Large Green Rocket, https://wotlkdb.com/?spell=26421, 52.32, 3.18, 55.5, 1745.3
Felsteel Boomstick, https://wotlkdb.com/?spell=30314, 51.3, 148.7, 200, 134.5
The Big One, https://wotlkdb.com/?spell=12754, 51.2499, 99.75, 150.9999, 151.4
Mechanical Squirrel Box, https://wotlkdb.com/?spell=3928, 50.1989, 2.7911, 52.99, 1898.5
Shadow Goggles, https://wotlkdb.com/?spell=3940, 49.02, 5.98, 55, 919.7
Flash Bomb, https://wotlkdb.com/?spell=8243, 48.2618, 1.7382, 50, 2876.5
Goblin Land Mine, https://wotlkdb.com/?spell=3968, 47.78, 7.27, 55.05, 757.2
Large Seaforium Charge, https://wotlkdb.com/?spell=3972, 47.4875, 4.9625, 52.45, 1056.9
Large Red Rocket, https://wotlkdb.com/?spell=26422, 40.22, 3.18, 43.4, 1364.8
Explosive Sheep, https://wotlkdb.com/?spell=3955, 38.9155, 11.0845, 50, 451.1
Fel Iron Toolbox, https://wotlkdb.com/?spell=30348, 38.1915, 42, 80.1915, 190.9
Goblin Rocket Fuel, https://wotlkdb.com/?spell=11456, 36.151, 8.849, 45, 508.5
Flying Machine, https://wotlkdb.com/?spell=44155, 36.064, 153.936, 190, 123.4
Goblin Sapper Charge, https://wotlkdb.com/?spell=12760, 30.9, 4.1, 35, 853.7
Inlaid Mithril Cylinder Plans, https://wotlkdb.com/?spell=12895, 29.7875, 0.2125, 30, 14117.6
Red Smoke Flare, https://wotlkdb.com/?spell=30342, 20.3508, 0.7018, 21.0526, 2999.8
Blue Smoke Flare, https://wotlkdb.com/?spell=30343, 15.2981, 0.7018, 15.9999, 2279.8
Big Iron Bomb, https://wotlkdb.com/?spell=3967, 11.6448, 6.9491, 18.5939, 267.6
Froststeel Tube, https://wotlkdb.com/?spell=56471, 8.2267, 18.44, 26.6667, 144.6
Thorium Setting, https://wotlkdb.com/?spell=26880, 7.95, 3, 10.95, 365
Solid Dynamite, https://wotlkdb.com/?spell=12586, 6.4651, 1.0349, 7.5, 724.7
EZ-Thro Dynamite, https://wotlkdb.com/?spell=8339, 6.0646, 0.1854, 6.25, 3371.1
Overcharged Capacitor, https://wotlkdb.com/?spell=56464, 5.16, 9.28, 14.44, 155.6
Mithril Heavy-bore Rifle, https://wotlkdb.com/?spell=12614, 4.588, 35.412, 40, 113
Flying Tiger Goggles, https://wotlkdb.com/?spell=3934, 3.838, 2.112, 5.95, 281.7
Bronze Framework, https://wotlkdb.com/?spell=3953, 3.175, 3.075, 6.25, 203.3
Moonsight Rifle, https://wotlkdb.com/?spell=3954, 2.9065, 7.0935, 10, 141
Iron Strut, https://wotlkdb.com/?spell=3958, 2.78, 1.2, 3.98, 331.7
Handful of Fel Iron Bolts, https://wotlkdb.com/?spell=30305, 2, 4, 6, 150
Heavy Dynamite, https://wotlkdb.com/?spell=3946, 1.525, 3.475, 5, 143.9
Rough Boomstick, https://wotlkdb.com/?spell=3925, 1.3279, 0.1521, 1.48, 973
Purple Smoke Flare, https://wotlkdb.com/?spell=32814, 0.9132, 0.9468, 1.86, 196.5
Heavy Blasting Powder, https://wotlkdb.com/?spell=3945, 0.84, 0.86, 1.7, 197.7
Solid Blasting Powder, https://wotlkdb.com/?spell=12585, 0.7142, 0.2858, 1, 349.9
Green Smoke Flare, https://wotlkdb.com/?spell=30344, 0.5931, 0.7068, 1.2999, 183.9
Deadly Blunderbuss, https://wotlkdb.com/?spell=3936, 0.4936, 2.5064, 3, 119.7
Snowmaster 9000, https://wotlkdb.com/?spell=21935, 0.3575, 0.0025, 0.36, 14400
Dense Blasting Powder, https://wotlkdb.com/?spell=19788, 0.29, 0.15, 0.44, 293.3
Silver-plated Shotgun, https://wotlkdb.com/?spell=3949, 0.2709, 9.7291, 10, 102.8
Gyrochronatom, https://wotlkdb.com/?spell=3961, 0.1955, 0.7745, 0.97, 125.2
Green Rocket Cluster, https://wotlkdb.com/?spell=26424, 0.19, 1.79, 1.98, 110.6
White Smoke Flare, https://wotlkdb.com/?spell=30341, 0.1478, 0.6968, 0.8446, 121.2
Rough Dynamite, https://wotlkdb.com/?spell=3919, 0.0479, 0.0151, 0.063, 417.2
Coarse Dynamite, https://wotlkdb.com/?spell=3931, 0.0466, 0.0939, 0.1405, 149.6
Coarse Blasting Powder, https://wotlkdb.com/?spell=3929, 0.0229, 0.0047, 0.0276, 587.2
Rough Blasting Powder, https://wotlkdb.com/?spell=3918, -0.0027, 0.0047, 0.002, 42.6
Crude Scope, https://wotlkdb.com/?spell=3977, -0.1321, 0.9221, 0.79, 85.7
Gold Power Core, https://wotlkdb.com/?spell=12584, -0.138, 0.3125, 0.1745, 55.8
Practice Lock, https://wotlkdb.com/?spell=8334, -0.1722, 1.2322, 1.06, 86
Global Thermal Sapper Charge, https://wotlkdb.com/?spell=56514, -0.18, 9.43, 9.25, 98.1
Small Seaforium Charge, https://wotlkdb.com/?spell=3933, -0.2447, 0.2597, 0.015, 5.8
Elemental Blasting Powder, https://wotlkdb.com/?spell=30303, -0.7859, 1.3027, 0.5168, 39.7
Whirring Bronze Gizmo, https://wotlkdb.com/?spell=3942, -0.7905, 2.075, 1.2845, 61.9
Shatter Rounds, https://wotlkdb.com/?spell=72952, -0.7948, 0.8, 0.0052, 0.7
Dense Dynamite, https://wotlkdb.com/?spell=23070, -0.8294, 1.0294, 0.2, 19.4
Handful of Copper Bolts, https://wotlkdb.com/?spell=3922, -0.8889, 1, 0.1111, 11.1
EZ-Thro Dynamite II, https://wotlkdb.com/?spell=23069, -0.9067, 1.3, 0.3933, 30.3
Crafted Light Shot, https://wotlkdb.com/?spell=3920, -1.001, 1.002, 0.001, 0.1
Crafted Heavy Shot, https://wotlkdb.com/?spell=3930, -1.0266, 1.0276, 0.001, 0.1
Small Blue Rocket, https://wotlkdb.com/?spell=26416, -1.027, 1.0276, 0.0006, 0.1
Small Green Rocket, https://wotlkdb.com/?spell=26417, -1.027, 1.0276, 0.0006, 0.1
Bronze Tube, https://wotlkdb.com/?spell=3938, -1.03, 2.01, 0.98, 48.8
Rough Copper Bomb, https://wotlkdb.com/?spell=3923, -1.0552, 1.1262, 0.071, 6.3
Snake Burst Firework, https://wotlkdb.com/?spell=23507, -1.1216, 1.1466, 0.025, 2.2
Copper Modulator, https://wotlkdb.com/?spell=3926, -1.1444, 1.2444, 0.1, 8
Iron Grenade, https://wotlkdb.com/?spell=3962, -1.2549, 2.3349, 1.08, 46.3
Target Dummy, https://wotlkdb.com/?spell=3932, -1.3747, 1.3972, 0.0225, 1.6
