Name, Link, Profit, Cost, Sell, ROI %
Critter Enlarger, https://wotlkdb.com/?spell=30549, 20980, 20, 21000, 105000
Core Marksman Rifle, https://wotlkdb.com/?spell=22795, 8976.8007, 1023.1992, 9999.9999, 977.3
Gyro-balanced Khorium Destroyer, https://wotlkdb.com/?spell=41307, 6143.12, 3855.88, 9999, 259.3
Nesingwary 4000, https://wotlkdb.com/?spell=60874, 5784.35, 2215.65, 8000, 361.1
Force Reactive Disk, https://wotlkdb.com/?spell=22797, 5155.8404, 1344.1596, 6500, 483.6
Mekgineer's Chopper, https://wotlkdb.com/?spell=60867, 2925.004, 16961.996, 19887, 117.2
Goblin Rocket Launcher, https://wotlkdb.com/?spell=30563, 2803.7005, 1196.2995, 4000, 334.4
Ultrasafe Transporter - Toshley's Station, https://wotlkdb.com/?spell=36955, 1852.0501, 747.9499, 2600, 347.6
Dimensional Ripper - Everlook, https://wotlkdb.com/?spell=23486, 1560.0099, 439.99, 1999.9999, 454.6
Dimensional Ripper - Area 52, https://wotlkdb.com/?spell=36954, 1061.7502, 1138.2497, 2199.9999, 193.3
Ultrasafe Transporter - Gadgetzan, https://wotlkdb.com/?spell=23489, 972.8402, 427.1598, 1400, 327.7
Turbo-Charged Flying Machine, https://wotlkdb.com/?spell=44157, 885.2008, 5114.7992, 6000, 117.3
Gnomish Universal Remote, https://wotlkdb.com/?spell=9269, 766.327, 11.413, 777.74, 6814.5
Bloodvine Lens, https://wotlkdb.com/?spell=24357, 714.1806, 84.8194, 799, 942
Cogspinner Goggles, https://wotlkdb.com/?spell=30316, 604.56, 190.44, 795, 417.5
Field Repair Bot 74A, https://wotlkdb.com/?spell=22704, 523.98, 88.02, 612, 695.3
Minor Recombobulator, https://wotlkdb.com/?spell=3952, 489.7699, 10.23, 499.9999, 4887.6
Deepdive Helmet, https://wotlkdb.com/?spell=12617, 397.21, 42.79, 440, 1028.3
Voice Amplification Modulator, https://wotlkdb.com/?spell=19819, 379.2005, 465.7995, 845, 181.4
Mechanical Dragonling, https://wotlkdb.com/?spell=3969, 365.2982, 10.3334, 375.6316, 3635.1
Bloodvine Goggles, https://wotlkdb.com/?spell=24356, 351.1204, 198.8796, 550, 276.5
Pet Bombling, https://wotlkdb.com/?spell=15628, 235.05, 38.95, 274, 703.5
Arcane Bomb, https://wotlkdb.com/?spell=19831, 211.4396, 233.0603, 444.4999, 190.7
Goblin Rocket Boots, https://wotlkdb.com/?spell=8895, 205.46, 94.54, 300, 317.3
The Bigger One, https://wotlkdb.com/?spell=30558, 197.2518, 54.7481, 251.9999, 460.3
Craftsman's Monocle, https://wotlkdb.com/?spell=3966, 189.7, 5.3, 195, 3679.2
Zapthrottle Mote Extractor, https://wotlkdb.com/?spell=30548, 186.7602, 267.2398, 454, 169.9
Steam Tonk Controller, https://wotlkdb.com/?spell=28327, 149.5598, 6.19, 155.7498, 2516.2
Mechanical Squirrel Box, https://wotlkdb.com/?spell=3928, 149.0645, 7.8155, 156.88, 2007.3
The Big One, https://wotlkdb.com/?spell=12754, 134.5, 115.5, 250, 216.5
Accurate Scope, https://wotlkdb.com/?spell=3979, 131.645, 8.98, 140.625, 1566
Delicate Arcanite Converter, https://wotlkdb.com/?spell=19815, 122.8998, 98.1, 220.9998, 225.3
High-powered Flashlight, https://wotlkdb.com/?spell=63750, 121.9354, 12.0646, 134, 1110.7
Truesilver Transformer, https://wotlkdb.com/?spell=23071, 120.69, 15.06, 135.75, 901.4
Khorium Power Core, https://wotlkdb.com/?spell=30308, 118.2499, 480.75, 598.9999, 124.6
Inlaid Mithril Cylinder Plans, https://wotlkdb.com/?spell=12895, 116.7875, 0.2125, 117, 55058.8
Elemental Seaforium Charge, https://wotlkdb.com/?spell=30547, 99.891, 20.109, 120, 596.7
Adamantite Shell Machine, https://wotlkdb.com/?spell=30347, 98.502, 2.4042, 100.9062, 4197.1
Lifelike Mechanical Toad, https://wotlkdb.com/?spell=19793, 90.9004, 9.0996, 100, 1098.9
Advanced Target Dummy, https://wotlkdb.com/?spell=3965, 89.7343, 10.3667, 100.101, 965.6
Inlaid Mithril Cylinder, https://wotlkdb.com/?spell=11454, 88.77, 11.13, 99.9, 897.6
Green Lens, https://wotlkdb.com/?spell=12622, 84.79, 35.21, 120, 340.8
