Name, Link, Profit, Cost, Sell, ROI %
Silk Bandage, https://wotlkdb.com/?spell=7928, 0.0907, 0.0193, 0.11, 569.9
Heavy Mageweave Bandage, https://wotlkdb.com/?spell=10841, 0.0853, 0.15, 0.2353, 156.9
Heavy Runecloth Bandage, https://wotlkdb.com/?spell=18630, 0.0812, 0.1588, 0.24, 151.1
Heavy Linen Bandage, https://wotlkdb.com/?spell=3276, 0.0371, 0.0028, 0.0399, 1425
Mageweave Bandage, https://wotlkdb.com/?spell=10840, 0.025, 0.075, 0.1, 133.3
Linen Bandage, https://wotlkdb.com/?spell=3275, 0.0033, 0.0014, 0.0047, 335.7
Heavy Silk Bandage, https://wotlkdb.com/?spell=7929, 0.0014, 0.0386, 0.04, 103.6
Runecloth Bandage, https://wotlkdb.com/?spell=18629, -0.0159, 0.0794, 0.0635, 80
Wool Bandage, https://wotlkdb.com/?spell=3277, -0.0585, 0.07, 0.0115, 16.4
Netherweave Bandage, https://wotlkdb.com/?spell=27032, -0.1121, 0.2633, 0.1512, 57.4
Heavy Wool Bandage, https://wotlkdb.com/?spell=3278, -0.1174, 0.14, 0.0226, 16.1
Frostweave Bandage, https://wotlkdb.com/?spell=45545, -0.2, 0.45, 0.25, 55.6
Heavy Netherweave Bandage, https://wotlkdb.com/?spell=27033, -0.2266, 0.5266, 0.3, 57
Anti-Venom, https://wotlkdb.com/?spell=7934, -0.3689, 0.79, 0.4211, 53.3
Strong Anti-Venom, https://wotlkdb.com/?spell=7935, -0.5102, 0.8602, 0.35, 40.7
Heavy Frostweave Bandage, https://wotlkdb.com/?spell=45546, -0.63, 0.9, 0.27, 30
