Name, Link, Profit, Cost, Sell, ROI %
Strong Anti-Venom, https://wotlkdb.com/?spell=7935, 9.9695, 0.0305, 10, 32786.9
Anti-Venom, https://wotlkdb.com/?spell=7934, 0.405, 0.395, 0.8, 202.5
Heavy Frostweave Bandage, https://wotlkdb.com/?spell=45546, 0.39, 0.4, 0.79, 197.5
Frostweave Bandage, https://wotlkdb.com/?spell=45545, 0.195, 0.2, 0.395, 197.5
Heavy Netherweave Bandage, https://wotlkdb.com/?spell=27033, 0.1666, 0.1334, 0.3, 224.9
Netherweave Bandage, https://wotlkdb.com/?spell=27032, 0.1333, 0.0667, 0.2, 299.9
Heavy Runecloth Bandage, https://wotlkdb.com/?spell=18630, 0.119, 0.121, 0.24, 198.3
Heavy Mageweave Bandage, https://wotlkdb.com/?spell=10841, 0.042, 0.076, 0.118, 155.3
Mageweave Bandage, https://wotlkdb.com/?spell=10840, 0.0415, 0.038, 0.0795, 209.2
Runecloth Bandage, https://wotlkdb.com/?spell=18629, 0.039, 0.0605, 0.0995, 164.5
Heavy Silk Bandage, https://wotlkdb.com/?spell=7929, 0.0265, 0.05, 0.0765, 153
Heavy Wool Bandage, https://wotlkdb.com/?spell=3278, 0.0253, 0.0196, 0.0449, 229.1
Silk Bandage, https://wotlkdb.com/?spell=7928, 0.0049, 0.025, 0.0299, 119.6
Heavy Linen Bandage, https://wotlkdb.com/?spell=3276, 0.0021, 0.0034, 0.0055, 161.8
Linen Bandage, https://wotlkdb.com/?spell=3275, -0.0009, 0.0017, 0.0008, 47.1
Wool Bandage, https://wotlkdb.com/?spell=3277, -0.0072, 0.0098, 0.0026, 26.5
