Name, Link, Profit, Cost, Sell, ROI %
Rituals of the New Moon, https://wotlkdb.com/?spell=64051, 458.74, 141.25, 599.99, 424.8
Glyph of Trueshot Aura, https://wotlkdb.com/?spell=57012, 164.5979, 15.15, 179.7479, 1186.5
Glyph of Mocking Blow, https://wotlkdb.com/?spell=58345, 162.8877, 10.0015, 172.8892, 1728.6
Glyph of Fading, https://wotlkdb.com/?spell=58317, 142.8172, 16.9014, 159.7186, 945
Glyph of Distract, https://wotlkdb.com/?spell=58324, 140.5458, 10.0125, 150.5583, 1503.7
Faces of Doom, https://wotlkdb.com/?spell=59498, 129.7005, 170.2995, 300, 176.2
Glyph of Hurricane, https://wotlkdb.com/?spell=56946, 116.0895, 15.15, 131.2395, 866.3
Hellfire Tome, https://wotlkdb.com/?spell=59495, 110.52, 29.48, 140, 474.9
Glyph of the Penguin, https://wotlkdb.com/?spell=58310, 109.214, 16.9014, 126.1154, 746.2
Iron-bound Tome, https://wotlkdb.com/?spell=59497, 79.4505, 170.2995, 249.75, 146.7
Book of Stars, https://wotlkdb.com/?spell=59490, 54.25, 10.75, 65, 604.7
Glyph of Frostbolt, https://wotlkdb.com/?spell=56977, 50.724, 15.15, 65.874, 434.8
Glyph of Innervate, https://wotlkdb.com/?spell=56947, 41.0396, 15.15, 56.1896, 370.9
Glyph of Spell Reflection, https://wotlkdb.com/?spell=64302, 39.4794, 7.5, 46.9794, 626.4
Glyph of Souls, https://wotlkdb.com/?spell=58341, 35.9327, 15.15, 51.0827, 337.2
Glyph of Explosive Shot, https://wotlkdb.com/?spell=64273, 33.1338, 7.5, 40.6338, 541.8
Glyph of Enslave Demon, https://wotlkdb.com/?spell=58339, 28.8647, 5.125, 33.9897, 663.2
Glyph of Lifebloom, https://wotlkdb.com/?spell=56949, 26.6086, 15.15, 41.7586, 275.6
Glyph of Typhoon, https://wotlkdb.com/?spell=56965, 26.1897, 15.15, 41.3397, 272.9
Glyph of Shocking, https://wotlkdb.com/?spell=57235, 25.7284, 15.15, 40.8784, 269.8
Glyph of Frenzied Regeneration, https://wotlkdb.com/?spell=56943, 25.2796, 7.5, 32.7796, 437.1
Fire Eater's Guide, https://wotlkdb.com/?spell=59489, 24.25, 10.75, 35, 325.6
Glyph of Blast Wave, https://wotlkdb.com/?spell=56990, 23.85, 15.15, 39, 257.4
Book of Clever Tricks, https://wotlkdb.com/?spell=59496, 20.52, 29.48, 50, 169.6
Glyph of Felhunter, https://wotlkdb.com/?spell=57264, 19.8397, 15.15, 34.9897, 231
Glyph of Holy Wrath, https://wotlkdb.com/?spell=59559, 19.8396, 15.15, 34.9896, 231
Glyph of Flametongue Weapon, https://wotlkdb.com/?spell=57240, 19.7771, 10.0125, 29.7896, 297.5
Glyph of Barkskin, https://wotlkdb.com/?spell=64256, 19.5839, 4.125, 23.7089, 574.8
Glyph of Demonic Circle, https://wotlkdb.com/?spell=64317, 19.4396, 15.15, 34.5896, 228.3
Glyph of Chains of Ice, https://wotlkdb.com/?spell=57211, 19.25, 15.15, 34.4, 227.1
Glyph of Thunder, https://wotlkdb.com/?spell=64287, 18.3, 7.5, 25.8, 344
Glyph of the Wise, https://wotlkdb.com/?spell=58316, 18.1952, 5.125, 23.3202, 455
Glyph of Safe Fall, https://wotlkdb.com/?spell=58327, 17.8795, 4.0125, 21.892, 545.6
Glyph of Water Walking, https://wotlkdb.com/?spell=58333, 17.6725, 5.125, 22.7975, 444.8
Glyph of Holy Nova, https://wotlkdb.com/?spell=57187, 17.4897, 7.5, 24.9897, 333.2
Glyph of Challenging Roar, https://wotlkdb.com/?spell=58287, 16.8636, 5.125, 21.9886, 429
Glyph of Explosive Trap, https://wotlkdb.com/?spell=64253, 16.8439, 5.125, 21.9689, 428.7
Glyph of Feign Death, https://wotlkdb.com/?spell=58302, 16.7747, 5.125, 21.8997, 427.3
Glyph of Chain Lightning, https://wotlkdb.com/?spell=57233, 16.75, 15.15, 31.9, 210.6
Glyph of the Pack, https://wotlkdb.com/?spell=58297, 16.654, 4.0125, 20.6665, 515.1
Glyph of Levitate, https://wotlkdb.com/?spell=58319, 16.6434, 5.125, 21.7684, 424.7
Glyph of Renewed Life, https://wotlkdb.com/?spell=58330, 16.6117, 5.125, 21.7367, 424.1
Glyph of Death's Embrace, https://wotlkdb.com/?spell=57215, 16.5541, 7.125, 23.6791, 332.3
Glyph of Bestial Wrath, https://wotlkdb.com/?spell=56999, 16.4601, 15.15, 31.6101, 208.6
Glyph of Lightwell, https://wotlkdb.com/?spell=57189, 16.45, 15.15, 31.6, 208.6
Glyph of Killing Spree, https://wotlkdb.com/?spell=64285, 16.4353, 7.5, 23.9353, 319.1
Glyph of Holy Shock, https://wotlkdb.com/?spell=64254, 16.3708, 4.0125, 20.3833, 508
Glyph of Shadow Dance, https://wotlkdb.com/?spell=64286, 16.3237, 7.5, 23.8237, 317.6
Glyph of Heart Strike, https://wotlkdb.com/?spell=57208, 16.2615, 15.15, 31.4115, 207.3
Glyph of Penance, https://wotlkdb.com/?spell=64282, 16.2187, 7.5, 23.7187, 316.2
Glyph of Chimera Shot, https://wotlkdb.com/?spell=64271, 16.1296, 7.5, 23.6296, 315.1
Glyph of Righteous Defense, https://wotlkdb.com/?spell=57032, 16.013, 5.125, 21.138, 412.4
Glyph of Hammer of the Righteous, https://wotlkdb.com/?spell=64278, 15.9373, 7.5, 23.4373, 312.5
Glyph of Vigilance, https://wotlkdb.com/?spell=64255, 15.8875, 4.0125, 19.9, 496
Glyph of Rip, https://wotlkdb.com/?spell=56956, 15.876, 4.0125, 19.8885, 495.7
Glyph of Sinister Strike, https://wotlkdb.com/?spell=57131, 15.875, 4.125, 20, 484.8
Glyph of Cleaving, https://wotlkdb.com/?spell=57154, 15.8746, 4.125, 19.9996, 484.8
Glyph of Dash, https://wotlkdb.com/?spell=59315, 15.8437, 5.125, 20.9687, 409.1
Glyph of Mirror Image, https://wotlkdb.com/?spell=64314, 15.7841, 15.15, 30.9341, 204.2
Glyph of Curse of Exhaustion, https://wotlkdb.com/?spell=58338, 15.6246, 5.125, 20.7496, 404.9
Glyph of Disengage, https://wotlkdb.com/?spell=57001, 15.3942, 4.125, 19.5192, 473.2
Glyph of Rebirth, https://wotlkdb.com/?spell=56953, 14.8847, 5.125, 20.0097, 390.4
Glyph of Evocation, https://wotlkdb.com/?spell=56974, 14.8548, 5.125, 19.9798, 389.8
Glyph of Dark Command, https://wotlkdb.com/?spell=57212, 14.8399, 15.15, 29.9899, 198
Glyph of Corpse Explosion, https://wotlkdb.com/?spell=57229, 14.6991, 7.125, 21.8241, 306.3
Glyph of Astral Recall, https://wotlkdb.com/?spell=58329, 14.5835, 5.125, 19.7085, 384.6
Glyph of Horn of Winter, https://wotlkdb.com/?spell=57217, 14.2342, 7.5, 21.7342, 289.8
Glyph of Guardian Spirit, https://wotlkdb.com/?spell=64281, 14.1078, 7.5, 21.6078, 288.1
Glyph of Metamorphosis, https://wotlkdb.com/?spell=64318, 13.9937, 7.5, 21.4937, 286.6
Glyph of Ice Barrier, https://wotlkdb.com/?spell=64257, 13.875, 4.125, 18, 436.4
Glyph of Insect Swarm, https://wotlkdb.com/?spell=56948, 13.875, 5.125, 19, 370.7
Glyph of Raise Dead, https://wotlkdb.com/?spell=57228, 13.8542, 7.125, 20.9792, 294.4
Glyph of Snake Trap, https://wotlkdb.com/?spell=57010, 13.8396, 15.15, 28.9896, 191.4
Glyph of Resonating Power, https://wotlkdb.com/?spell=57164, 13.7147, 15.15, 28.8647, 190.5
Glyph of Shadow Protection, https://wotlkdb.com/?spell=58321, 13.425, 5.125, 18.55, 362
Glyph of Consecration, https://wotlkdb.com/?spell=57023, 13.375, 4.125, 17.5, 424.2
