Name, Link, Profit, Cost, Sell, ROI %
Rituals of the New Moon, https://wotlkdb.com/?spell=64051, 2983.75, 141.25, 3125, 2212.4
Book of Stars, https://wotlkdb.com/?spell=59490, 375.7255, 25.2245, 400.95, 1589.5
Faces of Doom, https://wotlkdb.com/?spell=59498, 140.0568, 153.5, 293.5568, 191.2
Iron-bound Tome, https://wotlkdb.com/?spell=59497, 133.3568, 153.5, 286.8568, 186.9
Glyph of Enduring Victory, https://wotlkdb.com/?spell=58347, 92.1285, 5, 97.1285, 1942.6
Glyph of Mind Control, https://wotlkdb.com/?spell=57191, 83.4793, 12.75, 96.2293, 754.7
Glyph of Resonating Power, https://wotlkdb.com/?spell=57164, 82.5529, 12.75, 95.3029, 747.5
Glyph of Typhoon, https://wotlkdb.com/?spell=56965, 78.6694, 12.75, 91.4194, 717
Glyph of Soul Link, https://wotlkdb.com/?spell=64250, 68.9542, 4.2515, 73.2057, 1721.9
Glyph of Deadly Throw, https://wotlkdb.com/?spell=57117, 66.7457, 12.75, 79.4957, 623.5
Glyph of Hurricane, https://wotlkdb.com/?spell=56946, 64.3029, 12.75, 77.0529, 604.3
Twilight Tome, https://wotlkdb.com/?spell=64053, 45.85, 98.15, 144, 146.7
Certificate of Ownership, https://wotlkdb.com/?spell=59387, 41.9875, 20.0125, 62, 309.8
Glyph of Blade Flurry, https://wotlkdb.com/?spell=57115, 39.7029, 12.75, 52.4529, 411.4
Glyph of Fire Blast, https://wotlkdb.com/?spell=57719, 37.1499, 12.75, 49.8999, 391.4
Glyph of Hex, https://wotlkdb.com/?spell=64316, 34.6035, 12.75, 47.3535, 371.4
Glyph of the Beast, https://wotlkdb.com/?spell=56996, 30.4302, 12.75, 43.1802, 338.7
Glyph of Deep Freeze, https://wotlkdb.com/?spell=64274, 30.117, 5, 35.117, 702.3
Glyph of Death Coil, https://wotlkdb.com/?spell=57261, 29.9793, 12.75, 42.7293, 335.1
Glyph of Lifebloom, https://wotlkdb.com/?spell=56949, 27.4293, 12.75, 40.1793, 315.1
Glyph of Hammer of Wrath, https://wotlkdb.com/?spell=57028, 26.7499, 12.75, 39.4999, 309.8
Glyph of Hymn of Hope, https://wotlkdb.com/?spell=64283, 26.2012, 5, 31.2012, 624
Glyph of Scatter Shot, https://wotlkdb.com/?spell=64249, 24.152, 4.2515, 28.4035, 668.1
Tome of Kings, https://wotlkdb.com/?spell=59484, 21.7705, 33.2295, 55, 165.5
Hellfire Tome, https://wotlkdb.com/?spell=59495, 19.3405, 20.6594, 39.9999, 193.6
Glyph of Water Mastery, https://wotlkdb.com/?spell=57251, 17.6218, 12.125, 29.7468, 245.3
Glyph of Eternal Water, https://wotlkdb.com/?spell=71101, 17.1958, 5, 22.1958, 443.9
Glyph of Unending Breath, https://wotlkdb.com/?spell=58336, 15.733, 4.2515, 19.9845, 470.1
Glyph of Death's Embrace, https://wotlkdb.com/?spell=57215, 15.375, 4.625, 20, 432.4
Glyph of Invisibility, https://wotlkdb.com/?spell=56983, 15.2035, 12.75, 27.9535, 219.2
Glyph of Pestilence, https://wotlkdb.com/?spell=57230, 15.0391, 4.625, 19.6641, 425.2
Glyph of Raise Dead, https://wotlkdb.com/?spell=57228, 14.9048, 4.625, 19.5298, 422.3
Glyph of Revive Pet, https://wotlkdb.com/?spell=58299, 14.752, 4.5015, 19.2535, 427.7
Glyph of Vanish, https://wotlkdb.com/?spell=58328, 14.7146, 4.2625, 18.9771, 445.2
Glyph of Unburdened Rebirth, https://wotlkdb.com/?spell=58288, 14.674, 4.2515, 18.9255, 445.1
Glyph of Fading, https://wotlkdb.com/?spell=58317, 14.6154, 4.5015, 19.1169, 424.7
Glyph of Blessing of Kings, https://wotlkdb.com/?spell=58311, 14.5582, 4.2515, 18.8097, 442.4
Glyph of Fire Ward, https://wotlkdb.com/?spell=58305, 14.3952, 4.2515, 18.6467, 438.6
Glyph of Frost Ward, https://wotlkdb.com/?spell=58307, 14.384, 4.2625, 18.6465, 437.5
Glyph of Water Shield, https://wotlkdb.com/?spell=58332, 14.2941, 4.2515, 18.5456, 436.2
Glyph of Battle, https://wotlkdb.com/?spell=58342, 14.2934, 4.5015, 18.7949, 417.5
Glyph of Blurred Speed, https://wotlkdb.com/?spell=58323, 14.2837, 4.5015, 18.7852, 417.3
Glyph of Mend Pet, https://wotlkdb.com/?spell=58301, 14.2514, 4.5015, 18.7529, 416.6
Glyph of Sense Undead, https://wotlkdb.com/?spell=58315, 14.2275, 4.2515, 18.479, 434.6
Glyph of Shackle Undead, https://wotlkdb.com/?spell=58320, 14.227, 4.2515, 18.4785, 434.6
Glyph of Pick Lock, https://wotlkdb.com/?spell=58325, 14.1719, 4.2515, 18.4234, 433.3
Glyph of Cloak of Shadows, https://wotlkdb.com/?spell=64303, 14.1515, 5, 19.1515, 383
Glyph of the Wild, https://wotlkdb.com/?spell=58296, 14.145, 4.5015, 18.6465, 414.2
Glyph of Fortitude, https://wotlkdb.com/?spell=58318, 14.1253, 4.5015, 18.6268, 413.8
Glyph of Horn of Winter, https://wotlkdb.com/?spell=57217, 14.0803, 5, 19.0803, 381.6
Glyph of the Penguin, https://wotlkdb.com/?spell=58310, 14.0053, 4.5015, 18.5068, 411.1
Glyph of Kilrogg, https://wotlkdb.com/?spell=58340, 13.9294, 4.2625, 18.1919, 426.8
Glyph of Charge, https://wotlkdb.com/?spell=58344, 13.9094, 4.5015, 18.4109, 409
Glyph of Mocking Blow, https://wotlkdb.com/?spell=58345, 13.6926, 4.2515, 17.9441, 422.1
Glyph of Possessed Strength, https://wotlkdb.com/?spell=58300, 13.677, 4.5015, 18.1785, 403.8
Glyph of Arcane Intellect, https://wotlkdb.com/?spell=58303, 13.6244, 4.5015, 18.1259, 402.7
Glyph of Killing Spree, https://wotlkdb.com/?spell=64285, 13.5996, 5, 18.5996, 372
Glyph of Bloodrage, https://wotlkdb.com/?spell=58343, 13.4984, 4.5015, 17.9999, 399.9
Glyph of Riptide, https://wotlkdb.com/?spell=64289, 13.4793, 5, 18.4793, 369.6
Glyph of Salvation, https://wotlkdb.com/?spell=64251, 13.4403, 4.2625, 17.7028, 415.3
Glyph of Drain Soul, https://wotlkdb.com/?spell=58337, 13.3752, 4.5015, 17.8767, 397.1
Glyph of Stoneclaw Totem, https://wotlkdb.com/?spell=64247, 13.375, 4.5015, 17.8765, 397.1
Glyph of Thunder Clap, https://wotlkdb.com/?spell=58346, 13.3732, 4.5015, 17.8747, 397.1
Glyph of Aquatic Form, https://wotlkdb.com/?spell=58286, 13.352, 4.2515, 17.6035, 414.1
Glyph of Metamorphosis, https://wotlkdb.com/?spell=64318, 13.2249, 5, 18.2249, 364.5
Glyph of Ghost Wolf, https://wotlkdb.com/?spell=59326, 13.1673, 4.2515, 17.4188, 409.7
Glyph of Blessing of Might, https://wotlkdb.com/?spell=58314, 13.035, 4.5015, 17.5365, 389.6
Glyph of Shadow Dance, https://wotlkdb.com/?spell=64286, 13.0068, 5, 18.0068, 360.1
Glyph of Blessing of Wisdom, https://wotlkdb.com/?spell=58312, 12.7053, 4.5015, 17.2068, 382.2
Glyph of Hunger for Blood, https://wotlkdb.com/?spell=64284, 12.6954, 5, 17.6954, 353.9
Glyph of Explosive Shot, https://wotlkdb.com/?spell=64273, 12.5551, 5, 17.5551, 351.1
Glyph of Haunt, https://wotlkdb.com/?spell=64291, 12.5368, 5, 17.5368, 350.7
Glyph of Dispersion, https://wotlkdb.com/?spell=64280, 12.5365, 5, 17.5365, 350.7
Glyph of Feral Spirit, https://wotlkdb.com/?spell=64288, 12.5057, 5, 17.5057, 350.1
Glyph of Judgement, https://wotlkdb.com/?spell=57030, 12.4904, 4.2625, 16.7529, 393
Glyph of Corpse Explosion, https://wotlkdb.com/?spell=57229, 12.3869, 4.625, 17.0119, 367.8
Glyph of Lay on Hands, https://wotlkdb.com/?spell=58313, 12.3753, 4.5015, 16.8768, 374.9
Glyph of Blood Tap, https://wotlkdb.com/?spell=57209, 12.3679, 5, 17.3679, 347.4
Glyph of Slow Fall, https://wotlkdb.com/?spell=58308, 12.2514, 4.5015, 16.7529, 372.2
Glyph of Life Tap, https://wotlkdb.com/?spell=64248, 12.2514, 4.5015, 16.7529, 372.2
Glyph of Unholy Blight, https://wotlkdb.com/?spell=64299, 11.95, 5, 16.95, 339
Glyph of Plague Strike, https://wotlkdb.com/?spell=57221, 11.9334, 4.625, 16.5584, 358
Glyph of Dancing Rune Weapon, https://wotlkdb.com/?spell=64297, 11.8765, 5, 16.8765, 337.5
Royal Guide of Escape Routes, https://wotlkdb.com/?spell=59486, 11.7705, 33.2295, 45, 135.4
Glyph of Flash Heal, https://wotlkdb.com/?spell=57186, 11.6143, 4.2625, 15.8768, 372.5
Glyph of Moonfire, https://wotlkdb.com/?spell=56951, 11.614, 4.2625, 15.8765, 372.5
Glyph of Shield Wall, https://wotlkdb.com/?spell=64252, 11.5668, 4.2625, 15.8293, 371.4
Glyph of Arcane Shot, https://wotlkdb.com/?spell=56995, 11.4542, 4.2515, 15.7057, 369.4
Glyph of Water Breathing, https://wotlkdb.com/?spell=58331, 11.4123, 4.2625, 15.6748, 367.7
Glyph of Serpent Sting, https://wotlkdb.com/?spell=57009, 11.3753, 4.5015, 15.8768, 352.7
Glyph of Berserk, https://wotlkdb.com/?spell=64268, 11.1999, 5, 16.1999, 324
Glyph of Shockwave, https://wotlkdb.com/?spell=64296, 11.1348, 5, 16.1348, 322.7
Glyph of Thorns, https://wotlkdb.com/?spell=58289, 11.1014, 4.5015, 15.6029, 346.6
Glyph of Preparation, https://wotlkdb.com/?spell=57127, 11.0687, 12.75, 23.8187, 186.8
Glyph of Divine Storm, https://wotlkdb.com/?spell=64279, 10.9999, 5, 15.9999, 320
Glyph of Hammer of the Righteous, https://wotlkdb.com/?spell=64278, 10.8765, 5, 15.8765, 317.5
Glyph of Bladestorm, https://wotlkdb.com/?spell=64295, 10.8765, 5, 15.8765, 317.5
Glyph of Guardian Spirit, https://wotlkdb.com/?spell=64281, 10.7529, 5, 15.7529, 315.1
Glyph of Holy Light, https://wotlkdb.com/?spell=57029, 10.7375, 4.2625, 15, 351.9
Glyph of Eviscerate, https://wotlkdb.com/?spell=57120, 10.7375, 4.2625, 15, 351.9
Glyph of Distract, https://wotlkdb.com/?spell=58324, 10.7375, 4.2625, 15, 351.9
Glyph of Penance, https://wotlkdb.com/?spell=64282, 10.6029, 5, 15.6029, 312.1
Glyph of Pick Pocket, https://wotlkdb.com/?spell=58326, 10.4984, 4.5015, 14.9999, 333.2
Warrior Glyph 21, https://wotlkdb.com/?spell=57173, 10.461, 4.089, 14.55, 355.8
Warrior Glyph 22, https://wotlkdb.com/?spell=57174, 10.461, 4.089, 14.55, 355.8
Warrior Glyph 23, https://wotlkdb.com/?spell=57175, 10.461, 4.089, 14.55, 355.8
Warrior Glyph 25, https://wotlkdb.com/?spell=57176, 10.461, 4.089, 14.55, 355.8
Warrior Glyph 24, https://wotlkdb.com/?spell=57180, 10.461, 4.089, 14.55, 355.8
Death Knight Glyph 25, https://wotlkdb.com/?spell=57231, 10.461, 4.089, 14.55, 355.8
Glyph of Power Word: Shield, https://wotlkdb.com/?spell=57194, 10.4485, 4.5015, 14.95, 332.1
Glyph of Trueshot Aura, https://wotlkdb.com/?spell=57012, 10.438, 12.75, 23.188, 181.9
Glyph of Flash of Light, https://wotlkdb.com/?spell=57026, 10.375, 4.625, 15, 324.3
Glyph of Healing Wave, https://wotlkdb.com/?spell=57243, 10.0957, 12.75, 22.8457, 179.2
Glyph of Wild Growth, https://wotlkdb.com/?spell=64270, 10.0829, 5, 15.0829, 301.7
Shimmering Ink, https://wotlkdb.com/?spell=57711, 10, 2, 12, 600
Glyph of the Ghoul, https://wotlkdb.com/?spell=57222, 10, 5, 15, 300
Glyph of Rune Tap, https://wotlkdb.com/?spell=59338, 10, 5, 15, 300
Glyph of Hungering Cold, https://wotlkdb.com/?spell=64298, 10, 5, 15, 300
Glyph of Howling Blast, https://wotlkdb.com/?spell=64300, 10, 5, 15, 300
Glyph of Living Bomb, https://wotlkdb.com/?spell=64275, 9.9999, 5, 14.9999, 300
Glyph of Beacon of Light, https://wotlkdb.com/?spell=64277, 9.95, 5, 14.95, 299
Glyph of Spell Reflection, https://wotlkdb.com/?spell=64302, 9.9494, 5, 14.9494, 299
Glyph of Rejuvenation, https://wotlkdb.com/?spell=56955, 9.4985, 4.5015, 14, 311
Glyph of Scare Beast, https://wotlkdb.com/?spell=58298, 9.4984, 4.5015, 13.9999, 311
Glyph of Flame Shock, https://wotlkdb.com/?spell=57239, 9.4485, 4.5015, 13.95, 309.9
Glyph of Whirlwind, https://wotlkdb.com/?spell=57172, 9, 5, 14, 280
Glyph of Chimera Shot, https://wotlkdb.com/?spell=64271, 8.9999, 5, 13.9999, 280
Glyph of Safe Fall, https://wotlkdb.com/?spell=58327, 8.7652, 10.0125, 18.7777, 187.5
Glyph of Mending, https://wotlkdb.com/?spell=56997, 8.7374, 4.2625, 12.9999, 305
Glyph of Ice Barrier, https://wotlkdb.com/?spell=64257, 8.5143, 10.125, 18.6393, 184.1
Glyph of Corruption, https://wotlkdb.com/?spell=57259, 8.4985, 4.5015, 13, 288.8
