Name, Link, Profit, Cost, Sell, ROI %
Brutal Earthstorm Diamond, https://wotlkdb.com/?spell=32869, 3468.0933, 150.75, 3618.8433, 2400.6
Titanium Earthguard Chain, https://wotlkdb.com/?spell=56500, 1015.76, 683.24, 1699, 248.7
Ring of Scarlet Shadows, https://wotlkdb.com/?spell=58148, 666.125, 298.875, 965, 322.9
Titanium Impact Band, https://wotlkdb.com/?spell=56496, 552.9404, 987.0596, 1540, 156
Bold Crimson Spinel, https://wotlkdb.com/?spell=39705, 543.495, 6.505, 550, 8455
Gem Studded Band, https://wotlkdb.com/?spell=26896, 489.6628, 29.4096, 519.0724, 1765
Titanium Spellshock Ring, https://wotlkdb.com/?spell=56498, 480.34, 719.46, 1199.8, 166.8
Savage Titanium Ring, https://wotlkdb.com/?spell=58492, 470.5804, 530.9196, 1001.5, 188.6
Titanium Impact Choker, https://wotlkdb.com/?spell=56499, 469.5406, 1225.4594, 1695, 138.3
Titanium Frostguard Ring, https://wotlkdb.com/?spell=58954, 451.0438, 430.9597, 882.0035, 204.7
Titanium Earthguard Ring, https://wotlkdb.com/?spell=56497, 451.02, 643.98, 1095, 170
Ring of Earthen Might, https://wotlkdb.com/?spell=58147, 404.26, 114.74, 519, 452.3
Ruby Crown of Restoration, https://wotlkdb.com/?spell=26878, 374.3328, 120.9312, 495.264, 409.5
Savage Titanium Band, https://wotlkdb.com/?spell=58507, 364.5804, 530.9196, 895.5, 168.7
Powerful Earthstorm Diamond, https://wotlkdb.com/?spell=32866, 349.25, 150.75, 500, 331.7
Citrine Pendant of Golden Healing, https://wotlkdb.com/?spell=25622, 346.2202, 8.338, 354.5582, 4252.3
Ring of Northern Tears, https://wotlkdb.com/?spell=58150, 328.9728, 116.0272, 445, 383.5
Titanium Spellshock Necklace, https://wotlkdb.com/?spell=56501, 281.14, 768.86, 1050, 136.6
Windfire Band, https://wotlkdb.com/?spell=58149, 154.5402, 295.4598, 450, 152.3
Effulgent Skyflare Diamond, https://wotlkdb.com/?spell=55384, 115.0001, 74.9999, 190, 253.3
Puissant Twilight Opal, https://wotlkdb.com/?spell=53973, 107, 7, 114, 1628.6
Impassive Skyflare Diamond, https://wotlkdb.com/?spell=55388, 104.7501, 74.9999, 179.75, 239.7
Sky Sapphire Amulet, https://wotlkdb.com/?spell=64726, 97.89, 121.36, 219.25, 180.7
Mercurial Adamantite, https://wotlkdb.com/?spell=38068, 93.02, 66.98, 160, 238.9
Trenchant Earthsiege Diamond, https://wotlkdb.com/?spell=55403, 91.4, 120, 211.4, 176.2
Bronze Band of Force, https://wotlkdb.com/?spell=37818, 87.79, 12.46, 100.25, 804.6
Revitalizing Skyflare Diamond, https://wotlkdb.com/?spell=55407, 85.0001, 74.9999, 160, 213.3
Shining Eye of Zul, https://wotlkdb.com/?spell=66437, 81.125, 72, 153.125, 212.7
Guardian's Twilight Opal, https://wotlkdb.com/?spell=53974, 76.05, 7, 83.05, 1186.4
Jagged Forest Emerald, https://wotlkdb.com/?spell=53996, 75.26, 2.99, 78.25, 2617.1
Jagged Eye of Zul, https://wotlkdb.com/?spell=66431, 73, 72, 145, 201.4
Forceful Forest Emerald, https://wotlkdb.com/?spell=54001, 72.01, 2.99, 75, 2508.4
Royal Twilight Opal, https://wotlkdb.com/?spell=53967, 71.65, 7, 78.65, 1123.6
Lustrous Sky Sapphire, https://wotlkdb.com/?spell=53954, 70.8, 7.95, 78.75, 990.6
Thundering Skyflare Diamond, https://wotlkdb.com/?spell=55395, 70.5001, 74.9999, 145.5, 194
Beaming Earthsiege Diamond, https://wotlkdb.com/?spell=55405, 70.125, 120, 190.125, 158.4
Shifting Twilight Opal, https://wotlkdb.com/?spell=53963, 67.9, 7, 74.9, 1070
Radiant Forest Emerald, https://wotlkdb.com/?spell=54012, 66.01, 2.99, 69, 2307.7
Lambent Eye of Zul, https://wotlkdb.com/?spell=66439, 62.875, 72, 134.875, 187.3
Emerald Choker, https://wotlkdb.com/?spell=64725, 62.8, 61.7, 124.5, 201.8
Band of Natural Fire, https://wotlkdb.com/?spell=26916, 62.18, 7.82, 70, 895.1
Forceful Eye of Zul, https://wotlkdb.com/?spell=66434, 62, 72, 134, 186.1
Sundered Eye of Zul, https://wotlkdb.com/?spell=66436, 60, 72, 132, 183.3
Opaque Forest Emerald, https://wotlkdb.com/?spell=54010, 59.81, 2.99, 62.8, 2100.3
Ember Skyflare Diamond, https://wotlkdb.com/?spell=55392, 58.5001, 74.9999, 133.5, 178
Infused Nightseye, https://wotlkdb.com/?spell=39462, 57.0945, 2.9055, 60, 2065
Infused Dreadstone, https://wotlkdb.com/?spell=66564, 55.2, 99.8, 155, 155.3
Glowing Twilight Opal, https://wotlkdb.com/?spell=53965, 53.9999, 7, 60.9999, 871.4
Vivid Forest Emerald, https://wotlkdb.com/?spell=53997, 52.01, 2.99, 55, 1839.5
Runed Mana Band, https://wotlkdb.com/?spell=64727, 49.54, 119.46, 169, 141.5
Bright Cardinal Ruby, https://wotlkdb.com/?spell=66449, 49.5, 220, 269.5, 122.5
Nightmare Tear, https://wotlkdb.com/?spell=68253, 49.4, 111.1, 160.5, 144.5
Eternal Earthsiege Diamond, https://wotlkdb.com/?spell=55398, 48.35, 120, 168.35, 140.3
Defender's Twilight Opal, https://wotlkdb.com/?spell=53972, 48, 7, 55, 785.7
Potent Monarch Topaz, https://wotlkdb.com/?spell=53984, 47.7499, 62, 109.7499, 177
Vivid Eye of Zul, https://wotlkdb.com/?spell=66429, 47.7, 72, 119.7, 166.3
Delicate Living Ruby, https://wotlkdb.com/?spell=31085, 47.6832, 2.96, 50.6432, 1710.9
Energized Forest Emerald, https://wotlkdb.com/?spell=54011, 47.01, 2.99, 50, 1672.2
Forlorn Skyflare Diamond, https://wotlkdb.com/?spell=55387, 47.0001, 74.9999, 122, 162.7
Tense Eye of Zul, https://wotlkdb.com/?spell=66438, 46.5, 72, 118.5, 164.6
Timeless Eye of Zul, https://wotlkdb.com/?spell=66432, 46.2, 72, 118.2, 164.2
Precise Cardinal Ruby, https://wotlkdb.com/?spell=66450, 45.75, 220, 265.75, 120.8
Shifting Dreadstone, https://wotlkdb.com/?spell=66557, 45.1996, 99.8, 144.9996, 145.3
Enigmatic Skyflare Diamond, https://wotlkdb.com/?spell=55393, 44.7501, 74.9999, 119.75, 159.7
Stark Monarch Topaz, https://wotlkdb.com/?spell=53991, 43.125, 62, 105.125, 169.6
Sovereign Twilight Opal, https://wotlkdb.com/?spell=53962, 42.9, 7, 49.9, 712.9
Stark Ametrine, https://wotlkdb.com/?spell=66587, 42.88, 186.12, 229, 123
Guardian's Dreadstone, https://wotlkdb.com/?spell=66561, 42.3998, 99.8, 142.1998, 142.5
Lambent Forest Emerald, https://wotlkdb.com/?spell=54009, 42.01, 2.99, 45, 1505
Enduring Eye of Zul, https://wotlkdb.com/?spell=66338, 41.9999, 72, 113.9999, 158.3
Opaque Eye of Zul, https://wotlkdb.com/?spell=66444, 40.88, 72, 112.88, 156.8
Steady Eye of Zul, https://wotlkdb.com/?spell=66428, 39, 72, 111, 154.2
Shattered Eye of Zul, https://wotlkdb.com/?spell=66443, 38.9999, 72, 110.9999, 154.2
Veiled Monarch Topaz, https://wotlkdb.com/?spell=53985, 38.95, 62, 100.95, 162.8
Regal Twilight Opal, https://wotlkdb.com/?spell=53971, 37.9, 7, 44.9, 641.4
Misty Eye of Zul, https://wotlkdb.com/?spell=66435, 37, 72, 109, 151.4
Shining Forest Emerald, https://wotlkdb.com/?spell=54004, 36.11, 2.99, 39.1, 1307.7
Glinting Monarch Topaz, https://wotlkdb.com/?spell=53980, 36, 62, 98, 158.1
Puissant Dreadstone, https://wotlkdb.com/?spell=66563, 35.9499, 99.8, 135.7499, 136
Runed Blood Garnet, https://wotlkdb.com/?spell=28906, 35.52, 1.48, 37, 2500
Dazzling Eye of Zul, https://wotlkdb.com/?spell=66430, 35.25, 72, 107.25, 149
Veiled Ametrine, https://wotlkdb.com/?spell=66570, 34.63, 186.12, 220.75, 118.6
Inscribed Noble Topaz, https://wotlkdb.com/?spell=31106, 34.585, 2.54, 37.125, 1461.6
Accurate Ametrine, https://wotlkdb.com/?spell=66576, 33.6299, 186.12, 219.7499, 118.1
Empowered Ametrine, https://wotlkdb.com/?spell=66580, 33.38, 186.12, 219.5, 117.9
Enduring Talasite, https://wotlkdb.com/?spell=31110, 33.08, 1.92, 35, 1822.9
Delicate Scarlet Ruby, https://wotlkdb.com/?spell=53945, 32.785, 117.215, 150, 128
Resolute Ametrine, https://wotlkdb.com/?spell=66586, 32.76, 186.12, 218.88, 117.6
Turbid Eye of Zul, https://wotlkdb.com/?spell=66445, 32.75, 72, 104.75, 145.5
Fractured Cardinal Ruby, https://wotlkdb.com/?spell=66451, 32.6998, 220, 252.6998, 114.9
Stalwart Ametrine, https://wotlkdb.com/?spell=66581, 32.08, 186.12, 218.2, 117.2
Seer's Eye of Zul, https://wotlkdb.com/?spell=66433, 32, 72, 104, 144.4
Intricate Eye of Zul, https://wotlkdb.com/?spell=66440, 31.9999, 72, 103.9999, 144.4
Mystic Sun Crystal, https://wotlkdb.com/?spell=53857, 30.8201, 1.1799, 32, 2712.1
Mysterious Twilight Opal, https://wotlkdb.com/?spell=53968, 30, 7, 37, 528.6
Royal Dreadstone, https://wotlkdb.com/?spell=66558, 29.9, 99.8, 129.7, 130
Solid Sky Sapphire, https://wotlkdb.com/?spell=53952, 29.04, 7.95, 36.99, 465.3
Shattered Forest Emerald, https://wotlkdb.com/?spell=54014, 29.01, 2.99, 32, 1070.2
Energized Eye of Zul, https://wotlkdb.com/?spell=66442, 28.9998, 72, 100.9998, 140.3
Jade Dagger Pendant, https://wotlkdb.com/?spell=56195, 28.42, 16.58, 45, 271.4
Rigid King's Amber, https://wotlkdb.com/?spell=66501, 28, 199, 227, 114.1
Purified Dreadstone, https://wotlkdb.com/?spell=66556, 27.95, 99.8, 127.75, 128
Sovereign Dreadstone, https://wotlkdb.com/?spell=66554, 27.9499, 99.8, 127.7499, 128
Reckless Monarch Topaz, https://wotlkdb.com/?spell=53987, 27.9, 62, 89.9, 145
Enduring Forest Emerald, https://wotlkdb.com/?spell=53998, 27.01, 2.99, 30, 1003.3
