Name, Link, Profit, Cost, Sell, ROI %
Delicate Eternium Ring, https://wotlkdb.com/?spell=31060, 2104.8869, 754.9995, 2859.8864, 378.8
Heavy Felsteel Ring, https://wotlkdb.com/?spell=31058, 1057.1972, 699.9996, 1757.1968, 251
Titanium Spellshock Ring, https://wotlkdb.com/?spell=56498, 908, 862.5, 1770.5, 205.3
Titanium Spellshock Necklace, https://wotlkdb.com/?spell=56501, 755.63, 934.4, 1690.03, 180.9
Teardrop Crimson Spinel, https://wotlkdb.com/?spell=39710, 694.05, 5.95, 700, 11764.7
Titanium Earthguard Chain, https://wotlkdb.com/?spell=56500, 601.7465, 784.1, 1385.8465, 176.7
Gem Studded Band, https://wotlkdb.com/?spell=26896, 465.7608, 25.9472, 491.708, 1895
Mystical Skyfire Diamond, https://wotlkdb.com/?spell=32872, 462.3, 70.7, 533, 753.9
Delicate Crimson Spinel, https://wotlkdb.com/?spell=39706, 444.05, 5.95, 450, 7563
Runed Crimson Spinel, https://wotlkdb.com/?spell=39711, 444.05, 5.95, 450, 7563
Titanium Impact Band, https://wotlkdb.com/?spell=56496, 438.0964, 1206.7, 1644.7964, 136.3
Ring of Earthen Might, https://wotlkdb.com/?spell=58147, 434.3037, 105.8, 540.1037, 510.5
Bold Crimson Spinel, https://wotlkdb.com/?spell=39705, 434.05, 5.95, 440, 7395
Titanium Frostguard Ring, https://wotlkdb.com/?spell=58954, 428.4534, 526.55, 955.0034, 181.4
The Black Pearl, https://wotlkdb.com/?spell=41415, 400.1204, 600.3796, 1000.5, 166.6
Blazing Citrine Ring, https://wotlkdb.com/?spell=25617, 347.7864, 13.5986, 361.385, 2657.5
Titanium Earthguard Ring, https://wotlkdb.com/?spell=56497, 319.4463, 750.3, 1069.7463, 142.6
Windfire Band, https://wotlkdb.com/?spell=58149, 296.8765, 333, 629.8765, 189.2
Necklace of the Deep, https://wotlkdb.com/?spell=40514, 156.9499, 23.05, 179.9999, 780.9
Ring of Northern Tears, https://wotlkdb.com/?spell=58150, 137.53, 112.47, 250, 222.3
The Aquamarine Ward, https://wotlkdb.com/?spell=26887, 118.5375, 6.4625, 125, 1934.2
Ember Skyflare Diamond, https://wotlkdb.com/?spell=55392, 100, 70, 170, 242.9
Runed Mana Band, https://wotlkdb.com/?spell=64727, 84.85, 113.9, 198.75, 174.5
Sky Sapphire Amulet, https://wotlkdb.com/?spell=64726, 81.2, 139.8, 221, 158.1
Invigorating Earthsiege Diamond, https://wotlkdb.com/?spell=55404, 79.7701, 109.2299, 189, 173
Lucent Monarch Topaz, https://wotlkdb.com/?spell=53981, 79, 91, 170, 186.8
Subtle Cardinal Ruby, https://wotlkdb.com/?spell=66452, 78.75, 302, 380.75, 126.1
Wicked Moonstone Ring, https://wotlkdb.com/?spell=25323, 77.3666, 72.6334, 150, 206.5
Band of Natural Fire, https://wotlkdb.com/?spell=26916, 76.4201, 8.5799, 85, 990.7
Prismatic Black Diamond, https://wotlkdb.com/?spell=62941, 74.61, 0.39, 75, 19230.8
Pristine Ametrine, https://wotlkdb.com/?spell=66573, 73, 223, 296, 132.7
Stark Ametrine, https://wotlkdb.com/?spell=66587, 72.5, 223, 295.5, 132.5
Effulgent Skyflare Diamond, https://wotlkdb.com/?spell=55384, 71.5, 70, 141.5, 202.1
Relentless Earthsiege Diamond, https://wotlkdb.com/?spell=55400, 70.02, 109.2299, 179.2499, 164.1
Empowered Ametrine, https://wotlkdb.com/?spell=66580, 70, 223, 293, 131.4
Mystic King's Amber, https://wotlkdb.com/?spell=66505, 67, 250, 317, 126.8
Thick King's Amber, https://wotlkdb.com/?spell=66504, 65.0049, 250, 315.0049, 126
Delicate Scarlet Ruby, https://wotlkdb.com/?spell=53945, 65, 150, 215, 143.3
Veiled Monarch Topaz, https://wotlkdb.com/?spell=53985, 64, 91, 155, 170.3
Infused Twilight Opal, https://wotlkdb.com/?spell=53970, 63.9264, 6.95, 70.8764, 1019.8
Luminous Monarch Topaz, https://wotlkdb.com/?spell=53983, 63.8764, 91, 154.8764, 170.2
Wicked Ametrine, https://wotlkdb.com/?spell=66577, 62.9999, 223, 285.9999, 128.3
Glinting Ametrine, https://wotlkdb.com/?spell=66575, 61.9998, 223, 284.9998, 127.8
Mysterious Dreadstone, https://wotlkdb.com/?spell=66562, 61.5, 120, 181.5, 151.3
Royal Dreadstone, https://wotlkdb.com/?spell=66558, 61.225, 120, 181.225, 151
Tense Eye of Zul, https://wotlkdb.com/?spell=66438, 59.9579, 69.042, 128.9999, 186.8
Royal Twilight Opal, https://wotlkdb.com/?spell=53967, 59.8028, 6.95, 66.7528, 960.5
Steady Eye of Zul, https://wotlkdb.com/?spell=66428, 59.708, 69.042, 128.75, 186.5
Radiant Eye of Zul, https://wotlkdb.com/?spell=66441, 59.7078, 69.042, 128.7498, 186.5
Balanced Dreadstone, https://wotlkdb.com/?spell=66553, 58.9999, 120, 178.9999, 149.2
Tenuous Dreadstone, https://wotlkdb.com/?spell=66565, 58, 120, 178, 148.3
Delicate Cardinal Ruby, https://wotlkdb.com/?spell=66448, 57.75, 302, 359.75, 119.1
Precise Cardinal Ruby, https://wotlkdb.com/?spell=66450, 57.74, 302, 359.74, 119.1
Glowing Dreadstone, https://wotlkdb.com/?spell=66555, 57.4998, 120, 177.4998, 147.9
Insightful Earthsiege Diamond, https://wotlkdb.com/?spell=55396, 56.7701, 109.2299, 166, 152
Misty Eye of Zul, https://wotlkdb.com/?spell=66435, 55.7078, 69.042, 124.7498, 180.7
Luminous Ametrine, https://wotlkdb.com/?spell=66566, 55.6, 223, 278.6, 124.9
Sundered Eye of Zul, https://wotlkdb.com/?spell=66436, 55.4578, 69.042, 124.4998, 180.3
Trenchant Earthsiege Diamond, https://wotlkdb.com/?spell=55403, 54.8969, 109.2299, 164.1268, 150.3
Puissant Dreadstone, https://wotlkdb.com/?spell=66563, 54.75, 120, 174.75, 145.6
Jagged Eye of Zul, https://wotlkdb.com/?spell=66431, 54.458, 69.042, 123.5, 178.9
Regal Dreadstone, https://wotlkdb.com/?spell=66559, 54.35, 120, 174.35, 145.3
Accurate Ametrine, https://wotlkdb.com/?spell=66576, 54, 223, 277, 124.2
Savage Titanium Ring, https://wotlkdb.com/?spell=58492, 54, 596, 650, 109.1
Intricate Eye of Zul, https://wotlkdb.com/?spell=66440, 53.9579, 69.042, 122.9999, 178.2
Veiled Ametrine, https://wotlkdb.com/?spell=66570, 52.99, 223, 275.99, 123.8
Shifting Dreadstone, https://wotlkdb.com/?spell=66557, 51.7499, 120, 171.7499, 143.1
Durable Ametrine, https://wotlkdb.com/?spell=66571, 51.7499, 223, 274.7499, 123.2
Etched Ametrine, https://wotlkdb.com/?spell=66572, 51, 223, 274, 122.9
Resplendent Ametrine, https://wotlkdb.com/?spell=66582, 50.9999, 223, 273.9999, 122.9
Vivid Eye of Zul, https://wotlkdb.com/?spell=66429, 50.708, 69.042, 119.75, 173.4
Guardian's Dreadstone, https://wotlkdb.com/?spell=66561, 49.9999, 120, 169.9999, 141.7
Fractured Scarlet Ruby, https://wotlkdb.com/?spell=53950, 49.9999, 150, 199.9999, 133.3
Lucent Ametrine, https://wotlkdb.com/?spell=66585, 49.9998, 223, 272.9998, 122.4
Smooth King's Amber, https://wotlkdb.com/?spell=66502, 49.75, 250, 299.75, 119.9
Deadly Ametrine, https://wotlkdb.com/?spell=66568, 49.5, 223, 272.5, 122.2
Steady Seaspray Emerald, https://wotlkdb.com/?spell=47054, 49.3, 5.7, 55, 964.9
Quick Autumn's Glow, https://wotlkdb.com/?spell=53961, 49, 100, 149, 149
Rigid King's Amber, https://wotlkdb.com/?spell=66501, 49, 250, 299, 119.6
Enchanted Tear, https://wotlkdb.com/?spell=56531, 47.9, 11.98, 59.88, 499.8
Fierce Ametrine, https://wotlkdb.com/?spell=66583, 47.4999, 223, 270.4999, 121.3
Deft Ametrine, https://wotlkdb.com/?spell=66584, 47, 223, 270, 121.1
Bold Cardinal Ruby, https://wotlkdb.com/?spell=66447, 47, 302, 349, 115.6
Brilliant King's Amber, https://wotlkdb.com/?spell=66503, 46.75, 250, 296.75, 118.7
Resolute Ametrine, https://wotlkdb.com/?spell=66586, 46.7498, 223, 269.7498, 121
Forceful Eye of Zul, https://wotlkdb.com/?spell=66434, 46.7079, 69.042, 115.7499, 167.7
Runed Cardinal Ruby, https://wotlkdb.com/?spell=66446, 46.5, 302, 348.5, 115.4
Shattered Eye of Zul, https://wotlkdb.com/?spell=66443, 46.208, 69.042, 115.25, 166.9
Infused Dreadstone, https://wotlkdb.com/?spell=66564, 45.7499, 120, 165.7499, 138.1
Forlorn Skyflare Diamond, https://wotlkdb.com/?spell=55387, 45.505, 70, 115.505, 165
Stormy Majestic Zircon, https://wotlkdb.com/?spell=66499, 45.25, 141.5, 186.75, 132
Fractured Cardinal Ruby, https://wotlkdb.com/?spell=66451, 45, 302, 347, 114.9
Energized Eye of Zul, https://wotlkdb.com/?spell=66442, 44.708, 69.042, 113.75, 164.8
Forceful Forest Emerald, https://wotlkdb.com/?spell=54001, 44.0001, 3.9999, 48, 1200
Glimmering Ametrine, https://wotlkdb.com/?spell=66578, 43.5, 223, 266.5, 119.5
Bright Cardinal Ruby, https://wotlkdb.com/?spell=66449, 43, 302, 345, 114.2
Quick King's Amber, https://wotlkdb.com/?spell=66506, 42.7499, 250, 292.7499, 117.1
Golden Ring of Power, https://wotlkdb.com/?spell=34955, 42.4992, 7.5008, 50, 666.6
Radiant Forest Emerald, https://wotlkdb.com/?spell=54012, 41.0001, 3.9999, 45, 1125
Lambent Forest Emerald, https://wotlkdb.com/?spell=54009, 40.8001, 3.9999, 44.8, 1120
Rigid Autumn's Glow, https://wotlkdb.com/?spell=53958, 40.503, 100, 140.503, 140.5
Champion's Ametrine, https://wotlkdb.com/?spell=66579, 40.2498, 223, 263.2498, 118
Sovereign Dreadstone, https://wotlkdb.com/?spell=66554, 40, 120, 160, 133.3
Turbid Eye of Zul, https://wotlkdb.com/?spell=66445, 39.958, 69.042, 109, 157.9
Reckless Ametrine, https://wotlkdb.com/?spell=66574, 39.9, 223, 262.9, 117.9
Runed Scarlet Ruby, https://wotlkdb.com/?spell=53946, 37.9999, 150, 187.9999, 125.3
Stalwart Ametrine, https://wotlkdb.com/?spell=66581, 36, 223, 259, 116.1
Puissant Twilight Opal, https://wotlkdb.com/?spell=53973, 34.85, 6.95, 41.8, 601.4
Potent Monarch Topaz, https://wotlkdb.com/?spell=53984, 33.75, 91, 124.75, 137.1
Reckless Monarch Topaz, https://wotlkdb.com/?spell=53987, 33.75, 91, 124.75, 137.1
Intricate Forest Emerald, https://wotlkdb.com/?spell=54006, 33.0001, 3.9999, 37, 925
Flashing Cardinal Ruby, https://wotlkdb.com/?spell=66453, 32.4799, 302, 334.4799, 110.8
Nightmare Tear, https://wotlkdb.com/?spell=68253, 31.91, 133.25, 165.16, 123.9
Bold Scarlet Ruby, https://wotlkdb.com/?spell=53830, 31.8765, 150, 181.8765, 121.3
Inscribed Ametrine, https://wotlkdb.com/?spell=66567, 31.5, 223, 254.5, 114.1
Enduring Eye of Zul, https://wotlkdb.com/?spell=66338, 30.958, 69.042, 100, 144.8
Timeless Eye of Zul, https://wotlkdb.com/?spell=66432, 30.958, 69.042, 100, 144.8
Seer's Eye of Zul, https://wotlkdb.com/?spell=66433, 30.958, 69.042, 100, 144.8
Opaque Eye of Zul, https://wotlkdb.com/?spell=66444, 30.948, 69.042, 99.99, 144.8
