Name, Link, Profit, Cost, Sell, ROI %
Gloves of Immortal Dusk, https://wotlkdb.com/?spell=46134, 6348.3306, 2100.6694, 8449, 402.2
Belt of the Black Eagle, https://wotlkdb.com/?spell=36352, 5370.0053, 630.9946, 6000.9999, 951
Devilsaur Gauntlets, https://wotlkdb.com/?spell=19084, 3924.26, 75.74, 4000, 5281.2
Devilsaur Leggings, https://wotlkdb.com/?spell=19097, 3911.28, 88.72, 4000, 4508.6
Clefthide Leg Armor, https://wotlkdb.com/?spell=35555, 3643.7844, 130.2056, 3773.99, 2898.5
Lightning Grounded Boots, https://wotlkdb.com/?spell=63197, 2906.0892, 3082.7997, 5988.8889, 194.3
Warbear Woolies, https://wotlkdb.com/?spell=19080, 2832.73, 67.27, 2900, 4311
Boots of Living Scale, https://wotlkdb.com/?spell=63195, 2820.0003, 3179.9997, 6000, 188.7
Stylin' Crimson Hat, https://wotlkdb.com/?spell=32488, 2723.4116, 276.5884, 3000, 1084.6
Stylin' Jungle Hat, https://wotlkdb.com/?spell=32489, 2705.0716, 294.9284, 3000, 1017.2
Stylin' Purple Hat, https://wotlkdb.com/?spell=32485, 2223.4316, 276.5684, 2500, 903.9
Belt of Dragons, https://wotlkdb.com/?spell=63194, 2204.2003, 3082.7997, 5287, 171.5
Stylin' Adventure Hat, https://wotlkdb.com/?spell=32487, 2140.4716, 358.5284, 2499, 697
Death-warmed Belt, https://wotlkdb.com/?spell=63198, 2073.7986, 3166.1997, 5239.9983, 165.5
Black Dragonscale Boots, https://wotlkdb.com/?spell=20855, 1984.9603, 15.0397, 2000, 13298.1
Boots of Wintry Endurance, https://wotlkdb.com/?spell=63201, 1917.2003, 3082.7997, 5000, 162.2
Crusader's Dragonscale Bracers, https://wotlkdb.com/?spell=67143, 1893.9704, 2633.5994, 4527.5698, 171.9
Blue Dragonscale Breastplate, https://wotlkdb.com/?spell=19077, 1848.46, 151.54, 2000, 1319.8
Blue Dragonscale Leggings, https://wotlkdb.com/?spell=24654, 1827.96, 172.04, 2000, 1162.5
Fel Leather Gloves, https://wotlkdb.com/?spell=32490, 1822.4336, 177.5664, 2000, 1126.3
Cobrahide Leg Armor, https://wotlkdb.com/?spell=35549, 1809.6748, 412.2852, 2221.96, 538.9
Blue Dragonscale Shoulders, https://wotlkdb.com/?spell=19089, 1768.46, 231.54, 2000, 863.8
Fel Leather Boots, https://wotlkdb.com/?spell=32493, 1706.602, 293.398, 2000, 681.7
Fel Leather Leggings, https://wotlkdb.com/?spell=32494, 1705.056, 294.944, 2000, 678.1
Ensorcelled Nerubian Breastplate, https://wotlkdb.com/?spell=67080, 1699.6007, 4460.3992, 6159.9999, 138.1
Black Dragonscale Leggings, https://wotlkdb.com/?spell=19107, 1435.9, 64.1, 1500, 2340.1
Belt of Arctic Life, https://wotlkdb.com/?spell=63200, 1421.4003, 3178.5997, 4600, 144.7
Legwraps of Unleashed Nature, https://wotlkdb.com/?spell=70554, 1382.0008, 6596.9992, 7979, 120.9
Footpads of Silence, https://wotlkdb.com/?spell=63199, 1374.2892, 3114.5997, 4488.8889, 144.1
Blessed Cenarion Boots, https://wotlkdb.com/?spell=70555, 1237.8005, 4120.1995, 5358, 130
Green Dragonscale Breastplate, https://wotlkdb.com/?spell=19050, 1206.9725, 43.0275, 1250, 2905.1
Green Dragonscale Gauntlets, https://wotlkdb.com/?spell=24655, 1205.387, 44.613, 1250, 2801.9
Earthsoul Boots, https://wotlkdb.com/?spell=70559, 1189.1205, 4178.8795, 5368, 128.5
Jormscale Footpads, https://wotlkdb.com/?spell=60666, 1166, 234, 1400, 598.3
Bladeborn Leggings, https://wotlkdb.com/?spell=70556, 1156.6008, 6732.3992, 7889, 117.2
Draconic Bonesplinter Legguards, https://wotlkdb.com/?spell=70560, 1071.2008, 6327.7992, 7399, 116.9
Nethercleft Leg Armor, https://wotlkdb.com/?spell=35557, 1049.6743, 147.3256, 1196.9999, 812.5
Footpads of Impending Death, https://wotlkdb.com/?spell=70557, 1038.2408, 5048.7592, 6087, 120.6
Rock-Steady Treads, https://wotlkdb.com/?spell=70561, 1031.6208, 4797.3792, 5829, 121.5
