Name, Link, Profit, Cost, Sell, ROI %
Black Dragonscale Boots, https://wotlkdb.com/?spell=20855, 9906.1503, 93.8497, 10000, 10655.3
Gloves of Immortal Dusk, https://wotlkdb.com/?spell=46134, 7497.064, 2501.936, 9999, 399.7
Nethercobra Leg Armor, https://wotlkdb.com/?spell=35554, 3802.52, 697.48, 4500, 645.2
Stylin' Crimson Hat, https://wotlkdb.com/?spell=32488, 3156.48, 343.52, 3500, 1018.9
Stylin' Purple Hat, https://wotlkdb.com/?spell=32485, 2990.35, 342.98, 3333.33, 971.9
Lightning Grounded Boots, https://wotlkdb.com/?spell=63197, 2980.4, 3018.6, 5999, 198.7
Footpads of Silence, https://wotlkdb.com/?spell=63199, 2872.0002, 3064.9998, 5937, 193.7
Boots of Living Scale, https://wotlkdb.com/?spell=63195, 2815, 3107, 5922, 190.6
Belt of Deep Shadow, https://wotlkdb.com/?spell=36351, 2365.4399, 634.56, 2999.9999, 472.8
Death-warmed Belt, https://wotlkdb.com/?spell=63198, 2267.5254, 3132.9996, 5400.525, 172.4
Nethercleft Leg Armor, https://wotlkdb.com/?spell=35557, 2171.2, 193.8, 2365, 1220.3
Stylin' Adventure Hat, https://wotlkdb.com/?spell=32487, 2146.42, 353.58, 2500, 707.1
Ensorcelled Nerubian Breastplate, https://wotlkdb.com/?spell=67136, 1917.8, 4261.2, 6179, 145
Belt of Arctic Life, https://wotlkdb.com/?spell=63200, 1814, 3097, 4911, 158.6
Cloak of Darkness, https://wotlkdb.com/?spell=42546, 1730.3612, 564.6388, 2295, 406.5
Lunar Eclipse Robes, https://wotlkdb.com/?spell=67140, 1569.334, 4718.666, 6288, 133.3
Belt of Dragons, https://wotlkdb.com/?spell=63194, 1481.4, 3018.6, 4500, 149.1
Crusader's Dragonscale Breastplate, https://wotlkdb.com/?spell=67138, 1474.1336, 4021.8664, 5496, 136.7
Blue Belt of Chaos, https://wotlkdb.com/?spell=63196, 1457.4, 3041.6, 4499, 147.9
Bladeborn Leggings, https://wotlkdb.com/?spell=70556, 1315.4016, 6704.5984, 8020, 119.6
Boots of Wintry Endurance, https://wotlkdb.com/?spell=63201, 1314.4, 3018.6, 4333, 143.5
Windripper Leggings, https://wotlkdb.com/?spell=62177, 1275, 675, 1950, 288.9
Draconic Bonesplinter Legguards, https://wotlkdb.com/?spell=70560, 1253.5999, 6210.4, 7463.9999, 120.2
Crusader's Dragonscale Bracers, https://wotlkdb.com/?spell=67143, 1252.8, 2537.2, 3790, 149.4
Earthgiving Boots, https://wotlkdb.com/?spell=60761, 1228.3335, 481.6665, 1710, 355
Legwraps of Unleashed Nature, https://wotlkdb.com/?spell=70554, 1210.6671, 6519.3328, 7729.9999, 118.6
