Name, Link, Profit, Cost, Sell, ROI %
Smelt Elementium, https://wotlkdb.com/?spell=22967, 640.65, 959.35, 1600, 166.8
Smelt Titansteel, https://wotlkdb.com/?spell=55208, 25.01, 263.74, 288.75, 109.5
Smelt Felsteel, https://wotlkdb.com/?spell=29360, 23.75, 23, 46.75, 203.3
Smelt Titanium, https://wotlkdb.com/?spell=55211, 12.9002, 39.9998, 52.9, 132.3
Smelt Dark Iron, https://wotlkdb.com/?spell=14891, 6.814, 1.036, 7.85, 757.7
Smelt Steel, https://wotlkdb.com/?spell=3569, 3.17, 0.65, 3.82, 587.7
Smelt Eternium, https://wotlkdb.com/?spell=29359, 1.5, 4, 5.5, 137.5
Smelt Cobalt, https://wotlkdb.com/?spell=49252, 1.0022, 1.22, 2.2222, 182.1
Smelt Copper, https://wotlkdb.com/?spell=2657, 0.0714, 0.9286, 1, 107.7
Smelt Fel Iron, https://wotlkdb.com/?spell=29356, 0.02, 3.98, 4, 100.5
Smelt Bronze, https://wotlkdb.com/?spell=2659, -0.004, 1.004, 1, 99.6
Smelt Truesilver, https://wotlkdb.com/?spell=10098, -0.1062, 0.8, 0.6938, 86.7
Enchanted Thorium, https://wotlkdb.com/?spell=70524, -0.1352, 3.1152, 2.98, 95.7
Smelt Tin, https://wotlkdb.com/?spell=3304, -0.146, 0.15, 0.004, 2.7
Smelt Iron, https://wotlkdb.com/?spell=3307, -0.22, 0.82, 0.6, 73.2
Smelt Gold, https://wotlkdb.com/?spell=3308, -0.72, 1.46, 0.74, 50.7
Smelt Saronite, https://wotlkdb.com/?spell=49258, -0.85, 5.85, 5, 85.5
Smelt Adamantite, https://wotlkdb.com/?spell=29358, -1.2, 6.2, 5, 80.6
Smelt Mithril, https://wotlkdb.com/?spell=10097, -1.95, 5.95, 4, 67.2
Smelt Khorium, https://wotlkdb.com/?spell=29361, -4.1998, 149.1998, 145, 97.2
Smelt Thorium, https://wotlkdb.com/?spell=16153, -5.7263, 8.7263, 3, 34.4
Smelt Hardened Adamantite, https://wotlkdb.com/?spell=29686, -10.2, 50, 39.8, 79.6
Smelt Silver, https://wotlkdb.com/?spell=2658, -10.3501, 12.0168, 1.6667, 13.9
