Name, Link, Profit, Cost, Sell, ROI %
Smelt Elementium, https://wotlkdb.com/?spell=22967, 590.5001, 1159.4999, 1750, 150.9
Smelt Titansteel, https://wotlkdb.com/?spell=55208, 56.1, 283.9, 340, 119.8
Smelt Khorium, https://wotlkdb.com/?spell=29361, 44, 103, 147, 142.7
Smelt Felsteel, https://wotlkdb.com/?spell=29360, 29.2084, 32.6916, 61.9, 189.3
Smelt Dark Iron, https://wotlkdb.com/?spell=14891, 17.1901, 0.9, 18.0901, 2010
Smelt Hardened Adamantite, https://wotlkdb.com/?spell=29686, 16.112, 38.888, 55, 141.4
Smelt Fel Iron, https://wotlkdb.com/?spell=29356, 3.7, 2.6, 6.3, 242.3
Smelt Mithril, https://wotlkdb.com/?spell=10097, 3.6, 3.9, 7.5, 192.3
Smelt Steel, https://wotlkdb.com/?spell=3569, 2.98, 0.77, 3.75, 487
Smelt Eternium, https://wotlkdb.com/?spell=29359, 2.8958, 4, 6.8958, 172.4
Smelt Saronite, https://wotlkdb.com/?spell=49258, 2.7002, 3.9998, 6.7, 167.5
Smelt Bronze, https://wotlkdb.com/?spell=2659, 0.8702, 0.6298, 1.5, 238.2
Smelt Cobalt, https://wotlkdb.com/?spell=49252, 0.84, 2.14, 2.98, 139.3
Smelt Copper, https://wotlkdb.com/?spell=2657, -0.01, 0.625, 0.615, 98.4
Smelt Truesilver, https://wotlkdb.com/?spell=10098, -0.05, 0.45, 0.4, 88.9
Smelt Iron, https://wotlkdb.com/?spell=3307, -0.08, 0.8, 0.72, 90
Smelt Tin, https://wotlkdb.com/?spell=3304, -0.1352, 0.15, 0.0148, 9.9
Smelt Gold, https://wotlkdb.com/?spell=3308, -0.4067, 1.24, 0.8333, 67.2
Smelt Thorium, https://wotlkdb.com/?spell=16153, -1.5, 8, 6.5, 81.3
Enchanted Thorium, https://wotlkdb.com/?spell=70524, -2.5981, 6.5981, 4, 60.6
Smelt Adamantite, https://wotlkdb.com/?spell=29358, -3.7712, 7.66, 3.8888, 50.8
Smelt Silver, https://wotlkdb.com/?spell=2658, -4.9, 10.9, 6, 55
Smelt Titanium, https://wotlkdb.com/?spell=55211, -9.9, 59.9, 50, 83.5
