Name, Link, Profit, Cost, Sell, ROI %
Soulcloth Vest, https://wotlkdb.com/?spell=26781, 11918, 82, 12000, 14634.1
Savior's Slippers, https://wotlkdb.com/?spell=63206, 3281.6, 2718.4, 6000, 220.7
Unyielding Girdle, https://wotlkdb.com/?spell=31442, 3151.1208, 848.8792, 4000, 471.2
Cord of the White Dawn, https://wotlkdb.com/?spell=63205, 2531.6, 2718.4, 5250, 193.1
Sash of Ancient Power, https://wotlkdb.com/?spell=63203, 2299.6, 2950.4, 5250, 177.9
Night's End, https://wotlkdb.com/?spell=40060, 1739.46, 48.54, 1788, 3683.6
Soulcloth Shoulders, https://wotlkdb.com/?spell=26780, 1738, 62, 1800, 2903.2
Merlin's Robe, https://wotlkdb.com/?spell=67146, 1626.7, 3172.8, 4799.5, 151.3
Flarecore Robe, https://wotlkdb.com/?spell=23666, 1101.1319, 345.8096, 1446.9415, 418.4
Spellslinger's Slippers, https://wotlkdb.com/?spell=63204, 1048.6, 2950.4, 3999, 135.5
Lightweave Leggings, https://wotlkdb.com/?spell=70552, 908, 5088, 5996, 117.8
Golden Spellthread, https://wotlkdb.com/?spell=31433, 775.2995, 110.7, 885.9995, 800.4
Merlin's Robe, https://wotlkdb.com/?spell=67066, 743.6, 3172.8, 3916.4, 123.4
Runic Spellthread, https://wotlkdb.com/?spell=31432, 701.3, 390.7, 1092, 279.5
Mooncloth Robe, https://wotlkdb.com/?spell=22902, 688.997, 211.003, 900, 426.5
Deathchill Cloak, https://wotlkdb.com/?spell=56017, 646.42, 702.58, 1349, 192
Leggings of Woven Death, https://wotlkdb.com/?spell=70550, 622, 5668, 6290, 111
Royal Moonshroud Bracers, https://wotlkdb.com/?spell=67065, 599.4, 1497.6, 2097, 140
Bejeweled Wizard's Bracers, https://wotlkdb.com/?spell=67079, 545, 2154, 2699, 125.3
Bag of Jewels, https://wotlkdb.com/?spell=31459, 541.18, 57.82, 599, 1036
Icy Cloak, https://wotlkdb.com/?spell=3862, 538.0435, 16.9565, 555, 3273.1
Sandals of Consecration, https://wotlkdb.com/?spell=70553, 453.9, 3043, 3496.9, 114.9
Deathfrost Boots, https://wotlkdb.com/?spell=70551, 447.75, 3500.6, 3948.35, 112.8
Cloak of the Black Void, https://wotlkdb.com/?spell=31438, 441.66, 158.34, 600, 378.9
Wispcloak, https://wotlkdb.com/?spell=56016, 433.16, 282.84, 716, 253.1
Glacial Bag, https://wotlkdb.com/?spell=56005, 332.4, 444.6, 777, 174.8
Ebon Shadowbag, https://wotlkdb.com/?spell=26759, 326.54, 128.96, 455.5, 353.2
Royal Moonshroud Robe, https://wotlkdb.com/?spell=67064, 310.5, 3155.5, 3466, 109.8
Admiral's Hat, https://wotlkdb.com/?spell=12081, 291.5285, 8.4715, 300, 3541.3
Glacial Waistband, https://wotlkdb.com/?spell=60990, 289.52, 310.48, 600, 193.2
Frostmoon Pants, https://wotlkdb.com/?spell=56021, 277.2888, 167.7112, 445, 265.3
Blue Lumberjack Shirt, https://wotlkdb.com/?spell=55994, 275.9945, 20.005, 295.9995, 1479.6
Deep Frozen Cord, https://wotlkdb.com/?spell=56020, 253.4887, 191.5112, 444.9999, 232.4
Dreamweave Circlet, https://wotlkdb.com/?spell=12092, 250.966, 29.034, 280, 964.4
Spidersilk Drape, https://wotlkdb.com/?spell=63742, 250.78, 4.97, 255.75, 5145.9
Tuxedo Pants, https://wotlkdb.com/?spell=12089, 247.208, 2.782, 249.99, 8986
Glacial Slippers, https://wotlkdb.com/?spell=60994, 240.5199, 310.48, 550.9999, 177.5
Frostguard Drape, https://wotlkdb.com/?spell=64729, 240.4888, 93.5112, 334, 357.2
Hat of Wintry Doom, https://wotlkdb.com/?spell=56018, 238.4888, 168.5112, 407, 241.5
Black Duskweave Wristwraps, https://wotlkdb.com/?spell=55943, 232.3444, 77.6556, 310, 399.2
Dreamweave Gloves, https://wotlkdb.com/?spell=12067, 226.598, 23.402, 250, 1068.3
Cindercloth Pants, https://wotlkdb.com/?spell=18434, 210.527, 4.473, 215, 4806.6
Red Winter Clothes, https://wotlkdb.com/?spell=44958, 197.279, 2.711, 199.99, 7377
Cenarion Herb Bag, https://wotlkdb.com/?spell=27724, 193.7215, 36.7785, 230.5, 626.7
Silky Iceshard Boots, https://wotlkdb.com/?spell=56019, 190.6488, 266.0112, 456.66, 171.7
Mysterious Bag, https://wotlkdb.com/?spell=56006, 189.4, 560.6, 750, 133.8
Aurora Slippers, https://wotlkdb.com/?spell=56023, 185.8888, 192.1112, 378, 196.8
Light Blessed Mittens, https://wotlkdb.com/?spell=56022, 180.6888, 134.3112, 315, 234.5
Spidersilk Boots, https://wotlkdb.com/?spell=3855, 163.1, 11.9, 175, 1470.6
Black Duskweave Leggings, https://wotlkdb.com/?spell=55925, 139.6444, 94.3556, 234, 248
Frostsavage Gloves, https://wotlkdb.com/?spell=59586, 138.8948, 81.1052, 220, 271.3
Emerald Bag, https://wotlkdb.com/?spell=63924, 136.58, 230.42, 367, 159.3
Red Workman's Shirt, https://wotlkdb.com/?spell=55997, 134.995, 20.005, 155, 774.8
Frostsavage Boots, https://wotlkdb.com/?spell=59585, 133.8948, 81.1052, 215, 265.1
Ebonweave Gloves, https://wotlkdb.com/?spell=56027, 132.8, 368.2, 501, 136.1
Orange Martial Shirt, https://wotlkdb.com/?spell=12064, 131.909, 1.491, 133.4, 8947
Frostsavage Leggings, https://wotlkdb.com/?spell=59588, 126.4435, 104.0565, 230.5, 221.5
Frostsavage Cowl, https://wotlkdb.com/?spell=59589, 125.9434, 104.0565, 229.9999, 221
Frostsavage Bracers, https://wotlkdb.com/?spell=59583, 125.8961, 74.8539, 200.75, 268.2
Moonshroud Gloves, https://wotlkdb.com/?spell=56025, 124.99, 365, 489.99, 134.2
Simple Dress, https://wotlkdb.com/?spell=8465, 122.9115, 0.0885, 123, 138983.1
Sapphire Spellthread, https://wotlkdb.com/?spell=56011, 122.3287, 377.6712, 499.9999, 132.4
Stylish Green Shirt, https://wotlkdb.com/?spell=7893, 122.129, 0.861, 122.99, 14284.6
Mooncloth Vest, https://wotlkdb.com/?spell=18447, 118.497, 136.503, 255, 186.8
Phoenix Gloves, https://wotlkdb.com/?spell=3868, 118.059, 1.941, 120, 6182.4
Dress Shoes, https://wotlkdb.com/?spell=49677, 117.818, 3.682, 121.5, 3299.8
Lavender Mageweave Shirt, https://wotlkdb.com/?spell=12075, 116.659, 1.991, 118.65, 5959.3
Frostsavage Belt, https://wotlkdb.com/?spell=59582, 115.8961, 74.8539, 190.75, 254.8
Black Duskweave Robe, https://wotlkdb.com/?spell=55941, 115.6444, 94.3556, 210, 222.6
Stylish Blue Shirt, https://wotlkdb.com/?spell=7892, 110.749, 0.851, 111.6, 13114
Dark Silk Shirt, https://wotlkdb.com/?spell=3870, 108.7799, 1.22, 109.9999, 9016.4
Robes of Arcana, https://wotlkdb.com/?spell=6692, 97.62, 3.38, 101, 2988.2
Cindercloth Vest, https://wotlkdb.com/?spell=18408, 97.3485, 3.4015, 100.75, 2961.9
Tuxedo Shirt, https://wotlkdb.com/?spell=12085, 96.818, 2.582, 99.4, 3849.7
Black Swashbuckler's Shirt, https://wotlkdb.com/?spell=3873, 96.75, 3, 99.75, 3325
Frostsavage Robe, https://wotlkdb.com/?spell=59587, 95.9435, 104.0565, 200, 192.2
Pink Mageweave Shirt, https://wotlkdb.com/?spell=12080, 95.1135, 2.0865, 97.2, 4658.5
Cloak of Crimson Snow, https://wotlkdb.com/?spell=64730, 91.0388, 179.7112, 270.75, 150.7
Brilliant Spellthread, https://wotlkdb.com/?spell=56009, 88.2788, 145.7112, 233.99, 160.6
Wizardweave Turban, https://wotlkdb.com/?spell=18450, 87.417, 32.583, 120, 368.3
Imbued Netherweave Tunic, https://wotlkdb.com/?spell=26778, 83.12, 41.88, 125, 298.5
Blue Workman's Shirt, https://wotlkdb.com/?spell=55998, 79.995, 20.005, 100, 499.9
Rustic Workman's Shirt, https://wotlkdb.com/?spell=55999, 75.55, 20.05, 95.6, 476.8
Glacial Robe, https://wotlkdb.com/?spell=60993, 72.2799, 427.72, 499.9999, 116.9
Soul Pouch, https://wotlkdb.com/?spell=26085, 68.419, 11.581, 80, 690.8
Dreamweave Vest, https://wotlkdb.com/?spell=12070, 65.4469, 34.453, 99.8999, 290
Blackstrike Bracers, https://wotlkdb.com/?spell=31437, 63.61, 32.24, 95.85, 297.3
Rich Purple Silk Shirt, https://wotlkdb.com/?spell=3872, 62.02, 2.58, 64.6, 2503.9
