Name, Link, Profit, Cost, Sell, ROI %
Belt of Blasting, https://wotlkdb.com/?spell=36315, 4947.79, 52.21, 5000, 9576.7
Spellslinger's Slippers, https://wotlkdb.com/?spell=63204, 2934.001, 2965.999, 5900, 198.9
Golden Spellthread, https://wotlkdb.com/?spell=31433, 2878.11, 21.89, 2900, 13248.1
Belt of the Long Road, https://wotlkdb.com/?spell=36316, 2284.541, 315.459, 2600, 824.2
Silver Spellthread, https://wotlkdb.com/?spell=31431, 1889.7, 10.3, 1900, 18446.6
Savior's Slippers, https://wotlkdb.com/?spell=63206, 1852.0005, 2637.9994, 4489.9999, 170.2
Frozen Shadoweave Shoulders, https://wotlkdb.com/?spell=26756, 1545.1214, 454.8786, 2000, 439.7
Cord of the White Dawn, https://wotlkdb.com/?spell=63205, 1262.0006, 2637.9994, 3900, 147.8
Primal Mooncloth Shoulders, https://wotlkdb.com/?spell=26761, 1222.34, 777.66, 2000, 257.2
Sash of Ancient Power, https://wotlkdb.com/?spell=63203, 1201.001, 2965.999, 4167, 140.5
Night's End, https://wotlkdb.com/?spell=40060, 1146.6, 53.4, 1200, 2247.2
Merlin's Robe, https://wotlkdb.com/?spell=67146, 838.5008, 3319.9992, 4158.5, 125.3
Flarecore Gloves, https://wotlkdb.com/?spell=20849, 822.6868, 77.3132, 900, 1164.1
Red Winter Clothes, https://wotlkdb.com/?spell=44958, 795.11, 3.89, 799, 20539.8
Leggings of Woven Death, https://wotlkdb.com/?spell=70550, 621.0009, 5579.999, 6200.9999, 111.1
Dreamweave Circlet, https://wotlkdb.com/?spell=12092, 619.07, 20.9299, 639.9999, 3057.8
Royal Moonshroud Robe, https://wotlkdb.com/?spell=67144, 601, 3158, 3759, 119
Deathfrost Boots, https://wotlkdb.com/?spell=70551, 545.0006, 3444.9994, 3990, 115.8
Sandals of Consecration, https://wotlkdb.com/?spell=70553, 494, 2865, 3359, 117.2
Dress Shoes, https://wotlkdb.com/?spell=49677, 474.9828, 3.16, 478.1428, 15131.1
Wispcloak, https://wotlkdb.com/?spell=56016, 459.0802, 325.9198, 785, 240.9
Lightweave Leggings, https://wotlkdb.com/?spell=70552, 450, 4760, 5210, 109.5
Icy Cloak, https://wotlkdb.com/?spell=3862, 415.27, 4.73, 420, 8879.5
Royal Moonshroud Bracers, https://wotlkdb.com/?spell=67147, 402, 1448, 1850, 127.8
Dreamweave Vest, https://wotlkdb.com/?spell=12070, 370.66, 17.34, 388, 2237.6
Bejeweled Wizard's Bracers, https://wotlkdb.com/?spell=67145, 354.0001, 2239.9998, 2593.9999, 115.8
Mooncloth Robe, https://wotlkdb.com/?spell=22902, 307.1752, 272.8248, 580, 212.6
Glacial Bag, https://wotlkdb.com/?spell=56005, 305.3316, 418.9996, 724.3312, 172.9
Shadoweave Mask, https://wotlkdb.com/?spell=12086, 296.84, 2.16, 299, 13842.6
Cindercloth Vest, https://wotlkdb.com/?spell=18408, 294.3962, 4.6038, 299, 6494.6
Cloak of Fire, https://wotlkdb.com/?spell=18422, 289.4992, 10.5008, 300, 2856.9
Cindercloth Pants, https://wotlkdb.com/?spell=18434, 288.4367, 4.5633, 293, 6420.8
Onyxia Scale Cloak, https://wotlkdb.com/?spell=19093, 271.55, 108.45, 380, 350.4
Admiral's Hat, https://wotlkdb.com/?spell=12081, 243.05, 5.95, 249, 4184.9
Bag of Jewels, https://wotlkdb.com/?spell=31459, 240.75, 60, 300.75, 501.3
Dreamweave Gloves, https://wotlkdb.com/?spell=12067, 238.0552, 12.36, 250.4152, 2026
Abyssal Bag, https://wotlkdb.com/?spell=56004, 231.9904, 462.9996, 694.99, 150.1
Reinforced Woolen Shoulders, https://wotlkdb.com/?spell=3849, 218.33, 7.22, 225.55, 3124
Spidersilk Boots, https://wotlkdb.com/?spell=3855, 215.74, 9.26, 225, 2429.8
Spidersilk Drape, https://wotlkdb.com/?spell=63742, 215.48, 6.74, 222.22, 3297
Green Winter Clothes, https://wotlkdb.com/?spell=44950, 196.1, 3.9, 200, 5128.2
Stylish Green Shirt, https://wotlkdb.com/?spell=7893, 196.095, 3.905, 200, 5121.6
Deep Frozen Cord, https://wotlkdb.com/?spell=56020, 192.0799, 188.92, 380.9999, 201.7
Aurora Slippers, https://wotlkdb.com/?spell=56023, 190.08, 172.92, 363, 209.9
Cenarion Herb Bag, https://wotlkdb.com/?spell=27724, 186.6618, 29.3282, 215.99, 736.5
Emerald Bag, https://wotlkdb.com/?spell=63924, 180.11, 187.88, 367.99, 195.9
Flameheart Bracers, https://wotlkdb.com/?spell=37882, 170.25, 29.75, 200, 672.3
Phoenix Gloves, https://wotlkdb.com/?spell=3868, 165.165, 4.835, 170, 3516
Hat of Wintry Doom, https://wotlkdb.com/?spell=56018, 164.8301, 172.9199, 337.75, 195.3
Frostguard Drape, https://wotlkdb.com/?spell=64729, 153.4892, 89.2532, 242.7424, 272
Phoenix Pants, https://wotlkdb.com/?spell=3851, 153.26, 6.74, 160, 2373.9
Black Duskweave Robe, https://wotlkdb.com/?spell=55941, 143.0399, 94.96, 237.9999, 250.6
Deathchill Cloak, https://wotlkdb.com/?spell=56017, 138.255, 860.745, 999, 116.1
Light Blessed Mittens, https://wotlkdb.com/?spell=56022, 138.0131, 122.92, 260.9331, 212.3
Frostmoon Pants, https://wotlkdb.com/?spell=56021, 137.0131, 156.92, 293.9331, 187.3
Ebonweave Gloves, https://wotlkdb.com/?spell=56027, 120.0004, 399.9996, 520, 130
Silky Iceshard Boots, https://wotlkdb.com/?spell=56019, 115.83, 255.92, 371.75, 145.3
Cindercloth Cloak, https://wotlkdb.com/?spell=18418, 96.0417, 3.9583, 100, 2526.3
Robes of Arcana, https://wotlkdb.com/?spell=6692, 96.02, 2.98, 99, 3322.1
Felcloth Pants, https://wotlkdb.com/?spell=18419, 93.1416, 6.8584, 100, 1458.1
Enchanter's Cowl, https://wotlkdb.com/?spell=3857, 88.1, 0.9, 89, 9888.9
White Wedding Dress, https://wotlkdb.com/?spell=12091, 86.9475, 3.0525, 90, 2948.4
Cindercloth Gloves, https://wotlkdb.com/?spell=18412, 86.0012, 3.9988, 90, 2250.7
Glacial Slippers, https://wotlkdb.com/?spell=60994, 82.725, 367.275, 450, 122.5
Tuxedo Pants, https://wotlkdb.com/?spell=12089, 82.44, 2.56, 85, 3320.3
Black Duskweave Leggings, https://wotlkdb.com/?spell=55925, 79.79, 94.96, 174.75, 184
Black Duskweave Wristwraps, https://wotlkdb.com/?spell=55943, 71.04, 77.96, 149, 191.1
Mysterious Bag, https://wotlkdb.com/?spell=56006, 69, 531, 600, 113
Pink Mageweave Shirt, https://wotlkdb.com/?spell=12080, 66.08, 1.92, 68, 3541.7
Brilliant Spellthread, https://wotlkdb.com/?spell=56009, 65.7468, 170.2532, 236, 138.6
Blackstrike Bracers, https://wotlkdb.com/?spell=31437, 64, 36, 100, 277.8
Moonshroud Gloves, https://wotlkdb.com/?spell=56025, 64, 336, 400, 119
Frostsavage Cowl, https://wotlkdb.com/?spell=59589, 63.75, 116, 179.75, 155
White Bandit Mask, https://wotlkdb.com/?spell=12059, 60.3074, 0.6925, 60.9999, 8808.6
Primal Mooncloth, https://wotlkdb.com/?spell=26751, 60.0501, 34.9499, 95, 271.8
Ebon Shadowbag, https://wotlkdb.com/?spell=26759, 59.0406, 300.9594, 360, 119.6
Azure Silk Gloves, https://wotlkdb.com/?spell=3854, 57.19, 1.81, 59, 3259.7
Ebonweave Robe, https://wotlkdb.com/?spell=56026, 55.0008, 673.9992, 729, 108.2
Sapphire Spellthread, https://wotlkdb.com/?spell=56011, 54.53, 465.47, 520, 111.7
Black Swashbuckler's Shirt, https://wotlkdb.com/?spell=3873, 54.2, 1.35, 55.55, 4114.8
Enchanted Runecloth Bag, https://wotlkdb.com/?spell=27659, 53.5216, 47.3584, 100.88, 213
Imbued Netherweave Robe, https://wotlkdb.com/?spell=26777, 51.52, 47.48, 99, 208.5
Cloak of Crimson Snow, https://wotlkdb.com/?spell=64730, 48.28, 207.92, 256.2, 123.2
Flying Carpet, https://wotlkdb.com/?spell=60969, 47.5604, 60.4396, 108, 178.7
Haliscan Pantaloons, https://wotlkdb.com/?spell=50647, 47.14, 2.86, 50, 1748.3
Haliscan Jacket, https://wotlkdb.com/?spell=50644, 46.985, 3.255, 50.24, 1543.5
Spellcloth, https://wotlkdb.com/?spell=31373, 46.75, 33.25, 80, 240.6
Heavy Woolen Cloak, https://wotlkdb.com/?spell=3844, 46.5402, 3.4598, 50, 1445.2
Frostsavage Belt, https://wotlkdb.com/?spell=59582, 45.79, 82.2, 127.99, 155.7
Tuxedo Shirt, https://wotlkdb.com/?spell=12085, 42.64, 2.36, 45, 1906.8
Glacial Robe, https://wotlkdb.com/?spell=60993, 42.5874, 506.4125, 548.9999, 108.4
Shadowcloth, https://wotlkdb.com/?spell=36686, 40.4999, 9, 49.4999, 550
Red Lumberjack Shirt, https://wotlkdb.com/?spell=55993, 39.595, 20.405, 60, 294
Mooncloth, https://wotlkdb.com/?spell=18560, 38.7653, 3.3334, 42.0987, 1262.9
Frostsavage Robe, https://wotlkdb.com/?spell=59587, 36.99, 116, 152.99, 131.9
Frostsavage Bracers, https://wotlkdb.com/?spell=59583, 35.8, 82.2, 118, 143.6
Azure Shoulders, https://wotlkdb.com/?spell=8795, 34.7877, 1.9092, 36.6969, 1922.1
Glacial Waistband, https://wotlkdb.com/?spell=60990, 32.725, 367.275, 400, 108.9
Black Mageweave Boots, https://wotlkdb.com/?spell=12073, 31.93, 3.07, 35, 1140.1
Red Mageweave Pants, https://wotlkdb.com/?spell=12060, 31.32, 1.68, 33, 1964.3
Runecloth Cloak, https://wotlkdb.com/?spell=18409, 31.18, 3.82, 35, 916.2
Red Mageweave Gloves, https://wotlkdb.com/?spell=12066, 30.12, 1.88, 32, 1702.1
Green Workman's Shirt, https://wotlkdb.com/?spell=56000, 29.58, 20.41, 49.99, 244.9
Orange Martial Shirt, https://wotlkdb.com/?spell=12064, 28.62, 1.38, 30, 2173.9
Boots of the Enchanter, https://wotlkdb.com/?spell=3860, 26.83, 1.17, 28, 2393.2
Unyielding Bracers, https://wotlkdb.com/?spell=31434, 25.1689, 50.8, 75.9689, 149.5
Dark Silk Shirt, https://wotlkdb.com/?spell=3870, 24.44, 0.56, 25, 4464.3
Frostsavage Boots, https://wotlkdb.com/?spell=59585, 24.4, 90.6, 115, 126.9
Frostsavage Gloves, https://wotlkdb.com/?spell=59586, 24.4, 90.6, 115, 126.9
Shadoweave Pants, https://wotlkdb.com/?spell=12052, 23.135, 1.865, 25, 1340.5
Red Mageweave Shoulders, https://wotlkdb.com/?spell=12078, 22.43, 2.57, 25, 972.8
Tuxedo Jacket, https://wotlkdb.com/?spell=12093, 21.95, 3.05, 25, 819.7
Shadoweave Gloves, https://wotlkdb.com/?spell=12071, 21.6625, 3.3375, 25, 749.1
Mooncloth Bag, https://wotlkdb.com/?spell=18445, 19.9813, 45.0187, 65, 144.4
Frostsavage Leggings, https://wotlkdb.com/?spell=59588, 18.9999, 116, 134.9999, 116.4
