Name, Link, Profit, Cost, Sell, ROI %
Edge of Winter, https://wotlkdb.com/?spell=21913, 333.1, 65.9, 399, 605.5
Powerful Seaforium Charge, https://wotlkdb.com/?spell=23080, 46.3052, 8.6948, 55, 632.6
Gift of Arthas, https://wotlkdb.com/?spell=11466, 41.77, 3.23, 45, 1393.2
Lesser Ward of Shielding, https://wotlkdb.com/?spell=29728, 13, 5, 18, 360
Lesser Rune of Warding, https://wotlkdb.com/?spell=32284, 12.75, 5, 17.75, 355
Balanced Nightseye, https://wotlkdb.com/?spell=39463, 12.02, 2.98, 15, 503.4
Colorful Kilt, https://wotlkdb.com/?spell=12047, 7.98, 1.02, 9, 882.4
Thick Bronze Necklace, https://wotlkdb.com/?spell=26927, 7.8377, 7.1623, 15, 209.4
Great Dawnstone, https://wotlkdb.com/?spell=39452, 7.01, 2.94, 9.95, 338.4
Brilliant Necklace, https://wotlkdb.com/?spell=36523, 6.9204, 8.0796, 15, 185.7
Cured Rugged Hide, https://wotlkdb.com/?spell=19047, 6.2532, 3.7467, 9.9999, 266.9
Delicate Copper Wire, https://wotlkdb.com/?spell=25255, 3.5, 2, 5.5, 275
Salt Shaker, https://wotlkdb.com/?spell=19566, 3.255, 0.075, 3.33, 4440
Bronze Setting, https://wotlkdb.com/?spell=25278, 3.2002, 0.9998, 4.2, 420.1
Dense Weightstone, https://wotlkdb.com/?spell=16640, 2.3306, 0.1694, 2.5, 1475.8
Mok'Nathal Shortribs, https://wotlkdb.com/?spell=38867, 1.05, 0.06, 1.11, 1850
Simple Kilt, https://wotlkdb.com/?spell=12046, 0.9095, 0.0904, 0.9999, 1106.1
Dense Grinding Stone, https://wotlkdb.com/?spell=16639, 0.6053, 0.36, 0.9653, 268.1
Crunchy Serpent, https://wotlkdb.com/?spell=38868, 0.605, 0.395, 1, 253.2
Truesilver Skeleton Key, https://wotlkdb.com/?spell=19668, 0.4368, 0.3965, 0.8333, 210.2
Spice Bread, https://wotlkdb.com/?spell=37836, 0.2865, 0.0035, 0.29, 8285.7
Tender Wolf Steak, https://wotlkdb.com/?spell=22480, 0.24, 0.05, 0.29, 580
Runn Tum Tuber Surprise, https://wotlkdb.com/?spell=22761, 0.1111, 1, 1.1111, 111.1
Solid Star of Elune, https://wotlkdb.com/?spell=31092, 0, 3, 3, 100
Powerful Anti-Venom, https://wotlkdb.com/?spell=23787, -0.1255, 0.1755, 0.05, 28.5
Mithril Head Trout, https://wotlkdb.com/?spell=20916, -0.3059, 0.6, 0.2941, 49
Fire Sunder, https://wotlkdb.com/?spell=35751, -0.48, 0.58, 0.1, 17.2
Balanced Shadow Draenite, https://wotlkdb.com/?spell=39455, -0.73, 0.98, 0.25, 25.5
Veiled Flame Spessarite, https://wotlkdb.com/?spell=39466, -0.74, 0.99, 0.25, 25.3
Wicked Flame Spessarite, https://wotlkdb.com/?spell=39467, -0.74, 0.99, 0.25, 25.3
Earth Shatter, https://wotlkdb.com/?spell=35750, -1.08, 1.2, 0.12, 10
Goldthorn Tea, https://wotlkdb.com/?spell=13028, -1.242, 1.2505, 0.0085, 0.7
Fel Weightstone, https://wotlkdb.com/?spell=34607, -1.5733, 4.5733, 3, 65.6
Golden Skeleton Key, https://wotlkdb.com/?spell=19667, -1.912, 1.99, 0.078, 3.9
Smoking Heart of the Mountain, https://wotlkdb.com/?spell=15596, -2.5782, 2.7282, 0.15, 5.5
Rough Copper Vest, https://wotlkdb.com/?spell=12260, -3.5, 4, 0.5, 12.5
Sylvan Shoulders, https://wotlkdb.com/?spell=28482, -3.6822, 5.435, 1.7528, 32.3
Great Golden Draenite, https://wotlkdb.com/?spell=39451, -3.75, 4, 0.25, 6.3
Festive Red Pant Suit, https://wotlkdb.com/?spell=26407, -3.8899, 3.89, 0.0001, 0
Bronze Torc, https://wotlkdb.com/?spell=38175, -4.2495, 7.2494, 2.9999, 41.4
Sylvan Vest, https://wotlkdb.com/?spell=28480, -4.2965, 6.617, 2.3205, 35.1
Cobalt Skeleton Key, https://wotlkdb.com/?spell=59405, -4.88, 8.88, 4, 45
Gaea's Embrace, https://wotlkdb.com/?spell=28210, -6.8627, 8.584, 1.7213, 20.1
Silver Skeleton Key, https://wotlkdb.com/?spell=19666, -7.4497, 9.9497, 2.5, 25.1
Heavy Golden Necklace of Battle, https://wotlkdb.com/?spell=25320, -7.5965, 7.75, 0.1535, 2
Rugged Armor Kit, https://wotlkdb.com/?spell=19058, -8.4, 9.9, 1.5, 15.2
Runescroll of Fortitude, https://wotlkdb.com/?spell=69385, -8.71, 12.45, 3.74, 30
Philosopher's Stone, https://wotlkdb.com/?spell=11459, -10.215, 10.24, 0.025, 0.2
Hammer of the Titans, https://wotlkdb.com/?spell=16988, -11.6478, 2011.6478, 2000, 99.4
Volcanic Leggings, https://wotlkdb.com/?spell=19059, -12.1141, 13.57, 1.4559, 10.7
Masterwork Target Dummy, https://wotlkdb.com/?spell=19814, -21.2346, 22.2346, 1, 4.5
Dirge's Kickin' Chimaerok Chops, https://wotlkdb.com/?spell=25659, -24.5195, 44.5194, 19.9999, 44.9
