Name, Link, Profit, Cost, Sell, ROI %
Colorful Kilt, https://wotlkdb.com/?spell=12047, 551.025, 3.975, 555, 13962.3
Edge of Winter, https://wotlkdb.com/?spell=21913, 180.3301, 30.6699, 211, 688
Powerful Seaforium Charge, https://wotlkdb.com/?spell=23080, 114.1372, 6.1786, 120.3158, 1947.3
Delicate Copper Wire, https://wotlkdb.com/?spell=25255, 6.0129, 1.13, 7.1429, 632.1
Runn Tum Tuber Surprise, https://wotlkdb.com/?spell=22761, 5.551, 0.0045, 5.5555, 123455.6
Gift of Arthas, https://wotlkdb.com/?spell=11466, 4.68, 4.32, 9, 208.3
Lesser Rune of Warding, https://wotlkdb.com/?spell=32284, 3.86, 3.59, 7.45, 207.5
Salt Shaker, https://wotlkdb.com/?spell=19566, 3.7141, 0.3109, 4.025, 1294.6
Bronze Setting, https://wotlkdb.com/?spell=25278, 2.6666, 3, 5.6666, 188.9
Mok'Nathal Shortribs, https://wotlkdb.com/?spell=38867, 2.1453, 0.2064, 2.3517, 1139.4
Crunchy Serpent, https://wotlkdb.com/?spell=38868, 1.7, 0.3, 2, 666.7
Dense Grinding Stone, https://wotlkdb.com/?spell=16639, 1.2348, 0.1852, 1.42, 766.7
Simple Kilt, https://wotlkdb.com/?spell=12046, 0.632, 0.368, 1, 271.7
Great Dawnstone, https://wotlkdb.com/?spell=39452, 0.4445, 2.5555, 3, 117.4
Tender Wolf Steak, https://wotlkdb.com/?spell=22480, 0.0787, 0.0213, 0.1, 469.5
Dense Weightstone, https://wotlkdb.com/?spell=16640, 0.0287, 0.0963, 0.125, 129.8
Balanced Nightseye, https://wotlkdb.com/?spell=39463, 0.02, 2.98, 3, 100.7
Spice Bread, https://wotlkdb.com/?spell=37836, 0.0187, 0.0035, 0.0222, 634.3
Powerful Anti-Venom, https://wotlkdb.com/?spell=23787, -0.1045, 0.1545, 0.05, 32.4
Lesser Ward of Shielding, https://wotlkdb.com/?spell=29728, -0.14, 3.59, 3.45, 96.1
Mithril Head Trout, https://wotlkdb.com/?spell=20916, -0.28, 0.99, 0.71, 71.7
Rugged Armor Kit, https://wotlkdb.com/?spell=19058, -0.4165, 10.4165, 10, 96
Fire Sunder, https://wotlkdb.com/?spell=35751, -0.7315, 0.89, 0.1585, 17.8
Solid Star of Elune, https://wotlkdb.com/?spell=31092, -0.98, 3.98, 3, 75.4
Truesilver Skeleton Key, https://wotlkdb.com/?spell=19668, -1.08, 1.23, 0.15, 12.2
Rough Copper Vest, https://wotlkdb.com/?spell=12260, -1.76, 2.26, 0.5, 22.1
Goldthorn Tea, https://wotlkdb.com/?spell=13028, -1.994, 2.0025, 0.0085, 0.4
Cured Rugged Hide, https://wotlkdb.com/?spell=19047, -2.179, 4.159, 1.98, 47.6
Veiled Flame Spessarite, https://wotlkdb.com/?spell=39466, -2.69, 2.94, 0.25, 8.5
Wicked Flame Spessarite, https://wotlkdb.com/?spell=39467, -2.69, 2.94, 0.25, 8.5
Smoking Heart of the Mountain, https://wotlkdb.com/?spell=15596, -3.18, 3.33, 0.15, 4.5
Thick Bronze Necklace, https://wotlkdb.com/?spell=26927, -3.2179, 13.2179, 10, 75.7
Earth Shatter, https://wotlkdb.com/?spell=35750, -3.39, 3.99, 0.6, 15
Balanced Shadow Draenite, https://wotlkdb.com/?spell=39455, -4.55, 4.8, 0.25, 5.2
Festive Red Pant Suit, https://wotlkdb.com/?spell=26407, -4.8499, 4.85, 0.0001, 0
Golden Skeleton Key, https://wotlkdb.com/?spell=19667, -4.8862, 6.43, 1.5438, 24
